rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,C8_International travel controls,Chad,TCD,6.5,percent of population,2019.0
2,Governance,Corruption Perceptions Index,C8_International travel controls,Chad,TCD,21.0,score,2020.0
3,Health,Prevalence of COVID-19,C8_International travel controls,Chad,TCD,1839.0,"Number (cumulative total by Dec 26,2020)",2020.0
5,Demographics,Secure Internet servers ,C8_International travel controls,Chad,TCD,0.689790276164435,per 1 million people,2019.0
6,Health,Prevalence of down syndrome,C8_International travel controls,Chad,TCD,0.000164,percent,2019.0
7,Health,Prevalence of Hypertensive heart disease,C8_International travel controls,Chad,TCD,0.000605,percent,2019.0
8,Health,Mortality due to COVID-19,C8_International travel controls,Chad,TCD,102.0,"Number (cumulative total by Dec 26,2020)",2020.0
9,Social issues ,Press freedom score,C8_International travel controls,Chad,TCD,39.7,score,2020.0
10,Health,Prevalence of anxiety disorders,C8_International travel controls,Chad,TCD,0.029464,percent,2019.0
12,Health,Summary exposure value tobacco,C8_International travel controls,Chad,TCD,15.4135,Rate (risk-weighted prevalence),2019.0
13,Health,Prevalence of total cancers,C8_International travel controls,Chad,TCD,0.001418,percent,2019.0
14,Governance,Control of corruption estimate,C8_International travel controls,Chad,TCD,-1.420567,score,2019.0
15,Demographics,Fixed broadband subscriptions,C8_International travel controls,Chad,TCD,0.00125341,per 100 people,2019.0
17,Health,"Incidence of tuberculosis (per 100,000 people)",C8_International travel controls,Chad,TCD,142.0,Cases,2019.0
18,Social issues ,Proportion of seats held by women in national parliaments (%),C8_International travel controls,Chad,TCD,15.43209877,proportion,2020.0
21,Social issues ,Net migration,C8_International travel controls,Chad,TCD,10000.0,net total / data are 5 year estimates,2019.0
22,Governance,Government effectiveness estimate,C8_International travel controls,Chad,TCD,-1.568404,score,2019.0
24,Health,Prevalence of obesity,C8_International travel controls,Chad,TCD,6.1,percent,2016.0
25,Health,"Immunization, measles (% of children ages 12-23 months)",C8_International travel controls,Chad,TCD,41.0,percent,2019.0
27,Governance,Aggregate score for the Civil Liberties category,C8_International travel controls,Chad,TCD,14.0,score,2021.0
28,Health,"Prevalence of stunting, height for age (modeled estimate, % of children under 5)",C8_International travel controls,Chad,TCD,35.0,percent,2020.0
29,Economics,Employment in services (% of total employment) (modeled ILO estimate),C8_International travel controls,Chad,TCD,21.6130009,Percentage of total employment,2020.0
30,Social issues ,Life Ladder ,C8_International travel controls,Chad,TCD,4.355400085449219,score,2021.0
31,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),C8_International travel controls,Chad,TCD,0.7,percent,2018.0
32,Environment,Renewable energy consumption ,C8_International travel controls,Chad,TCD,89.357395570733,percent of total final energy consumption,2015.0
33,Health,"Physicians (per 1,000 people)",C8_International travel controls,Chad,TCD,0.0434,Ones,2017.0
34,Governance,Fragile States Index Total ,C8_International travel controls,Chad,TCD,106.43382055499453,score,2020.0
35,Governance,Aggregate score for the Political Rights category,C8_International travel controls,Chad,TCD,3.0,score,2021.0
38,Demographics,Mobile cellular subscriptions,C8_International travel controls,Chad,TCD,48.0648,per 100 people,2019.0
41,Health,"Immunization, DPT (% of children ages 12-23 months)",C8_International travel controls,Chad,TCD,50.0,percent,2019.0
42,Health,Prevalence of Diabetes,C8_International travel controls,Chad,TCD,0.016921,percent,2019.0
43,Economics,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",C8_International travel controls,Chad,TCD,63.9410019,Percentage of females of the total population,2020.0
44,Environment,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value ",C8_International travel controls,Chad,TCD,100.0,percent of total,2017.0
45,Governance,Personal Freedom Score ,C8_International travel controls,Chad,TCD,5.47,score,2018.0
46,Health,"Prevalence of overweight (modeled estimate, % of children under 5)",C8_International travel controls,Chad,TCD,3.4,percent,2020.0
49,Governance,Human Freedom Score ,C8_International travel controls,Chad,TCD,5.59,score,2018.0
50,Environment,CO2 emissions (metric tons per capita),C8_International travel controls,Chad,TCD,0.069756,metric tons per capita,2016.0
52,Health,Prevalence of chronic kidney disease,C8_International travel controls,Chad,TCD,0.031601,percent,2019.0
55,Governance,Voice and accountability estimate,C8_International travel controls,Chad,TCD,-1.41773,score,2019.0
56,Economics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",C8_International travel controls,Chad,TCD,1.94299996,percent of total labor force,2020.0
57,Governance,Regulatory quality estimate,C8_International travel controls,Chad,TCD,-1.119248,score,2019.0
58,Demographics,Fixed telephone subscriptions,C8_International travel controls,Chad,TCD,6524.0,number,2019.0
59,Governance,Rule of law estimate ,C8_International travel controls,Chad,TCD,-1.283358,score,2019.0
60,Governance,Political stability and absence of violence/terrorism estimate,C8_International travel controls,Chad,TCD,-1.340024,score,2019.0
68,Health,Prevalence of Depressive disorders,C8_International travel controls,Chad,TCD,0.03288,percent,2019.0
69,Environment,"PM2.5 air pollution, mean annual exposure",C8_International travel controls,Chad,TCD,66.02921,micrograms per cubic meter,2017.0
70,Economics,Volume of imports,C8_International travel controls,Chad,TCD,7.615,percent change,2020.0
71,Governance,Human Development Index,C8_International travel controls,Chad,TCD,0.398,index,2019.0
73,Governance,Economic Freedom Score,C8_International travel controls,Chad,TCD,5.71,score,2018.0
75,Economics,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",C8_International travel controls,Chad,TCD,70.6689987,Percentage of total population,2020.0
76,Health,"Nurses and midwives (per 1,000 people)",C8_International travel controls,Chad,TCD,0.2322,Ones,2017.0
77,Governance,"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)",C8_International travel controls,Chad,TCD,2.5,rating,2019.0
78,Governance,Total freedom in the world score ,C8_International travel controls,Chad,TCD,17.0,score,2021.0
79,Health,"Prevalence of HIV, total (% of population ages 15-49)",C8_International travel controls,Chad,TCD,1.2,percent,2019.0
80,Environment,Access to electricity ,C8_International travel controls,Chad,TCD,11.7593555450439,percent of population,2018.0
82,Economics,Volume of exports,C8_International travel controls,Chad,TCD,15.532,percent change,2020.0
86,Environment,CO2 emissions (kt),C8_International travel controls,Chad,TCD,1015.759,kt,2016.0
89,Health,Prevalence of Respiratory infections and tuberculosis,C8_International travel controls,Chad,TCD,0.260355,percent,2019.0
