rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,C8_International travel controls,Turkmenistan,TKM,21.251,percent of population,2019.0
2,Governance,Corruption Perceptions Index,C8_International travel controls,Turkmenistan,TKM,19.0,score,2020.0
3,Health,Prevalence of COVID-19,C8_International travel controls,Turkmenistan,TKM,0.0,"Number (cumulative total by Dec 26,2020)",2020.0
4,Economics,"Foreign direct investment, net",C8_International travel controls,Turkmenistan,TKM,1985147000.0,US Dollar,2018.0
5,Demographics,Secure Internet servers ,C8_International travel controls,Turkmenistan,TKM,20.02662699935999,per 1 million people,2019.0
6,Health,Prevalence of down syndrome,C8_International travel controls,Turkmenistan,TKM,0.000232,percent,2019.0
7,Health,Prevalence of Hypertensive heart disease,C8_International travel controls,Turkmenistan,TKM,0.001548,percent,2019.0
8,Health,Mortality due to COVID-19,C8_International travel controls,Turkmenistan,TKM,0.0,"Number (cumulative total by Dec 26,2020)",2020.0
9,Social issues ,Press freedom score,C8_International travel controls,Turkmenistan,TKM,85.44,score,2020.0
10,Health,Prevalence of anxiety disorders,C8_International travel controls,Turkmenistan,TKM,0.024608,percent,2019.0
11,Environment,"Energy imports, net ",C8_International travel controls,Turkmenistan,TKM,-191.5113367678815,percent of energy use,2014.0
12,Health,Summary exposure value tobacco,C8_International travel controls,Turkmenistan,TKM,36.7436,Rate (risk-weighted prevalence),2019.0
13,Health,Prevalence of total cancers,C8_International travel controls,Turkmenistan,TKM,0.004744,percent,2019.0
14,Governance,Control of corruption estimate,C8_International travel controls,Turkmenistan,TKM,-1.511905,score,2019.0
15,Demographics,Fixed broadband subscriptions,C8_International travel controls,Turkmenistan,TKM,0.0868407,per 100 people,2019.0
17,Health,"Incidence of tuberculosis (per 100,000 people)",C8_International travel controls,Turkmenistan,TKM,45.0,Cases,2019.0
18,Social issues ,Proportion of seats held by women in national parliaments (%),C8_International travel controls,Turkmenistan,TKM,25.0,proportion,2020.0
19,Environment,"Electricity production from renewable sources, excluding hydroelectric",C8_International travel controls,Turkmenistan,TKM,0.0,kWh,2015.0
21,Social issues ,Net migration,C8_International travel controls,Turkmenistan,TKM,-25001.0,net total / data are 5 year estimates,2019.0
22,Governance,Government effectiveness estimate,C8_International travel controls,Turkmenistan,TKM,-1.15624,score,2019.0
24,Health,Prevalence of obesity,C8_International travel controls,Turkmenistan,TKM,18.6,percent,2016.0
25,Health,"Immunization, measles (% of children ages 12-23 months)",C8_International travel controls,Turkmenistan,TKM,99.0,percent,2019.0
27,Governance,Aggregate score for the Civil Liberties category,C8_International travel controls,Turkmenistan,TKM,2.0,score,2021.0
28,Health,"Prevalence of stunting, height for age (modeled estimate, % of children under 5)",C8_International travel controls,Turkmenistan,TKM,7.6,percent,2020.0
29,Economics,Employment in services (% of total employment) (modeled ILO estimate),C8_International travel controls,Turkmenistan,TKM,37.901001,Percentage of total employment,2020.0
30,Social issues ,Life Ladder ,C8_International travel controls,Turkmenistan,TKM,5.066400051116943,score,2021.0
31,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),C8_International travel controls,Turkmenistan,TKM,1.2,percent,2018.0
32,Environment,Renewable energy consumption ,C8_International travel controls,Turkmenistan,TKM,0.0408878864181804,percent of total final energy consumption,2015.0
33,Health,"Physicians (per 1,000 people)",C8_International travel controls,Turkmenistan,TKM,2.2247,Ones,2014.0
34,Governance,Fragile States Index Total ,C8_International travel controls,Turkmenistan,TKM,69.05814193586684,score,2020.0
35,Governance,Aggregate score for the Political Rights category,C8_International travel controls,Turkmenistan,TKM,0.0,score,2021.0
36,Environment,Electricity production from coal sources ,C8_International travel controls,Turkmenistan,TKM,0.0,percent of total,2015.0
37,Environment,Energy use ,C8_International travel controls,Turkmenistan,TKM,393.9511734316079,"(kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)",2014.0
