rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,C8_International travel controls,Uzbekistan,UZB,52.3051,percent of population,2019.0
2,Governance,Corruption Perceptions Index,C8_International travel controls,Uzbekistan,UZB,26.0,score,2020.0
3,Health,Prevalence of COVID-19,C8_International travel controls,Uzbekistan,UZB,75806.0,"Number (cumulative total by Dec 26,2020)",2020.0
4,Economics,"Foreign direct investment, net",C8_International travel controls,Uzbekistan,UZB,2286340170.0,US Dollar,2019.0
5,Demographics,Secure Internet servers ,C8_International travel controls,Uzbekistan,UZB,452.522509242674,per 1 million people,2019.0
6,Health,Prevalence of down syndrome,C8_International travel controls,Uzbekistan,UZB,0.000211,percent,2019.0
7,Health,Prevalence of Hypertensive heart disease,C8_International travel controls,Uzbekistan,UZB,0.001489,percent,2019.0
8,Health,Mortality due to COVID-19,C8_International travel controls,Uzbekistan,UZB,612.0,"Number (cumulative total by Dec 26,2020)",2020.0
9,Social issues ,Press freedom score,C8_International travel controls,Uzbekistan,UZB,53.07,score,2020.0
10,Health,Prevalence of anxiety disorders,C8_International travel controls,Uzbekistan,UZB,0.021128,percent,2019.0
12,Health,Summary exposure value tobacco,C8_International travel controls,Uzbekistan,UZB,20.70983,Rate (risk-weighted prevalence),2019.0
13,Health,Prevalence of total cancers,C8_International travel controls,Uzbekistan,UZB,0.004843,percent,2019.0
14,Governance,Control of corruption estimate,C8_International travel controls,Uzbekistan,UZB,-1.053791,score,2019.0
15,Demographics,Fixed broadband subscriptions,C8_International travel controls,Uzbekistan,UZB,13.9388,per 100 people,2019.0
16,Environment,"Adjusted net savings, including particulate emission damage",C8_International travel controls,Uzbekistan,UZB,26.7393312124573,percent of GNI,2018.0
17,Health,"Incidence of tuberculosis (per 100,000 people)",C8_International travel controls,Uzbekistan,UZB,67.0,Cases,2019.0
18,Social issues ,Proportion of seats held by women in national parliaments (%),C8_International travel controls,Uzbekistan,UZB,32.0,proportion,2020.0
19,Environment,"Electricity production from renewable sources, excluding hydroelectric",C8_International travel controls,Uzbekistan,UZB,0.0,kWh,2015.0
21,Social issues ,Net migration,C8_International travel controls,Uzbekistan,UZB,-44314.0,net total / data are 5 year estimates,2019.0
22,Governance,Government effectiveness estimate,C8_International travel controls,Uzbekistan,UZB,-0.514649,score,2019.0
24,Health,Prevalence of obesity,C8_International travel controls,Uzbekistan,UZB,16.6,percent,2016.0
25,Health,"Immunization, measles (% of children ages 12-23 months)",C8_International travel controls,Uzbekistan,UZB,98.0,percent,2019.0
27,Governance,Aggregate score for the Civil Liberties category,C8_International travel controls,Uzbekistan,UZB,9.0,score,2021.0
28,Health,"Prevalence of stunting, height for age (modeled estimate, % of children under 5)",C8_International travel controls,Uzbekistan,UZB,9.9,percent,2020.0
29,Economics,Employment in services (% of total employment) (modeled ILO estimate),C8_International travel controls,Uzbekistan,UZB,46.7610016,Percentage of total employment,2020.0
30,Social issues ,Life Ladder ,C8_International travel controls,Uzbekistan,UZB,6.178800106048584,score,2021.0
