rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,C8_International travel controls,Venezuela,VEN,72.0,percent of population,2019.0
2,Governance,Corruption Perceptions Index,C8_International travel controls,Venezuela,VEN,15.0,score,2020.0
3,Health,Prevalence of COVID-19,C8_International travel controls,Venezuela,VEN,109081.0,"Number (cumulative total by Dec 26,2020)",2020.0
5,Demographics,Secure Internet servers ,C8_International travel controls,Venezuela,VEN,217.10748791487,per 1 million people,2019.0
6,Health,Prevalence of down syndrome,C8_International travel controls,Venezuela,VEN,0.000287,percent,2019.0
7,Health,Prevalence of Hypertensive heart disease,C8_International travel controls,Venezuela,VEN,0.001971,percent,2019.0
8,Health,Mortality due to COVID-19,C8_International travel controls,Venezuela,VEN,975.0,"Number (cumulative total by Dec 26,2020)",2020.0
9,Social issues ,Press freedom score,C8_International travel controls,Venezuela,VEN,45.66,score,2020.0
10,Health,Prevalence of anxiety disorders,C8_International travel controls,Venezuela,VEN,0.043047,percent,2019.0
12,Health,Summary exposure value tobacco,C8_International travel controls,Venezuela,VEN,15.05829,Rate (risk-weighted prevalence),2019.0
13,Health,Prevalence of total cancers,C8_International travel controls,Venezuela,VEN,0.012026,percent,2019.0
14,Governance,Control of corruption estimate,C8_International travel controls,Venezuela,VEN,-1.50984,score,2019.0
15,Demographics,Fixed broadband subscriptions,C8_International travel controls,Venezuela,VEN,8.98171,per 100 people,2019.0
16,Environment,"Adjusted net savings, including particulate emission damage",C8_International travel controls,Venezuela,VEN,7.44088033456572,percent of GNI,2014.0
17,Health,"Incidence of tuberculosis (per 100,000 people)",C8_International travel controls,Venezuela,VEN,45.0,Cases,2019.0
18,Social issues ,Proportion of seats held by women in national parliaments (%),C8_International travel controls,Venezuela,VEN,22.15568862,proportion,2020.0
19,Environment,"Electricity production from renewable sources, excluding hydroelectric",C8_International travel controls,Venezuela,VEN,0.0,kWh,2015.0
21,Social issues ,Net migration,C8_International travel controls,Venezuela,VEN,-3266243.0,net total / data are 5 year estimates,2019.0
22,Governance,Government effectiveness estimate,C8_International travel controls,Venezuela,VEN,-1.658307,score,2019.0
24,Health,Prevalence of obesity,C8_International travel controls,Venezuela,VEN,25.6,percent,2016.0
25,Health,"Immunization, measles (% of children ages 12-23 months)",C8_International travel controls,Venezuela,VEN,93.0,percent,2019.0
26,Social issues ,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",C8_International travel controls,Venezuela,VEN,25.1461696624756,proportion,2016.0
27,Governance,Aggregate score for the Civil Liberties category,C8_International travel controls,Venezuela,VEN,13.0,score,2021.0
28,Health,"Prevalence of stunting, height for age (modeled estimate, % of children under 5)",C8_International travel controls,Venezuela,VEN,10.6,percent,2020.0
29,Economics,Employment in services (% of total employment) (modeled ILO estimate),C8_International travel controls,Venezuela,VEN,75.4919968,Percentage of total employment,2020.0
30,Social issues ,Life Ladder ,C8_International travel controls,Venezuela,VEN,4.892199993133545,score,2021.0
31,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),C8_International travel controls,Venezuela,VEN,1.7,percent,2018.0
32,Environment,Renewable energy consumption ,C8_International travel controls,Venezuela,VEN,12.8415785518796,percent of total final energy consumption,2015.0
34,Governance,Fragile States Index Total ,C8_International travel controls,Venezuela,VEN,91.15759122974585,score,2020.0
