rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,E1_Income support,Botswana,BWA,47.0,percent of population,2019.0
2,Health,Prevalence of COVID-19,E1_Income support,Botswana,BWA,12873.0,"Number (cumulative total by Dec 26,2020)",2020.0
4,Governance,Corruption Perceptions Index,E1_Income support,Botswana,BWA,60.0,score,2020.0
5,Demographics,Secure Internet servers ,E1_Income support,Botswana,BWA,210.9652441271574,per 1 million people,2019.0
7,Environment,"Electricity production from oil, gas and coal sources",E1_Income support,Botswana,BWA,99.96629592180653,percent of total,2015.0
8,Social issues ,Proportion of seats held by women in national parliaments (%),E1_Income support,Botswana,BWA,10.76923077,proportion,2020.0
9,Health,Summary exposure value tobacco,E1_Income support,Botswana,BWA,21.48769,Rate (risk-weighted prevalence),2019.0
10,Social issues ,Life Ladder ,E1_Income support,Botswana,BWA,3.4665000438690186,score,2021.0
11,Environment,CO2 emissions (kt),E1_Income support,Botswana,BWA,6340.243,kt,2016.0
12,Health,Prevalence of Depressive disorders,E1_Income support,Botswana,BWA,0.041586,percent,2019.0
13,Demographics,Fixed broadband subscriptions,E1_Income support,Botswana,BWA,1.95386,per 100 people,2019.0
14,Health,Prevalence of obesity,E1_Income support,Botswana,BWA,18.9,percent,2016.0
15,Health,"Incidence of tuberculosis (per 100,000 people)",E1_Income support,Botswana,BWA,253.0,Cases,2019.0
16,Economics,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",E1_Income support,Botswana,BWA,70.9690018,Percentage of total population,2020.0
17,Governance,Government effectiveness estimate,E1_Income support,Botswana,BWA,0.429048,score,2019.0
18,Environment,"PM2.5 air pollution, mean annual exposure",E1_Income support,Botswana,BWA,23.09439,micrograms per cubic meter,2017.0
19,Health,Prevalence of Hypertensive heart disease,E1_Income support,Botswana,BWA,0.000472,percent,2019.0
20,Health,Prevalence of Respiratory infections and tuberculosis,E1_Income support,Botswana,BWA,0.193886,percent,2019.0
21,Health,Prevalence of chronic kidney disease,E1_Income support,Botswana,BWA,0.060876,percent,2019.0
22,Social issues ,Net migration,E1_Income support,Botswana,BWA,14999.0,net total / data are 5 year estimates,2019.0
23,Social issues ,Gini index (World Bank estimate),E1_Income support,Botswana,BWA,53.3,index ,2015.0
24,Health,Prevalence of anxiety disorders,E1_Income support,Botswana,BWA,0.037365,percent,2019.0
25,Health,"Physicians (per 1,000 people)",E1_Income support,Botswana,BWA,0.5269,Ones,2016.0
26,Governance,Aggregate score for the Civil Liberties category,E1_Income support,Botswana,BWA,44.0,score,2021.0
28,Environment,CO2 emissions (metric tons per capita),E1_Income support,Botswana,BWA,2.935374,metric tons per capita,2016.0
30,Governance,Rule of law estimate ,E1_Income support,Botswana,BWA,0.4984392,score,2019.0
31,Governance,Economic Freedom Score,E1_Income support,Botswana,BWA,7.6,score,2018.0
32,Health,Mortality due to COVID-19,E1_Income support,Botswana,BWA,38.0,"Number (cumulative total by Dec 26,2020)",2020.0
33,Health,"Immunization, measles (% of children ages 12-23 months)",E1_Income support,Botswana,BWA,97.0,percent,2019.0
34,Environment,Energy use (kg of oil equivalent per capita),E1_Income support,Botswana,BWA,1300.636690168696,kg of oil equivalent per capita,2014.0
35,Environment,"Energy imports, net ",E1_Income support,Botswana,BWA,44.49996466077287,percent of energy use,2014.0
36,Health,"Prevalence of overweight (modeled estimate, % of children under 5)",E1_Income support,Botswana,BWA,11.0,percent,2020.0
37,Environment,Renewable energy consumption ,E1_Income support,Botswana,BWA,28.8798269935477,percent of total final energy consumption,2015.0
38,Demographics,Fixed telephone subscriptions,E1_Income support,Botswana,BWA,141077.0,number,2019.0
39,Governance,Serious assault (rate),E1_Income support,Botswana,BWA,806.61,rate,2014.0
40,Economics,Volume of exports,E1_Income support,Botswana,BWA,3.402,percent change,2020.0
41,Demographics,Mobile cellular subscriptions,E1_Income support,Botswana,BWA,173.811,per 100 people,2019.0
42,Environment,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value ",E1_Income support,Botswana,BWA,100.0,percent of total,2017.0
43,Governance,Regulatory quality estimate,E1_Income support,Botswana,BWA,0.3700964,score,2019.0
44,Governance,Aggregate score for the Political Rights category,E1_Income support,Botswana,BWA,28.0,score,2021.0
