rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,E1_Income support,Estonia,EST,89.5323,percent of population,2019.0
2,Health,Prevalence of COVID-19,E1_Income support,Estonia,EST,20635.0,"Number (cumulative total by Dec 26,2020)",2020.0
4,Governance,Corruption Perceptions Index,E1_Income support,Estonia,EST,75.0,score,2020.0
5,Demographics,Secure Internet servers ,E1_Income support,Estonia,EST,83332.45388552605,per 1 million people,2019.0
6,Social issues ,"Intentional homicides (per 100,000 people)",E1_Income support,Estonia,EST,2.1165412994,"proportion, pero 100,000 people",2018.0
7,Environment,"Electricity production from oil, gas and coal sources",E1_Income support,Estonia,EST,7.151771143323414,percent of total,2015.0
8,Social issues ,Proportion of seats held by women in national parliaments (%),E1_Income support,Estonia,EST,28.71287129,proportion,2020.0
9,Health,Summary exposure value tobacco,E1_Income support,Estonia,EST,26.83086,Rate (risk-weighted prevalence),2019.0
10,Social issues ,Life Ladder ,E1_Income support,Estonia,EST,6.188799858093262,score,2021.0
11,Environment,CO2 emissions (kt),E1_Income support,Estonia,EST,16589.51,kt,2016.0
12,Health,Prevalence of Depressive disorders,E1_Income support,Estonia,EST,0.050879,percent,2019.0
13,Demographics,Fixed broadband subscriptions,E1_Income support,Estonia,EST,33.8808,per 100 people,2019.0
14,Health,Prevalence of obesity,E1_Income support,Estonia,EST,21.2,percent,2016.0
15,Health,"Incidence of tuberculosis (per 100,000 people)",E1_Income support,Estonia,EST,13.0,Cases,2019.0
16,Economics,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",E1_Income support,Estonia,EST,63.2739983,Percentage of total population,2020.0
17,Governance,Government effectiveness estimate,E1_Income support,Estonia,EST,1.174747,score,2019.0
18,Environment,"PM2.5 air pollution, mean annual exposure",E1_Income support,Estonia,EST,6.732124,micrograms per cubic meter,2017.0
19,Health,Prevalence of Hypertensive heart disease,E1_Income support,Estonia,EST,0.004469,percent,2019.0
20,Health,Prevalence of Respiratory infections and tuberculosis,E1_Income support,Estonia,EST,0.190324,percent,2019.0
