rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,E1_Income support,Ethiopia,ETH,18.6181,percent of population,2019.0
2,Health,Prevalence of COVID-19,E1_Income support,Ethiopia,ETH,119025.0,"Number (cumulative total by Dec 26,2020)",2020.0
4,Governance,Corruption Perceptions Index,E1_Income support,Ethiopia,ETH,38.0,score,2020.0
5,Demographics,Secure Internet servers ,E1_Income support,Ethiopia,ETH,1.47217942244706,per 1 million people,2019.0
7,Environment,"Electricity production from oil, gas and coal sources",E1_Income support,Ethiopia,ETH,0.0383251892306218,percent of total,2015.0
8,Social issues ,Proportion of seats held by women in national parliaments (%),E1_Income support,Ethiopia,ETH,38.75685558,proportion,2020.0
9,Health,Summary exposure value tobacco,E1_Income support,Ethiopia,ETH,5.40909,Rate (risk-weighted prevalence),2019.0
10,Social issues ,Life Ladder ,E1_Income support,Ethiopia,ETH,4.274700164794922,score,2021.0
11,Environment,CO2 emissions (kt),E1_Income support,Ethiopia,ETH,14869.69,kt,2016.0
12,Health,Prevalence of Depressive disorders,E1_Income support,Ethiopia,ETH,0.034094,percent,2019.0
13,Demographics,Fixed broadband subscriptions,E1_Income support,Ethiopia,ETH,0.0591636,per 100 people,2019.0
14,Health,Prevalence of obesity,E1_Income support,Ethiopia,ETH,4.5,percent,2016.0
15,Health,"Incidence of tuberculosis (per 100,000 people)",E1_Income support,Ethiopia,ETH,140.0,Cases,2019.0
16,Economics,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",E1_Income support,Ethiopia,ETH,79.6179962,Percentage of total population,2020.0
17,Governance,Government effectiveness estimate,E1_Income support,Ethiopia,ETH,-0.6345773,score,2019.0
18,Environment,"PM2.5 air pollution, mean annual exposure",E1_Income support,Ethiopia,ETH,38.97874,micrograms per cubic meter,2017.0
19,Health,Prevalence of Hypertensive heart disease,E1_Income support,Ethiopia,ETH,0.000948,percent,2019.0
20,Health,Prevalence of Respiratory infections and tuberculosis,E1_Income support,Ethiopia,ETH,0.357804,percent,2019.0
21,Health,Prevalence of chronic kidney disease,E1_Income support,Ethiopia,ETH,0.033114,percent,2019.0
22,Social issues ,Net migration,E1_Income support,Ethiopia,ETH,150002.0,net total / data are 5 year estimates,2019.0
23,Social issues ,Gini index (World Bank estimate),E1_Income support,Ethiopia,ETH,35.0,index ,2015.0
24,Health,Prevalence of anxiety disorders,E1_Income support,Ethiopia,ETH,0.031241,percent,2019.0
25,Health,"Physicians (per 1,000 people)",E1_Income support,Ethiopia,ETH,0.0769,Ones,2018.0
26,Governance,Aggregate score for the Civil Liberties category,E1_Income support,Ethiopia,ETH,13.0,score,2021.0
28,Environment,CO2 emissions (metric tons per capita),E1_Income support,Ethiopia,ETH,0.143525,metric tons per capita,2016.0
30,Governance,Rule of law estimate ,E1_Income support,Ethiopia,ETH,-0.4734782,score,2019.0
31,Governance,Economic Freedom Score,E1_Income support,Ethiopia,ETH,5.61,score,2018.0
32,Health,Mortality due to COVID-19,E1_Income support,Ethiopia,ETH,1843.0,"Number (cumulative total by Dec 26,2020)",2020.0
33,Health,"Immunization, measles (% of children ages 12-23 months)",E1_Income support,Ethiopia,ETH,58.0,percent,2019.0
34,Environment,Energy use (kg of oil equivalent per capita),E1_Income support,Ethiopia,ETH,493.1301632930524,kg of oil equivalent per capita,2014.0
35,Environment,"Energy imports, net ",E1_Income support,Ethiopia,ETH,5.926314417466601,percent of energy use,2014.0
36,Health,"Prevalence of overweight (modeled estimate, % of children under 5)",E1_Income support,Ethiopia,ETH,2.6,percent,2020.0
37,Environment,Renewable energy consumption ,E1_Income support,Ethiopia,ETH,92.163461141348,percent of total final energy consumption,2015.0
38,Demographics,Fixed telephone subscriptions,E1_Income support,Ethiopia,ETH,1140000.0,number,2019.0
40,Economics,Volume of exports,E1_Income support,Ethiopia,ETH,9.592,percent change,2020.0
41,Demographics,Mobile cellular subscriptions,E1_Income support,Ethiopia,ETH,36.2007,per 100 people,2019.0
42,Environment,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value ",E1_Income support,Ethiopia,ETH,100.0,percent of total,2017.0
43,Governance,Regulatory quality estimate,E1_Income support,Ethiopia,ETH,-0.8889709,score,2019.0
44,Governance,Aggregate score for the Political Rights category,E1_Income support,Ethiopia,ETH,9.0,score,2021.0
45,Environment,Access to electricity ,E1_Income support,Ethiopia,ETH,44.9799575805664,percent of population,2018.0
46,Governance,Political stability and absence of violence/terrorism estimate,E1_Income support,Ethiopia,ETH,-1.279597,score,2019.0
48,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),E1_Income support,Ethiopia,ETH,0.8,percent,2018.0
51,Economics,Volume of imports,E1_Income support,Ethiopia,ETH,1.952,percent change,2020.0
52,Health,Prevalence of total cancers,E1_Income support,Ethiopia,ETH,0.001855,percent,2019.0
