rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,E1_Income support,Gibraltar,GIB,94.4445,percent of population,2019.0
2,Health,Prevalence of COVID-19,E1_Income support,Gibraltar,GIB,1153.0,"Number (cumulative total by Dec 26,2020)",2020.0
5,Demographics,Secure Internet servers ,E1_Income support,Gibraltar,GIB,16201.29966469838,per 1 million people,2019.0
7,Environment,"Electricity production from oil, gas and coal sources",E1_Income support,Gibraltar,GIB,100.0,percent of total,2015.0
11,Environment,CO2 emissions (kt),E1_Income support,Gibraltar,GIB,634.391,kt,2016.0
13,Demographics,Fixed broadband subscriptions,E1_Income support,Gibraltar,GIB,56.2891,per 100 people,2019.0
28,Environment,CO2 emissions (metric tons per capita),E1_Income support,Gibraltar,GIB,18.80401,metric tons per capita,2016.0
32,Health,Mortality due to COVID-19,E1_Income support,Gibraltar,GIB,6.0,"Number (cumulative total by Dec 26,2020)",2020.0
34,Environment,Energy use (kg of oil equivalent per capita),E1_Income support,Gibraltar,GIB,5812.453669384729,kg of oil equivalent per capita,2014.0
35,Environment,"Energy imports, net ",E1_Income support,Gibraltar,GIB,100.0,percent of energy use,2014.0
37,Environment,Renewable energy consumption ,E1_Income support,Gibraltar,GIB,0.0,percent of total final energy consumption,2015.0
38,Demographics,Fixed telephone subscriptions,E1_Income support,Gibraltar,GIB,16968.0,number,2019.0
41,Demographics,Mobile cellular subscriptions,E1_Income support,Gibraltar,GIB,120.284,per 100 people,2019.0
45,Environment,Access to electricity ,E1_Income support,Gibraltar,GIB,100.0,percent of population,2018.0
54,Environment,Electricity production from coal sources ,E1_Income support,Gibraltar,GIB,0.0,percent of total,2015.0
57,Environment,"Electricity production from renewable sources, excluding hydroelectric",E1_Income support,Gibraltar,GIB,0.0,kWh,2015.0
67,Environment,Combustible renewables and waste,E1_Income support,Gibraltar,GIB,0.0,percent of total energy,2014.0
72,Environment,Fossil fuel energy consumption,E1_Income support,Gibraltar,GIB,99.51282,percent of total,2014.0
74,Environment,Electric power consumption ,E1_Income support,Gibraltar,GIB,5693.106004447739,kWh per capita,2014.0
83,Environment,Electricity production from oil sources,E1_Income support,Gibraltar,GIB,100.0,percent of total,2015.0
107,Environment,Electricity production from nuclear sources ,E1_Income support,Gibraltar,GIB,0.0,percent of total,2014.0
