rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,E1_Income support,Iraq,IRQ,49.36,percent of population,2019.0
2,Health,Prevalence of COVID-19,E1_Income support,Iraq,IRQ,581811.0,"Number (cumulative total by Dec 26,2020)",2020.0
4,Governance,Corruption Perceptions Index,E1_Income support,Iraq,IRQ,21.0,score,2020.0
5,Demographics,Secure Internet servers ,E1_Income support,Iraq,IRQ,12.08350603207349,per 1 million people,2019.0
7,Environment,"Electricity production from oil, gas and coal sources",E1_Income support,Iraq,IRQ,50.14944429935289,percent of total,2015.0
8,Social issues ,Proportion of seats held by women in national parliaments (%),E1_Income support,Iraq,IRQ,26.443769,proportion,2020.0
9,Health,Summary exposure value tobacco,E1_Income support,Iraq,IRQ,35.38905,Rate (risk-weighted prevalence),2019.0
10,Social issues ,Life Ladder ,E1_Income support,Iraq,IRQ,4.854100227355957,score,2021.0
11,Environment,CO2 emissions (kt),E1_Income support,Iraq,IRQ,190060.6,kt,2016.0
12,Health,Prevalence of Depressive disorders,E1_Income support,Iraq,IRQ,0.038898,percent,2019.0
13,Demographics,Fixed broadband subscriptions,E1_Income support,Iraq,IRQ,11.6885,per 100 people,2019.0
14,Health,Prevalence of obesity,E1_Income support,Iraq,IRQ,30.4,percent,2016.0
15,Health,"Incidence of tuberculosis (per 100,000 people)",E1_Income support,Iraq,IRQ,41.0,Cases,2019.0
16,Economics,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",E1_Income support,Iraq,IRQ,43.1430016,Percentage of total population,2020.0
17,Governance,Government effectiveness estimate,E1_Income support,Iraq,IRQ,-1.33627,score,2019.0
18,Environment,"PM2.5 air pollution, mean annual exposure",E1_Income support,Iraq,IRQ,61.63624,micrograms per cubic meter,2017.0
19,Health,Prevalence of Hypertensive heart disease,E1_Income support,Iraq,IRQ,0.001305,percent,2019.0
20,Health,Prevalence of Respiratory infections and tuberculosis,E1_Income support,Iraq,IRQ,0.190807,percent,2019.0
21,Health,Prevalence of chronic kidney disease,E1_Income support,Iraq,IRQ,0.077629,percent,2019.0
22,Social issues ,Net migration,E1_Income support,Iraq,IRQ,39171.0,net total / data are 5 year estimates,2019.0
