rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,E1_Income support,Kenya,KEN,22.5651,percent of population,2019.0
2,Economics,Volume of exports,E1_Income support,Kenya,KEN,9.295,percent change,2020.0
3,Health,Prevalence of COVID-19,E1_Income support,Kenya,KEN,93761.0,"Number (cumulative total by Dec 26,2020)",2020.0
5,Demographics,Secure Internet servers ,E1_Income support,Kenya,KEN,248.1646194020756,per 1 million people,2019.0
6,Governance,Total freedom in the world score ,E1_Income support,Kenya,KEN,48.0,score,2021.0
7,Social issues ,"Intentional homicides (per 100,000 people)",E1_Income support,Kenya,KEN,4.9287280243,"proportion, pero 100,000 people",2018.0
8,Health,Summary exposure value tobacco,E1_Income support,Kenya,KEN,11.71949,Rate (risk-weighted prevalence),2019.0
9,Social issues ,Net migration,E1_Income support,Kenya,KEN,-50000.0,net total / data are 5 year estimates,2019.0
10,Environment,CO2 emissions (kt),E1_Income support,Kenya,KEN,17909.63,kt,2016.0
11,Governance,Economic Freedom Score,E1_Income support,Kenya,KEN,6.84,score,2018.0
12,Social issues ,Life Ladder ,E1_Income support,Kenya,KEN,4.606599807739258,score,2021.0
13,Health,Prevalence of Depressive disorders,E1_Income support,Kenya,KEN,0.038176,percent,2019.0
14,Environment,Electricity production from coal sources ,E1_Income support,Kenya,KEN,0.0,percent of total,2015.0
15,Environment,"Adjusted net savings, including particulate emission damage",E1_Income support,Kenya,KEN,-4.41861639699245,percent of GNI,2017.0
16,Environment,Combustible renewables and waste,E1_Income support,Kenya,KEN,44.45008,percent of total energy,2014.0
17,Health,Prevalence of obesity,E1_Income support,Kenya,KEN,7.1,percent,2016.0
18,Demographics,Fixed broadband subscriptions,E1_Income support,Kenya,KEN,0.93427,per 100 people,2019.0
19,Health,"Immunization, DPT (% of children ages 12-23 months)",E1_Income support,Kenya,KEN,92.0,percent,2019.0
20,Governance,Human Development Index,E1_Income support,Kenya,KEN,0.601,index,2019.0
21,Governance,Rule of law estimate ,E1_Income support,Kenya,KEN,-0.4543177,score,2019.0
22,Demographics,Fixed telephone subscriptions,E1_Income support,Kenya,KEN,70394.0,number,2019.0
24,Environment,Energy use (kg of oil equivalent per capita),E1_Income support,Kenya,KEN,505.9974007269939,kg of oil equivalent per capita,2014.0
25,Social issues ,Gini index (World Bank estimate),E1_Income support,Kenya,KEN,40.8,index ,2015.0
26,Environment,Electricity production from oil sources,E1_Income support,Kenya,KEN,12.4857527717335,percent of total,2015.0
