rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,E1_Income support,Kiribati,KIR,14.5818,percent of population,2019.0
2,Economics,Volume of exports,E1_Income support,Kiribati,KIR,3.494,percent change,2020.0
3,Health,Prevalence of COVID-19,E1_Income support,Kiribati,KIR,0.0,"Number (cumulative total by Dec 26,2020)",2020.0
4,Economics,"Foreign direct investment, net",E1_Income support,Kiribati,KIR,-1144360.0,US Dollar,2018.0
5,Demographics,Secure Internet servers ,E1_Income support,Kiribati,KIR,8.50296753566995,per 1 million people,2019.0
6,Governance,Total freedom in the world score ,E1_Income support,Kiribati,KIR,93.0,score,2021.0
8,Health,Summary exposure value tobacco,E1_Income support,Kiribati,KIR,34.87527,Rate (risk-weighted prevalence),2019.0
9,Social issues ,Net migration,E1_Income support,Kiribati,KIR,-3999.0,net total / data are 5 year estimates,2019.0
10,Environment,CO2 emissions (kt),E1_Income support,Kiribati,KIR,66.006,kt,2016.0
13,Health,Prevalence of Depressive disorders,E1_Income support,Kiribati,KIR,0.027194,percent,2019.0
17,Health,Prevalence of obesity,E1_Income support,Kiribati,KIR,46.0,percent,2016.0
18,Demographics,Fixed broadband subscriptions,E1_Income support,Kiribati,KIR,0.0578202,per 100 people,2019.0
19,Health,"Immunization, DPT (% of children ages 12-23 months)",E1_Income support,Kiribati,KIR,97.0,percent,2019.0
20,Governance,Human Development Index,E1_Income support,Kiribati,KIR,0.63,index,2019.0
21,Governance,Rule of law estimate ,E1_Income support,Kiribati,KIR,0.7377026,score,2019.0
22,Demographics,Fixed telephone subscriptions,E1_Income support,Kiribati,KIR,20.0,number,2019.0
27,Health,Prevalence of anxiety disorders,E1_Income support,Kiribati,KIR,0.040167,percent,2019.0
29,Demographics,Urban population (% of total population),E1_Income support,Kiribati,KIR,54.835,total,2019.0
31,Health,Prevalence of Hypertensive heart disease,E1_Income support,Kiribati,KIR,0.00103,percent,2019.0
32,Health,"Incidence of tuberculosis (per 100,000 people)",E1_Income support,Kiribati,KIR,436.0,Cases,2019.0
35,Health,Prevalence of chronic kidney disease,E1_Income support,Kiribati,KIR,0.081214,percent,2019.0
36,Governance,Government effectiveness estimate,E1_Income support,Kiribati,KIR,-0.2355355,score,2019.0
38,Environment,"PM2.5 air pollution, mean annual exposure",E1_Income support,Kiribati,KIR,10.64086,micrograms per cubic meter,2017.0
39,Governance,Aggregate score for the Civil Liberties category,E1_Income support,Kiribati,KIR,56.0,score,2021.0
41,Environment,Renewable energy consumption ,E1_Income support,Kiribati,KIR,4.25399869303377,percent of total final energy consumption,2015.0
46,Environment,CO2 emissions (metric tons per capita),E1_Income support,Kiribati,KIR,0.586595,metric tons per capita,2016.0
47,Health,Mortality due to COVID-19,E1_Income support,Kiribati,KIR,0.0,"Number (cumulative total by Dec 26,2020)",2020.0
48,Social issues ,Proportion of women in managerial positions (%),E1_Income support,Kiribati,KIR,37.22,percent,2015.0
49,Health,"Prevalence of stunting, height for age (modeled estimate, % of children under 5)",E1_Income support,Kiribati,KIR,14.9,percent,2020.0
50,Health,Prevalence of total cancers,E1_Income support,Kiribati,KIR,0.00563,percent,2019.0
51,Economics,Volume of imports,E1_Income support,Kiribati,KIR,3.047,percent change,2020.0
52,Environment,Access to electricity ,E1_Income support,Kiribati,KIR,100.0,percent of population,2018.0
54,Health,"Prevalence of overweight (modeled estimate, % of children under 5)",E1_Income support,Kiribati,KIR,2.4,percent,2020.0
61,Health,Prevalence of Diabetes,E1_Income support,Kiribati,KIR,0.100787,percent,2019.0
62,Social issues ,Progression to secondary school (%),E1_Income support,Kiribati,KIR,96.34146,proportion,2015.0
64,Demographics,Age dependency ratio (% of working-age population),E1_Income support,Kiribati,KIR,66.44635351062173,proportion,2019.0
66,Governance,Control of corruption estimate,E1_Income support,Kiribati,KIR,0.3710443,score,2019.0
68,Health,"Nurses and midwives (per 1,000 people)",E1_Income support,Kiribati,KIR,3.8342,Ones,2018.0
70,Governance,Aggregate score for the Political Rights category,E1_Income support,Kiribati,KIR,37.0,score,2021.0
72,Health,Prevalence of down syndrome,E1_Income support,Kiribati,KIR,0.000182,percent,2019.0
73,Governance,Regulatory quality estimate,E1_Income support,Kiribati,KIR,-0.6217977,score,2019.0
75,Governance,Political stability and absence of violence/terrorism estimate,E1_Income support,Kiribati,KIR,1.204567,score,2019.0
78,Demographics,Mobile cellular subscriptions,E1_Income support,Kiribati,KIR,46.4755,per 100 people,2019.0
79,Demographics,"Population, total",E1_Income support,Kiribati,KIR,117606.0,total,2019.0
80,Governance,"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)",E1_Income support,Kiribati,KIR,3.5,rating,2019.0
81,Health,Prevalence of Respiratory infections and tuberculosis,E1_Income support,Kiribati,KIR,0.456248,percent,2019.0
82,Health,"Immunization, measles (% of children ages 12-23 months)",E1_Income support,Kiribati,KIR,94.0,percent,2019.0
84,Economics,Unemployment rate (%) - Annual,E1_Income support,Kiribati,KIR,9.5,percent,2015.0
85,Governance,Voice and accountability estimate,E1_Income support,Kiribati,KIR,1.122499,score,2019.0
88,Economics,"Trade, total as % of GDP",E1_Income support,Kiribati,KIR,56.33725,percent,2018.0
89,Economics,Expenditure on social protection (% of GDP),E1_Income support,Kiribati,KIR,1.20154,percent,2018.0
91,Social issues ,Proportion of seats held by women in national parliaments (%),E1_Income support,Kiribati,KIR,8.888888889,proportion,2020.0
92,Demographics,"Age dependency ratio, old (% of working-age population)",E1_Income support,Kiribati,KIR,6.794797401531342,proportion,2019.0
103,Demographics,Rural population (% of total population),E1_Income support,Kiribati,KIR,45.165,proportion,2019.0
110,Environment,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value ",E1_Income support,Kiribati,KIR,99.9999995006364,percent of total,2017.0
111,Social issues ,"Primary completion rate, total (% of relevant age group)",E1_Income support,Kiribati,KIR,100.869567871094,proportion,2016.0
112,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),E1_Income support,Kiribati,KIR,9.3,percent,2018.0
113,Demographics,People using at least basic sanitation services (% of population),E1_Income support,Kiribati,KIR,47.802889981692,proportion,2017.0
114,Economics,"International tourism, receipts",E1_Income support,Kiribati,KIR,3000000.0,US Dollar,2018.0
115,Economics,Expenditure on health (% of GDP),E1_Income support,Kiribati,KIR,12.19047,percent,2018.0
116,Economics,Expenditure on education (% of GDP),E1_Income support,Kiribati,KIR,11.96829,percent,2018.0
