rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,E1_Income support,Mozambique,MOZ,10.0,percent of population,2019.0
2,Health,Prevalence of COVID-19,E1_Income support,Mozambique,MOZ,17256.0,"Number (cumulative total by Dec 26,2020)",2020.0
4,Governance,Corruption Perceptions Index,E1_Income support,Mozambique,MOZ,25.0,score,2020.0
5,Demographics,Secure Internet servers ,E1_Income support,Mozambique,MOZ,20.51634266652388,per 1 million people,2019.0
7,Environment,"Electricity production from oil, gas and coal sources",E1_Income support,Mozambique,MOZ,13.58911263998393,percent of total,2015.0
8,Social issues ,Proportion of seats held by women in national parliaments (%),E1_Income support,Mozambique,MOZ,42.4,proportion,2020.0
9,Health,Summary exposure value tobacco,E1_Income support,Mozambique,MOZ,13.39622,Rate (risk-weighted prevalence),2019.0
10,Social issues ,Life Ladder ,E1_Income support,Mozambique,MOZ,4.79449987411499,score,2021.0
11,Environment,CO2 emissions (kt),E1_Income support,Mozambique,MOZ,7942.722,kt,2016.0
12,Health,Prevalence of Depressive disorders,E1_Income support,Mozambique,MOZ,0.034718,percent,2019.0
13,Demographics,Fixed broadband subscriptions,E1_Income support,Mozambique,MOZ,0.237252,per 100 people,2019.0
14,Health,Prevalence of obesity,E1_Income support,Mozambique,MOZ,7.2,percent,2016.0
15,Health,"Incidence of tuberculosis (per 100,000 people)",E1_Income support,Mozambique,MOZ,361.0,Cases,2019.0
16,Economics,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",E1_Income support,Mozambique,MOZ,77.9499969,Percentage of total population,2020.0
17,Governance,Government effectiveness estimate,E1_Income support,Mozambique,MOZ,-0.8232896,score,2019.0
18,Environment,"PM2.5 air pollution, mean annual exposure",E1_Income support,Mozambique,MOZ,21.2987,micrograms per cubic meter,2017.0
19,Health,Prevalence of Hypertensive heart disease,E1_Income support,Mozambique,MOZ,0.000836,percent,2019.0
20,Health,Prevalence of Respiratory infections and tuberculosis,E1_Income support,Mozambique,MOZ,0.255452,percent,2019.0
21,Health,Prevalence of chronic kidney disease,E1_Income support,Mozambique,MOZ,0.032708,percent,2019.0
22,Social issues ,Net migration,E1_Income support,Mozambique,MOZ,-25000.0,net total / data are 5 year estimates,2019.0
23,Social issues ,Gini index (World Bank estimate),E1_Income support,Mozambique,MOZ,54.0,index ,2014.0
24,Health,Prevalence of anxiety disorders,E1_Income support,Mozambique,MOZ,0.034565,percent,2019.0
25,Health,"Physicians (per 1,000 people)",E1_Income support,Mozambique,MOZ,0.0838,Ones,2018.0
26,Governance,Aggregate score for the Civil Liberties category,E1_Income support,Mozambique,MOZ,29.0,score,2021.0
28,Environment,CO2 emissions (metric tons per capita),E1_Income support,Mozambique,MOZ,0.285402,metric tons per capita,2016.0
30,Governance,Rule of law estimate ,E1_Income support,Mozambique,MOZ,-1.020184,score,2019.0
31,Governance,Economic Freedom Score,E1_Income support,Mozambique,MOZ,5.94,score,2018.0
32,Health,Mortality due to COVID-19,E1_Income support,Mozambique,MOZ,145.0,"Number (cumulative total by Dec 26,2020)",2020.0
33,Health,"Immunization, measles (% of children ages 12-23 months)",E1_Income support,Mozambique,MOZ,87.0,percent,2019.0
34,Environment,Energy use (kg of oil equivalent per capita),E1_Income support,Mozambique,MOZ,442.665215155213,kg of oil equivalent per capita,2014.0
35,Environment,"Energy imports, net ",E1_Income support,Mozambique,MOZ,-54.60162753943163,percent of energy use,2014.0
36,Health,"Prevalence of overweight (modeled estimate, % of children under 5)",E1_Income support,Mozambique,MOZ,6.0,percent,2020.0
37,Environment,Renewable energy consumption ,E1_Income support,Mozambique,MOZ,86.4005089176123,percent of total final energy consumption,2015.0
38,Demographics,Fixed telephone subscriptions,E1_Income support,Mozambique,MOZ,63006.0,number,2019.0
40,Economics,Volume of exports,E1_Income support,Mozambique,MOZ,8.237,percent change,2020.0
41,Demographics,Mobile cellular subscriptions,E1_Income support,Mozambique,MOZ,47.7158,per 100 people,2019.0
42,Environment,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value ",E1_Income support,Mozambique,MOZ,100.0,percent of total,2017.0
43,Governance,Regulatory quality estimate,E1_Income support,Mozambique,MOZ,-0.7247643,score,2019.0
44,Governance,Aggregate score for the Political Rights category,E1_Income support,Mozambique,MOZ,14.0,score,2021.0
45,Environment,Access to electricity ,E1_Income support,Mozambique,MOZ,31.1,percent of population,2018.0
46,Governance,Political stability and absence of violence/terrorism estimate,E1_Income support,Mozambique,MOZ,-0.7454386,score,2019.0
47,Social issues ,Proportion of women in managerial positions (%),E1_Income support,Mozambique,MOZ,24.33,percent,2015.0
48,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),E1_Income support,Mozambique,MOZ,1.7,percent,2018.0
51,Economics,Volume of imports,E1_Income support,Mozambique,MOZ,21.024,percent change,2020.0
52,Health,Prevalence of total cancers,E1_Income support,Mozambique,MOZ,0.002234,percent,2019.0
53,Health,Prevalence of Diabetes,E1_Income support,Mozambique,MOZ,0.01906,percent,2019.0
54,Environment,Electricity production from coal sources ,E1_Income support,Mozambique,MOZ,0.0,percent of total,2015.0
