rank,Category,Indicator,Policy,Country,ISO,value,unit,year
3,Health,Prevalence of COVID-19,E1_Income support,Niue,NIU,0.0,"Number (cumulative total by Dec 26,2020)",2020.0
8,Health,Summary exposure value tobacco,E1_Income support,Niue,NIU,25.73212,Rate (risk-weighted prevalence),2019.0
13,Health,Prevalence of Depressive disorders,E1_Income support,Niue,NIU,0.035593,percent,2019.0
17,Health,Prevalence of obesity,E1_Income support,Niue,NIU,50.0,percent,2016.0
27,Health,Prevalence of anxiety disorders,E1_Income support,Niue,NIU,0.043864,percent,2019.0
31,Health,Prevalence of Hypertensive heart disease,E1_Income support,Niue,NIU,0.005076,percent,2019.0
35,Health,Prevalence of chronic kidney disease,E1_Income support,Niue,NIU,0.145487,percent,2019.0
47,Health,Mortality due to COVID-19,E1_Income support,Niue,NIU,0.0,"Number (cumulative total by Dec 26,2020)",2020.0
50,Health,Prevalence of total cancers,E1_Income support,Niue,NIU,0.011615,percent,2019.0
61,Health,Prevalence of Diabetes,E1_Income support,Niue,NIU,0.210708,percent,2019.0
72,Health,Prevalence of down syndrome,E1_Income support,Niue,NIU,0.000115,percent,2019.0
81,Health,Prevalence of Respiratory infections and tuberculosis,E1_Income support,Niue,NIU,0.335029,percent,2019.0
88,Economics,"Trade, total as % of GDP",E1_Income support,Niue,NIU,65.00378,percent,2018.0
112,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),E1_Income support,Niue,NIU,5.5,percent,2018.0
114,Economics,"International tourism, receipts",E1_Income support,Niue,NIU,8000000.0,US Dollar,2017.0
