rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,E1_Income support,North Korea,PRK,0.0,percent of population,2019.0
3,Health,Prevalence of COVID-19,E1_Income support,North Korea,PRK,0.0,"Number (cumulative total by Dec 26,2020)",2020.0
5,Demographics,Secure Internet servers ,E1_Income support,North Korea,PRK,0.0393236566989717,per 1 million people,2017.0
6,Governance,Total freedom in the world score ,E1_Income support,North Korea,PRK,3.0,score,2021.0
8,Health,Summary exposure value tobacco,E1_Income support,North Korea,PRK,29.74691,Rate (risk-weighted prevalence),2019.0
9,Social issues ,Net migration,E1_Income support,North Korea,PRK,-27013.0,net total / data are 5 year estimates,2019.0
10,Environment,CO2 emissions (kt),E1_Income support,North Korea,PRK,28283.57,kt,2016.0
13,Health,Prevalence of Depressive disorders,E1_Income support,North Korea,PRK,0.033016,percent,2019.0
14,Environment,Electricity production from coal sources ,E1_Income support,North Korea,PRK,21.28557909296062,percent of total,2015.0
16,Environment,Combustible renewables and waste,E1_Income support,North Korea,PRK,7.350266,percent of total energy,2014.0
17,Health,Prevalence of obesity,E1_Income support,North Korea,PRK,6.8,percent,2016.0
19,Health,"Immunization, DPT (% of children ages 12-23 months)",E1_Income support,North Korea,PRK,97.0,percent,2019.0
21,Governance,Rule of law estimate ,E1_Income support,North Korea,PRK,-1.651461,score,2019.0
22,Demographics,Fixed telephone subscriptions,E1_Income support,North Korea,PRK,1180000.0,number,2019.0
24,Environment,Energy use (kg of oil equivalent per capita),E1_Income support,North Korea,PRK,475.3483472898926,kg of oil equivalent per capita,2014.0
26,Environment,Electricity production from oil sources,E1_Income support,North Korea,PRK,5.918322777899104,percent of total,2015.0
27,Health,Prevalence of anxiety disorders,E1_Income support,North Korea,PRK,0.039631,percent,2019.0
28,Economics,Employment in services (% of total employment) (modeled ILO estimate),E1_Income support,North Korea,PRK,35.6580009,Percentage of total employment,2020.0
29,Demographics,Urban population (% of total population),E1_Income support,North Korea,PRK,62.134,total,2019.0
30,Economics,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",E1_Income support,North Korea,PRK,80.2720032,Percentage of total population,2020.0
31,Health,Prevalence of Hypertensive heart disease,E1_Income support,North Korea,PRK,0.00256,percent,2019.0
32,Health,"Incidence of tuberculosis (per 100,000 people)",E1_Income support,North Korea,PRK,513.0,Cases,2019.0
33,Social issues ,Press freedom score,E1_Income support,North Korea,PRK,85.82,score,2020.0
34,Governance,Corruption Perceptions Index,E1_Income support,North Korea,PRK,18.0,score,2020.0
35,Health,Prevalence of chronic kidney disease,E1_Income support,North Korea,PRK,0.105568,percent,2019.0
36,Governance,Government effectiveness estimate,E1_Income support,North Korea,PRK,-1.396788,score,2019.0
37,Economics,"Output per worker (GDP constant 2011 international $ in PPP -- ILO modelled estimates, Nov. 2019",E1_Income support,North Korea,PRK,2159.7,international $ in PPP,2020.0
38,Environment,"PM2.5 air pollution, mean annual exposure",E1_Income support,North Korea,PRK,32.00745,micrograms per cubic meter,2017.0
39,Governance,Aggregate score for the Civil Liberties category,E1_Income support,North Korea,PRK,3.0,score,2021.0
41,Environment,Renewable energy consumption ,E1_Income support,North Korea,PRK,23.1232614917341,percent of total final energy consumption,2015.0
43,Environment,Electric power consumption ,E1_Income support,North Korea,PRK,601.6900478542528,kWh per capita,2014.0
44,Governance,Fragile States Index Total ,E1_Income support,North Korea,PRK,90.21129784524969,score,2020.0
45,Economics,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",E1_Income support,North Korea,PRK,73.2990036,Percentage of females of the total population,2020.0
46,Environment,CO2 emissions (metric tons per capita),E1_Income support,North Korea,PRK,1.117586,metric tons per capita,2016.0
47,Health,Mortality due to COVID-19,E1_Income support,North Korea,PRK,0.0,"Number (cumulative total by Dec 26,2020)",2020.0
49,Health,"Prevalence of stunting, height for age (modeled estimate, % of children under 5)",E1_Income support,North Korea,PRK,18.2,percent,2020.0
50,Health,Prevalence of total cancers,E1_Income support,North Korea,PRK,0.007039,percent,2019.0
52,Environment,Access to electricity ,E1_Income support,North Korea,PRK,48.4908256530762,percent of population,2018.0
53,Economics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",E1_Income support,North Korea,PRK,2.76399994,percent of total labor force,2020.0
54,Health,"Prevalence of overweight (modeled estimate, % of children under 5)",E1_Income support,North Korea,PRK,1.9,percent,2020.0
56,Health,"Physicians (per 1,000 people)",E1_Income support,North Korea,PRK,3.6834,Ones,2017.0
61,Health,Prevalence of Diabetes,E1_Income support,North Korea,PRK,0.056189,percent,2019.0
64,Demographics,Age dependency ratio (% of working-age population),E1_Income support,North Korea,PRK,41.34549537992132,proportion,2019.0
65,Environment,"Electricity production from renewable sources, excluding hydroelectric",E1_Income support,North Korea,PRK,0.0,kWh,2015.0
66,Governance,Control of corruption estimate,E1_Income support,North Korea,PRK,-1.589358,score,2019.0
67,Environment,"Energy imports, net ",E1_Income support,North Korea,PRK,-74.75239399417069,percent of energy use,2014.0
68,Health,"Nurses and midwives (per 1,000 people)",E1_Income support,North Korea,PRK,4.4489,Ones,2017.0
69,Environment,Electricity production from nuclear sources ,E1_Income support,North Korea,PRK,0.0,percent of total,2014.0
70,Governance,Aggregate score for the Political Rights category,E1_Income support,North Korea,PRK,0.0,score,2021.0
72,Health,Prevalence of down syndrome,E1_Income support,North Korea,PRK,0.000112,percent,2019.0
73,Governance,Regulatory quality estimate,E1_Income support,North Korea,PRK,-2.396794,score,2019.0
74,Environment,"Electricity production from oil, gas and coal sources",E1_Income support,North Korea,PRK,27.20390187085972,percent of total,2015.0
75,Governance,Political stability and absence of violence/terrorism estimate,E1_Income support,North Korea,PRK,-0.3049034,score,2019.0
78,Demographics,Mobile cellular subscriptions,E1_Income support,North Korea,PRK,14.9824,per 100 people,2019.0
79,Demographics,"Population, total",E1_Income support,North Korea,PRK,25666161.0,total,2019.0
81,Health,Prevalence of Respiratory infections and tuberculosis,E1_Income support,North Korea,PRK,0.440914,percent,2019.0
82,Health,"Immunization, measles (% of children ages 12-23 months)",E1_Income support,North Korea,PRK,98.0,percent,2019.0
83,Environment,Fossil fuel energy consumption,E1_Income support,North Korea,PRK,62.05199,percent of total,2014.0
85,Governance,Voice and accountability estimate,E1_Income support,North Korea,PRK,-2.194688,score,2019.0
87,Demographics,People using safely managed drinking water services (% of population),E1_Income support,North Korea,PRK,66.6258224741476,proportion,2017.0
91,Social issues ,Proportion of seats held by women in national parliaments (%),E1_Income support,North Korea,PRK,17.61280932,proportion,2020.0
92,Demographics,"Age dependency ratio, old (% of working-age population)",E1_Income support,North Korea,PRK,13.08589160411592,proportion,2019.0
