rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,E1_Income support,Sweden,SWE,94.4934,percent of population,2019.0
2,Health,Prevalence of COVID-19,E1_Income support,Sweden,SWE,367120.0,"Number (cumulative total by Dec 26,2020)",2020.0
4,Governance,Corruption Perceptions Index,E1_Income support,Sweden,SWE,85.0,score,2020.0
5,Demographics,Secure Internet servers ,E1_Income support,Sweden,SWE,25671.88824838342,per 1 million people,2019.0
6,Social issues ,"Intentional homicides (per 100,000 people)",E1_Income support,Sweden,SWE,1.0830726772,"proportion, pero 100,000 people",2018.0
7,Environment,"Electricity production from oil, gas and coal sources",E1_Income support,Sweden,SWE,1.085030043660572,percent of total,2015.0
8,Social issues ,Proportion of seats held by women in national parliaments (%),E1_Income support,Sweden,SWE,46.99140401,proportion,2020.0
9,Health,Summary exposure value tobacco,E1_Income support,Sweden,SWE,19.75948,Rate (risk-weighted prevalence),2019.0
10,Social issues ,Life Ladder ,E1_Income support,Sweden,SWE,7.36269998550415,score,2021.0
11,Environment,CO2 emissions (kt),E1_Income support,Sweden,SWE,43252.27,kt,2016.0
12,Health,Prevalence of Depressive disorders,E1_Income support,Sweden,SWE,0.049783,percent,2019.0
13,Demographics,Fixed broadband subscriptions,E1_Income support,Sweden,SWE,39.8,per 100 people,2019.0
14,Health,Prevalence of obesity,E1_Income support,Sweden,SWE,26.4,percent,2016.0
15,Health,"Incidence of tuberculosis (per 100,000 people)",E1_Income support,Sweden,SWE,5.5,Cases,2019.0
16,Economics,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",E1_Income support,Sweden,SWE,64.5759964,Percentage of total population,2020.0
17,Governance,Government effectiveness estimate,E1_Income support,Sweden,SWE,1.829901,score,2019.0
18,Environment,"PM2.5 air pollution, mean annual exposure",E1_Income support,Sweden,SWE,6.184665,micrograms per cubic meter,2017.0
19,Health,Prevalence of Hypertensive heart disease,E1_Income support,Sweden,SWE,0.003847,percent,2019.0
20,Health,Prevalence of Respiratory infections and tuberculosis,E1_Income support,Sweden,SWE,0.221428,percent,2019.0
21,Health,Prevalence of chronic kidney disease,E1_Income support,Sweden,SWE,0.111387,percent,2019.0
22,Social issues ,Net migration,E1_Income support,Sweden,SWE,200000.0,net total / data are 5 year estimates,2019.0
23,Social issues ,Gini index (World Bank estimate),E1_Income support,Sweden,SWE,28.8,index ,2017.0
24,Health,Prevalence of anxiety disorders,E1_Income support,Sweden,SWE,0.05255,percent,2019.0
25,Health,"Physicians (per 1,000 people)",E1_Income support,Sweden,SWE,3.984,Ones,2016.0
26,Governance,Aggregate score for the Civil Liberties category,E1_Income support,Sweden,SWE,60.0,score,2021.0
28,Environment,CO2 emissions (metric tons per capita),E1_Income support,Sweden,SWE,4.358752,metric tons per capita,2016.0
30,Governance,Rule of law estimate ,E1_Income support,Sweden,SWE,1.906526,score,2019.0
31,Governance,Economic Freedom Score,E1_Income support,Sweden,SWE,7.58,score,2018.0
32,Health,Mortality due to COVID-19,E1_Income support,Sweden,SWE,7993.0,"Number (cumulative total by Dec 26,2020)",2020.0
33,Health,"Immunization, measles (% of children ages 12-23 months)",E1_Income support,Sweden,SWE,97.0,percent,2019.0
34,Environment,Energy use (kg of oil equivalent per capita),E1_Income support,Sweden,SWE,5102.785578312321,kg of oil equivalent per capita,2015.0
35,Environment,"Energy imports, net ",E1_Income support,Sweden,SWE,24.65208338395514,percent of energy use,2015.0
37,Environment,Renewable energy consumption ,E1_Income support,Sweden,SWE,53.2477697984376,percent of total final energy consumption,2015.0
38,Demographics,Fixed telephone subscriptions,E1_Income support,Sweden,SWE,1924970.0,number,2019.0
39,Governance,Serious assault (rate),E1_Income support,Sweden,SWE,47.22,rate,2018.0
40,Economics,Volume of exports,E1_Income support,Sweden,SWE,2.434,percent change,2020.0
41,Demographics,Mobile cellular subscriptions,E1_Income support,Sweden,SWE,126.324,per 100 people,2019.0
42,Environment,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value ",E1_Income support,Sweden,SWE,3.63648738190616,percent of total,2017.0
43,Governance,Regulatory quality estimate,E1_Income support,Sweden,SWE,1.801675,score,2019.0
44,Governance,Aggregate score for the Political Rights category,E1_Income support,Sweden,SWE,40.0,score,2021.0
45,Environment,Access to electricity ,E1_Income support,Sweden,SWE,100.0,percent of population,2018.0
46,Governance,Political stability and absence of violence/terrorism estimate,E1_Income support,Sweden,SWE,1.051791,score,2019.0
47,Social issues ,Proportion of women in managerial positions (%),E1_Income support,Sweden,SWE,38.57,percent,2018.0
48,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),E1_Income support,Sweden,SWE,9.3,percent,2018.0
51,Economics,Volume of imports,E1_Income support,Sweden,SWE,2.718,percent change,2020.0
52,Health,Prevalence of total cancers,E1_Income support,Sweden,SWE,0.036235,percent,2019.0
53,Health,Prevalence of Diabetes,E1_Income support,Sweden,SWE,0.084495,percent,2019.0
54,Environment,Electricity production from coal sources ,E1_Income support,Sweden,SWE,0.6669507382774145,percent of total,2015.0
55,Health,"Nurses and midwives (per 1,000 people)",E1_Income support,Sweden,SWE,11.8164,Ones,2017.0
56,Social issues ,Press freedom score,E1_Income support,Sweden,SWE,9.25,score,2020.0
57,Environment,"Electricity production from renewable sources, excluding hydroelectric",E1_Income support,Sweden,SWE,27130000000.0,kWh,2015.0
58,Health,Prevalence of down syndrome,E1_Income support,Sweden,SWE,0.000572,percent,2019.0
60,Governance,Voice and accountability estimate,E1_Income support,Sweden,SWE,1.59226,score,2019.0
62,Governance,Fragile States Index Total ,E1_Income support,Sweden,SWE,18.209201949895153,score,2020.0
64,Governance,Total freedom in the world score ,E1_Income support,Sweden,SWE,100.0,score,2021.0
65,Governance,Human Development Index,E1_Income support,Sweden,SWE,0.945,index,2019.0
66,Health,"Immunization, DPT (% of children ages 12-23 months)",E1_Income support,Sweden,SWE,98.0,percent,2019.0
67,Environment,Combustible renewables and waste,E1_Income support,Sweden,SWE,18.55136,percent of total energy,2015.0
68,Economics,Employment in services (% of total employment) (modeled ILO estimate),E1_Income support,Sweden,SWE,80.6869965,Percentage of total employment,2020.0
69,Environment,"Adjusted net savings, including particulate emission damage",E1_Income support,Sweden,SWE,17.8281461692756,percent of GNI,2018.0
72,Environment,Fossil fuel energy consumption,E1_Income support,Sweden,SWE,25.1171,percent of total,2015.0
