rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,E1_Income support,Togo,TGO,12.3602,percent of population,2019.0
2,Economics,Volume of exports,E1_Income support,Togo,TGO,8.136,percent change,2020.0
3,Health,Prevalence of COVID-19,E1_Income support,Togo,TGO,3315.0,"Number (cumulative total by Dec 26,2020)",2020.0
5,Demographics,Secure Internet servers ,E1_Income support,Togo,TGO,19.67245729777642,per 1 million people,2019.0
6,Governance,Total freedom in the world score ,E1_Income support,Togo,TGO,43.0,score,2021.0
8,Health,Summary exposure value tobacco,E1_Income support,Togo,TGO,13.87609,Rate (risk-weighted prevalence),2019.0
9,Social issues ,Net migration,E1_Income support,Togo,TGO,-9999.0,net total / data are 5 year estimates,2019.0
10,Environment,CO2 emissions (kt),E1_Income support,Togo,TGO,2999.606,kt,2016.0
11,Governance,Economic Freedom Score,E1_Income support,Togo,TGO,6.25,score,2018.0
12,Social issues ,Life Ladder ,E1_Income support,Togo,TGO,4.106800079345703,score,2021.0
13,Health,Prevalence of Depressive disorders,E1_Income support,Togo,TGO,0.035646,percent,2019.0
14,Environment,Electricity production from coal sources ,E1_Income support,Togo,TGO,0.0,percent of total,2015.0
15,Environment,"Adjusted net savings, including particulate emission damage",E1_Income support,Togo,TGO,1.0887765083884,percent of GNI,2018.0
16,Environment,Combustible renewables and waste,E1_Income support,Togo,TGO,44.13321,percent of total energy,2014.0
17,Health,Prevalence of obesity,E1_Income support,Togo,TGO,8.4,percent,2016.0
18,Demographics,Fixed broadband subscriptions,E1_Income support,Togo,TGO,0.394674,per 100 people,2019.0
19,Health,"Immunization, DPT (% of children ages 12-23 months)",E1_Income support,Togo,TGO,84.0,percent,2019.0
20,Governance,Human Development Index,E1_Income support,Togo,TGO,0.515,index,2019.0
21,Governance,Rule of law estimate ,E1_Income support,Togo,TGO,-0.5887967,score,2019.0
22,Demographics,Fixed telephone subscriptions,E1_Income support,Togo,TGO,43605.0,number,2019.0
