rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,E1_Income support,Venezuela,VEN,72.0,percent of population,2019.0
2,Health,Prevalence of COVID-19,E1_Income support,Venezuela,VEN,109081.0,"Number (cumulative total by Dec 26,2020)",2020.0
4,Governance,Corruption Perceptions Index,E1_Income support,Venezuela,VEN,15.0,score,2020.0
5,Demographics,Secure Internet servers ,E1_Income support,Venezuela,VEN,217.10748791487,per 1 million people,2019.0
6,Social issues ,"Intentional homicides (per 100,000 people)",E1_Income support,Venezuela,VEN,36.687634837,"proportion, pero 100,000 people",2018.0
7,Environment,"Electricity production from oil, gas and coal sources",E1_Income support,Venezuela,VEN,36.30495790458372,percent of total,2015.0
8,Social issues ,Proportion of seats held by women in national parliaments (%),E1_Income support,Venezuela,VEN,22.15568862,proportion,2020.0
9,Health,Summary exposure value tobacco,E1_Income support,Venezuela,VEN,15.05829,Rate (risk-weighted prevalence),2019.0
10,Social issues ,Life Ladder ,E1_Income support,Venezuela,VEN,4.892199993133545,score,2021.0
11,Environment,CO2 emissions (kt),E1_Income support,Venezuela,VEN,164175.3,kt,2016.0
12,Health,Prevalence of Depressive disorders,E1_Income support,Venezuela,VEN,0.035285,percent,2019.0
13,Demographics,Fixed broadband subscriptions,E1_Income support,Venezuela,VEN,8.98171,per 100 people,2019.0
14,Health,Prevalence of obesity,E1_Income support,Venezuela,VEN,25.6,percent,2016.0
15,Health,"Incidence of tuberculosis (per 100,000 people)",E1_Income support,Venezuela,VEN,45.0,Cases,2019.0
16,Economics,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",E1_Income support,Venezuela,VEN,59.2709999,Percentage of total population,2020.0
17,Governance,Government effectiveness estimate,E1_Income support,Venezuela,VEN,-1.658307,score,2019.0
18,Environment,"PM2.5 air pollution, mean annual exposure",E1_Income support,Venezuela,VEN,17.00855,micrograms per cubic meter,2017.0
19,Health,Prevalence of Hypertensive heart disease,E1_Income support,Venezuela,VEN,0.001971,percent,2019.0
20,Health,Prevalence of Respiratory infections and tuberculosis,E1_Income support,Venezuela,VEN,0.283983,percent,2019.0
21,Health,Prevalence of chronic kidney disease,E1_Income support,Venezuela,VEN,0.122755,percent,2019.0
22,Social issues ,Net migration,E1_Income support,Venezuela,VEN,-3266243.0,net total / data are 5 year estimates,2019.0
24,Health,Prevalence of anxiety disorders,E1_Income support,Venezuela,VEN,0.043047,percent,2019.0
26,Governance,Aggregate score for the Civil Liberties category,E1_Income support,Venezuela,VEN,13.0,score,2021.0
27,Demographics,Age dependency ratio (% of working-age population),E1_Income support,Venezuela,VEN,53.88217549558981,proportion,2019.0
28,Environment,CO2 emissions (metric tons per capita),E1_Income support,Venezuela,VEN,5.500713,metric tons per capita,2016.0
30,Governance,Rule of law estimate ,E1_Income support,Venezuela,VEN,-2.320054,score,2019.0
31,Governance,Economic Freedom Score,E1_Income support,Venezuela,VEN,3.34,score,2018.0
32,Health,Mortality due to COVID-19,E1_Income support,Venezuela,VEN,975.0,"Number (cumulative total by Dec 26,2020)",2020.0
33,Health,"Immunization, measles (% of children ages 12-23 months)",E1_Income support,Venezuela,VEN,93.0,percent,2019.0
36,Health,"Prevalence of overweight (modeled estimate, % of children under 5)",E1_Income support,Venezuela,VEN,6.7,percent,2020.0
37,Environment,Renewable energy consumption ,E1_Income support,Venezuela,VEN,12.8415785518796,percent of total final energy consumption,2015.0
38,Demographics,Fixed telephone subscriptions,E1_Income support,Venezuela,VEN,5467040.0,number,2019.0
39,Governance,Serious assault (rate),E1_Income support,Venezuela,VEN,6.51,rate,2018.0
40,Economics,Volume of exports,E1_Income support,Venezuela,VEN,-11.942,percent change,2020.0
41,Demographics,Mobile cellular subscriptions,E1_Income support,Venezuela,VEN,58.0682,per 100 people,2019.0
42,Environment,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value ",E1_Income support,Venezuela,VEN,99.9336624316864,percent of total,2017.0
43,Governance,Regulatory quality estimate,E1_Income support,Venezuela,VEN,-2.359116,score,2019.0
44,Governance,Aggregate score for the Political Rights category,E1_Income support,Venezuela,VEN,1.0,score,2021.0
45,Environment,Access to electricity ,E1_Income support,Venezuela,VEN,100.0,percent of population,2018.0
46,Governance,Political stability and absence of violence/terrorism estimate,E1_Income support,Venezuela,VEN,-1.445485,score,2019.0
48,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),E1_Income support,Venezuela,VEN,1.7,percent,2018.0
