rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,E2_Debt/contract relief,Bulgaria,BGR,67.947,percent of population,2019.0
2,Demographics,Fixed telephone subscriptions,E2_Debt/contract relief,Bulgaria,BGR,972255.0,number,2019.0
3,Health,Prevalence of Respiratory infections and tuberculosis,E2_Debt/contract relief,Bulgaria,BGR,0.225973,percent,2019.0
4,Health,Prevalence of COVID-19,E2_Debt/contract relief,Bulgaria,BGR,190027.0,"Number (cumulative total by Dec 26,2020)",2020.0
5,Governance,Rule of law estimate ,E2_Debt/contract relief,Bulgaria,BGR,0.0358966,score,2019.0
6,Health,"Physicians (per 1,000 people)",E2_Debt/contract relief,Bulgaria,BGR,4.0332,Ones,2015.0
7,Environment,Electricity production from oil sources,E2_Debt/contract relief,Bulgaria,BGR,0.373394608345985,percent of total,2015.0
8,Economics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",E2_Debt/contract relief,Bulgaria,BGR,3.8499999,percent of total labor force,2020.0
9,Environment,Fossil fuel energy consumption,E2_Debt/contract relief,Bulgaria,BGR,71.04592,percent of total,2014.0
10,Governance,Human Freedom Score ,E2_Debt/contract relief,Bulgaria,BGR,7.93,score,2018.0
11,Governance,Voice and accountability estimate,E2_Debt/contract relief,Bulgaria,BGR,0.3849187,score,2019.0
12,Demographics,Fixed broadband subscriptions,E2_Debt/contract relief,Bulgaria,BGR,27.6502,per 100 people,2019.0
13,Governance,Personal Freedom Score ,E2_Debt/contract relief,Bulgaria,BGR,8.11,score,2018.0
14,Governance,Economic Freedom Score,E2_Debt/contract relief,Bulgaria,BGR,7.74,score,2018.0
15,Social issues ,"Intentional homicides (per 100,000 people)",E2_Debt/contract relief,Bulgaria,BGR,1.3046665939,"proportion, pero 100,000 people",2018.0
16,Environment,CO2 emissions (metric tons per capita),E2_Debt/contract relief,Bulgaria,BGR,5.851501,metric tons per capita,2016.0
17,Environment,Energy use (kg of oil equivalent per capita),E2_Debt/contract relief,Bulgaria,BGR,2477.65540069696,kg of oil equivalent per capita,2014.0
18,Health,"Prevalence of overweight (modeled estimate, % of children under 5)",E2_Debt/contract relief,Bulgaria,BGR,5.7,percent,2020.0
19,Health,"Nurses and midwives (per 1,000 people)",E2_Debt/contract relief,Bulgaria,BGR,4.8156,Ones,2015.0
20,Environment,Electricity production from coal sources ,E2_Debt/contract relief,Bulgaria,BGR,46.20655697345205,percent of total,2015.0
21,Economics,Employment in services (% of total employment) (modeled ILO estimate),E2_Debt/contract relief,Bulgaria,BGR,63.6520004,Percentage of total employment,2020.0
23,Environment,"PM2.5 air pollution, mean annual exposure",E2_Debt/contract relief,Bulgaria,BGR,19.14913,micrograms per cubic meter,2017.0
24,Health,Prevalence of total cancers,E2_Debt/contract relief,Bulgaria,BGR,0.025146,percent,2019.0
25,Social issues ,Net migration,E2_Debt/contract relief,Bulgaria,BGR,-24001.0,net total / data are 5 year estimates,2019.0
26,Social issues ,Press freedom score,E2_Debt/contract relief,Bulgaria,BGR,35.06,score,2020.0
27,Environment,Combustible renewables and waste,E2_Debt/contract relief,Bulgaria,BGR,5.996297,percent of total energy,2014.0
28,Social issues ,Proportion of women in managerial positions (%),E2_Debt/contract relief,Bulgaria,BGR,38.57,percent,2018.0
29,Governance,Corruption Perceptions Index,E2_Debt/contract relief,Bulgaria,BGR,44.0,score,2020.0
32,Health,"Prevalence of stunting, height for age (modeled estimate, % of children under 5)",E2_Debt/contract relief,Bulgaria,BGR,6.4,percent,2020.0
33,Environment,"Electricity production from renewable sources, excluding hydroelectric",E2_Debt/contract relief,Bulgaria,BGR,3107000000.0,kWh,2015.0
34,Health,Prevalence of anxiety disorders,E2_Debt/contract relief,Bulgaria,BGR,0.040476,percent,2019.0
35,Health,Prevalence of Diabetes,E2_Debt/contract relief,Bulgaria,BGR,0.098452,percent,2019.0
36,Health,"Incidence of tuberculosis (per 100,000 people)",E2_Debt/contract relief,Bulgaria,BGR,21.0,Cases,2019.0
37,Environment,"Adjusted net savings, including particulate emission damage",E2_Debt/contract relief,Bulgaria,BGR,15.1401354438355,percent of GNI,2018.0
38,Demographics,Secure Internet servers ,E2_Debt/contract relief,Bulgaria,BGR,40238.04714639736,per 1 million people,2019.0
39,Governance,Fragile States Index Total ,E2_Debt/contract relief,Bulgaria,BGR,49.17165481543572,score,2020.0
40,Environment,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value ",E2_Debt/contract relief,Bulgaria,BGR,99.8946743201431,percent of total,2017.0
41,Demographics,Mobile cellular subscriptions,E2_Debt/contract relief,Bulgaria,BGR,116.206,per 100 people,2019.0
42,Social issues ,Life Ladder ,E2_Debt/contract relief,Bulgaria,BGR,5.265500068664551,score,2021.0
43,Governance,Political stability and absence of violence/terrorism estimate,E2_Debt/contract relief,Bulgaria,BGR,0.5401217,score,2019.0
44,Governance,Aggregate score for the Political Rights category,E2_Debt/contract relief,Bulgaria,BGR,33.0,score,2021.0
45,Health,Summary exposure value tobacco,E2_Debt/contract relief,Bulgaria,BGR,33.85154,Rate (risk-weighted prevalence),2019.0
46,Health,"Prevalence of HIV, total (% of population ages 15-49)",E2_Debt/contract relief,Bulgaria,BGR,0.1,percent,2019.0
47,Economics,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",E2_Debt/contract relief,Bulgaria,BGR,55.243,Percentage of total population,2020.0
48,Environment,"Energy imports, net ",E2_Debt/contract relief,Bulgaria,BGR,36.55077772468187,percent of energy use,2014.0
49,Health,Prevalence of chronic kidney disease,E2_Debt/contract relief,Bulgaria,BGR,0.141258,percent,2019.0
50,Governance,Government effectiveness estimate,E2_Debt/contract relief,Bulgaria,BGR,0.3390003,score,2019.0
51,Health,Prevalence of obesity,E2_Debt/contract relief,Bulgaria,BGR,25.0,percent,2016.0
52,Governance,Aggregate score for the Civil Liberties category,E2_Debt/contract relief,Bulgaria,BGR,45.0,score,2021.0
53,Economics,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",E2_Debt/contract relief,Bulgaria,BGR,49.112999,Percentage of females of the total population,2020.0
54,Health,Mortality due to COVID-19,E2_Debt/contract relief,Bulgaria,BGR,6496.0,"Number (cumulative total by Dec 26,2020)",2020.0
57,Health,"Immunization, DPT (% of children ages 12-23 months)",E2_Debt/contract relief,Bulgaria,BGR,92.0,percent,2019.0
58,Environment,Energy use ,E2_Debt/contract relief,Bulgaria,BGR,132.2621599661743,"(kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)",2014.0
59,Economics,Volume of exports,E2_Debt/contract relief,Bulgaria,BGR,4.358,percent change,2020.0
60,Health,Prevalence of Depressive disorders,E2_Debt/contract relief,Bulgaria,BGR,0.037262,percent,2019.0
61,Governance,Regulatory quality estimate,E2_Debt/contract relief,Bulgaria,BGR,0.5316786,score,2019.0
63,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),E2_Debt/contract relief,Bulgaria,BGR,4.2,percent,2018.0
64,Social issues ,Gini index (World Bank estimate),E2_Debt/contract relief,Bulgaria,BGR,40.4,index ,2017.0
65,Health,Prevalence of Hypertensive heart disease,E2_Debt/contract relief,Bulgaria,BGR,0.006279,percent,2019.0
67,Health,"Immunization, measles (% of children ages 12-23 months)",E2_Debt/contract relief,Bulgaria,BGR,93.0,percent,2019.0
68,Governance,Human Development Index,E2_Debt/contract relief,Bulgaria,BGR,0.816,index,2019.0
69,Environment,CO2 emissions (kt),E2_Debt/contract relief,Bulgaria,BGR,41708.46,kt,2016.0
71,Governance,Total freedom in the world score ,E2_Debt/contract relief,Bulgaria,BGR,78.0,score,2021.0
73,Health,Prevalence of down syndrome,E2_Debt/contract relief,Bulgaria,BGR,0.000145,percent,2019.0
76,Social issues ,Proportion of seats held by women in national parliaments (%),E2_Debt/contract relief,Bulgaria,BGR,26.66666667,proportion,2020.0
77,Governance,Control of corruption estimate,E2_Debt/contract relief,Bulgaria,BGR,-0.1551902,score,2019.0
79,Environment,Electric power consumption ,E2_Debt/contract relief,Bulgaria,BGR,4708.92745757231,kWh per capita,2014.0
