rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,E2_Debt/contract relief,Botswana,BWA,47.0,percent of population,2019.0
2,Governance,Corruption Perceptions Index,E2_Debt/contract relief,Botswana,BWA,60.0,score,2020.0
3,Health,Prevalence of COVID-19,E2_Debt/contract relief,Botswana,BWA,12873.0,"Number (cumulative total by Dec 26,2020)",2020.0
5,Environment,Fossil fuel energy consumption,E2_Debt/contract relief,Botswana,BWA,74.68798,percent of total,2014.0
6,Demographics,Secure Internet servers ,E2_Debt/contract relief,Botswana,BWA,210.9652441271574,per 1 million people,2019.0
7,Social issues ,Life Ladder ,E2_Debt/contract relief,Botswana,BWA,3.4665000438690186,score,2021.0
8,Health,"Incidence of tuberculosis (per 100,000 people)",E2_Debt/contract relief,Botswana,BWA,253.0,Cases,2019.0
9,Health,Summary exposure value tobacco,E2_Debt/contract relief,Botswana,BWA,21.48769,Rate (risk-weighted prevalence),2019.0
10,Demographics,Fixed broadband subscriptions,E2_Debt/contract relief,Botswana,BWA,1.95386,per 100 people,2019.0
11,Health,"Immunization, measles (% of children ages 12-23 months)",E2_Debt/contract relief,Botswana,BWA,97.0,percent,2019.0
12,Environment,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value ",E2_Debt/contract relief,Botswana,BWA,100.0,percent of total,2017.0
13,Health,Mortality due to COVID-19,E2_Debt/contract relief,Botswana,BWA,38.0,"Number (cumulative total by Dec 26,2020)",2020.0
14,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),E2_Debt/contract relief,Botswana,BWA,4.5,percent,2018.0
15,Social issues ,Press freedom score,E2_Debt/contract relief,Botswana,BWA,23.56,score,2020.0
16,Economics,Employment in services (% of total employment) (modeled ILO estimate),E2_Debt/contract relief,Botswana,BWA,61.5099983,Percentage of total employment,2020.0
17,Environment,CO2 emissions (kt),E2_Debt/contract relief,Botswana,BWA,6340.243,kt,2016.0
18,Governance,Control of corruption estimate,E2_Debt/contract relief,Botswana,BWA,0.7078156,score,2019.0
19,Health,Prevalence of Respiratory infections and tuberculosis,E2_Debt/contract relief,Botswana,BWA,0.193886,percent,2019.0
20,Social issues ,Net migration,E2_Debt/contract relief,Botswana,BWA,14999.0,net total / data are 5 year estimates,2019.0
21,Health,Prevalence of anxiety disorders,E2_Debt/contract relief,Botswana,BWA,0.037365,percent,2019.0
22,Governance,Economic Freedom Score,E2_Debt/contract relief,Botswana,BWA,7.6,score,2018.0
23,Health,Prevalence of Diabetes,E2_Debt/contract relief,Botswana,BWA,0.04175,percent,2019.0
24,Governance,Aggregate score for the Political Rights category,E2_Debt/contract relief,Botswana,BWA,28.0,score,2021.0
25,Economics,"Central government debt, total",E2_Debt/contract relief,Botswana,BWA,15.23546263055361,percent of GDP,2016.0
26,Health,Prevalence of Hypertensive heart disease,E2_Debt/contract relief,Botswana,BWA,0.000472,percent,2019.0
27,Economics,Volume of exports,E2_Debt/contract relief,Botswana,BWA,3.402,percent change,2020.0
28,Economics,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",E2_Debt/contract relief,Botswana,BWA,65.5250015,Percentage of females of the total population,2020.0
29,Environment,"Adjusted net savings, including particulate emission damage",E2_Debt/contract relief,Botswana,BWA,20.4931459550485,percent of GNI,2018.0
30,Health,"Physicians (per 1,000 people)",E2_Debt/contract relief,Botswana,BWA,0.5269,Ones,2016.0
31,Governance,Personal Freedom Score ,E2_Debt/contract relief,Botswana,BWA,7.1,score,2018.0
32,Governance,Human Development Index,E2_Debt/contract relief,Botswana,BWA,0.735,index,2019.0
