rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,E2_Debt/contract relief,Central African Republic,CAF,4.33925,percent of population,2019.0
2,Governance,Corruption Perceptions Index,E2_Debt/contract relief,Central African Republic,CAF,26.0,score,2020.0
3,Health,Prevalence of COVID-19,E2_Debt/contract relief,Central African Republic,CAF,4936.0,"Number (cumulative total by Dec 26,2020)",2020.0
6,Demographics,Secure Internet servers ,E2_Debt/contract relief,Central African Republic,CAF,1.053699697693557,per 1 million people,2019.0
7,Social issues ,Life Ladder ,E2_Debt/contract relief,Central African Republic,CAF,3.4758620262145996,score,2017.0
8,Health,"Incidence of tuberculosis (per 100,000 people)",E2_Debt/contract relief,Central African Republic,CAF,540.0,Cases,2019.0
9,Health,Summary exposure value tobacco,E2_Debt/contract relief,Central African Republic,CAF,10.29123,Rate (risk-weighted prevalence),2019.0
10,Demographics,Fixed broadband subscriptions,E2_Debt/contract relief,Central African Republic,CAF,0.0105159,per 100 people,2019.0
11,Health,"Immunization, measles (% of children ages 12-23 months)",E2_Debt/contract relief,Central African Republic,CAF,49.0,percent,2019.0
12,Environment,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value ",E2_Debt/contract relief,Central African Republic,CAF,100.0,percent of total,2017.0
13,Health,Mortality due to COVID-19,E2_Debt/contract relief,Central African Republic,CAF,63.0,"Number (cumulative total by Dec 26,2020)",2020.0
14,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),E2_Debt/contract relief,Central African Republic,CAF,0.7,percent,2018.0
15,Social issues ,Press freedom score,E2_Debt/contract relief,Central African Republic,CAF,42.87,score,2020.0
16,Economics,Employment in services (% of total employment) (modeled ILO estimate),E2_Debt/contract relief,Central African Republic,CAF,17.5030003,Percentage of total employment,2020.0
17,Environment,CO2 emissions (kt),E2_Debt/contract relief,Central African Republic,CAF,297.027,kt,2016.0
18,Governance,Control of corruption estimate,E2_Debt/contract relief,Central African Republic,CAF,-1.22844,score,2019.0
19,Health,Prevalence of Respiratory infections and tuberculosis,E2_Debt/contract relief,Central African Republic,CAF,0.410854,percent,2019.0
20,Social issues ,Net migration,E2_Debt/contract relief,Central African Republic,CAF,-200000.0,net total / data are 5 year estimates,2019.0
21,Health,Prevalence of anxiety disorders,E2_Debt/contract relief,Central African Republic,CAF,0.039681,percent,2019.0
22,Governance,Economic Freedom Score,E2_Debt/contract relief,Central African Republic,CAF,5.27,score,2018.0
23,Health,Prevalence of Diabetes,E2_Debt/contract relief,Central African Republic,CAF,0.030741,percent,2019.0
24,Governance,Aggregate score for the Political Rights category,E2_Debt/contract relief,Central African Republic,CAF,3.0,score,2021.0
