rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,E2_Debt/contract relief,Micronesia,FSM,35.3041,percent of population,2019.0
2,Demographics,Fixed telephone subscriptions,E2_Debt/contract relief,Micronesia,FSM,6947.0,number,2019.0
3,Health,Prevalence of Respiratory infections and tuberculosis,E2_Debt/contract relief,Micronesia,FSM,0.414042,percent,2019.0
4,Health,Prevalence of COVID-19,E2_Debt/contract relief,Micronesia,FSM,0.0,"Number (cumulative total by Dec 26,2020)",2020.0
5,Governance,Rule of law estimate ,E2_Debt/contract relief,Micronesia,FSM,0.0241157,score,2019.0
11,Governance,Voice and accountability estimate,E2_Debt/contract relief,Micronesia,FSM,1.094265,score,2019.0
12,Demographics,Fixed broadband subscriptions,E2_Debt/contract relief,Micronesia,FSM,3.38779,per 100 people,2019.0
16,Environment,CO2 emissions (metric tons per capita),E2_Debt/contract relief,Micronesia,FSM,1.297582,metric tons per capita,2016.0
19,Health,"Nurses and midwives (per 1,000 people)",E2_Debt/contract relief,Micronesia,FSM,2.0426,Ones,2018.0
23,Environment,"PM2.5 air pollution, mean annual exposure",E2_Debt/contract relief,Micronesia,FSM,11.2834,micrograms per cubic meter,2017.0
24,Health,Prevalence of total cancers,E2_Debt/contract relief,Micronesia,FSM,0.006194,percent,2019.0
25,Social issues ,Net migration,E2_Debt/contract relief,Micronesia,FSM,-2999.0,net total / data are 5 year estimates,2019.0
28,Social issues ,Proportion of women in managerial positions (%),E2_Debt/contract relief,Micronesia,FSM,20.26,percent,2014.0
31,Economics,"Central government debt, total",E2_Debt/contract relief,Micronesia,FSM,25.39177741153753,percent of GDP,2016.0
34,Health,Prevalence of anxiety disorders,E2_Debt/contract relief,Micronesia,FSM,0.041918,percent,2019.0
35,Health,Prevalence of Diabetes,E2_Debt/contract relief,Micronesia,FSM,0.105494,percent,2019.0
36,Health,"Incidence of tuberculosis (per 100,000 people)",E2_Debt/contract relief,Micronesia,FSM,100.0,Cases,2019.0
38,Demographics,Secure Internet servers ,E2_Debt/contract relief,Micronesia,FSM,210.8685146948996,per 1 million people,2019.0
39,Governance,Fragile States Index Total ,E2_Debt/contract relief,Micronesia,FSM,71.23563007855653,score,2020.0
40,Environment,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value ",E2_Debt/contract relief,Micronesia,FSM,99.9999999837514,percent of total,2017.0
41,Demographics,Mobile cellular subscriptions,E2_Debt/contract relief,Micronesia,FSM,20.7377,per 100 people,2019.0
43,Governance,Political stability and absence of violence/terrorism estimate,E2_Debt/contract relief,Micronesia,FSM,0.9964124,score,2019.0
44,Governance,Aggregate score for the Political Rights category,E2_Debt/contract relief,Micronesia,FSM,37.0,score,2021.0
45,Health,Summary exposure value tobacco,E2_Debt/contract relief,Micronesia,FSM,25.30581,Rate (risk-weighted prevalence),2019.0
49,Health,Prevalence of chronic kidney disease,E2_Debt/contract relief,Micronesia,FSM,0.096116,percent,2019.0
50,Governance,Government effectiveness estimate,E2_Debt/contract relief,Micronesia,FSM,-0.1870816,score,2019.0
51,Health,Prevalence of obesity,E2_Debt/contract relief,Micronesia,FSM,45.8,percent,2016.0
52,Governance,Aggregate score for the Civil Liberties category,E2_Debt/contract relief,Micronesia,FSM,55.0,score,2021.0
54,Health,Mortality due to COVID-19,E2_Debt/contract relief,Micronesia,FSM,0.0,"Number (cumulative total by Dec 26,2020)",2020.0
55,Economics,Unemployment rate (%) - Annual,E2_Debt/contract relief,Micronesia,FSM,9.1,percent,2014.0
56,Demographics,Rural population (% of total population),E2_Debt/contract relief,Micronesia,FSM,77.188,proportion,2019.0
57,Health,"Immunization, DPT (% of children ages 12-23 months)",E2_Debt/contract relief,Micronesia,FSM,78.0,percent,2019.0
60,Health,Prevalence of Depressive disorders,E2_Debt/contract relief,Micronesia,FSM,0.028717,percent,2019.0
61,Governance,Regulatory quality estimate,E2_Debt/contract relief,Micronesia,FSM,-0.9603013,score,2019.0
62,Demographics,Urban population (% of total population),E2_Debt/contract relief,Micronesia,FSM,22.812,total,2019.0
63,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),E2_Debt/contract relief,Micronesia,FSM,3.3,percent,2018.0
65,Health,Prevalence of Hypertensive heart disease,E2_Debt/contract relief,Micronesia,FSM,0.001935,percent,2019.0
66,Social issues ,"Primary completion rate, total (% of relevant age group)",E2_Debt/contract relief,Micronesia,FSM,88.4534301757813,proportion,2019.0
67,Health,"Immunization, measles (% of children ages 12-23 months)",E2_Debt/contract relief,Micronesia,FSM,78.0,percent,2019.0
68,Governance,Human Development Index,E2_Debt/contract relief,Micronesia,FSM,0.62,index,2019.0
