rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,E2_Debt/contract relief,Gibraltar,GIB,94.4445,percent of population,2019.0
3,Health,Prevalence of COVID-19,E2_Debt/contract relief,Gibraltar,GIB,1153.0,"Number (cumulative total by Dec 26,2020)",2020.0
5,Environment,Fossil fuel energy consumption,E2_Debt/contract relief,Gibraltar,GIB,99.51282,percent of total,2014.0
6,Demographics,Secure Internet servers ,E2_Debt/contract relief,Gibraltar,GIB,16201.29966469838,per 1 million people,2019.0
10,Demographics,Fixed broadband subscriptions,E2_Debt/contract relief,Gibraltar,GIB,56.2891,per 100 people,2019.0
13,Health,Mortality due to COVID-19,E2_Debt/contract relief,Gibraltar,GIB,6.0,"Number (cumulative total by Dec 26,2020)",2020.0
17,Environment,CO2 emissions (kt),E2_Debt/contract relief,Gibraltar,GIB,634.391,kt,2016.0
33,Environment,Renewable energy consumption ,E2_Debt/contract relief,Gibraltar,GIB,0.0,percent of total final energy consumption,2015.0
40,Environment,Combustible renewables and waste,E2_Debt/contract relief,Gibraltar,GIB,0.0,percent of total energy,2014.0
41,Environment,"Electricity production from renewable sources, excluding hydroelectric",E2_Debt/contract relief,Gibraltar,GIB,0.0,kWh,2015.0
44,Environment,"Energy imports, net ",E2_Debt/contract relief,Gibraltar,GIB,100.0,percent of energy use,2014.0
47,Environment,Electricity production from oil sources,E2_Debt/contract relief,Gibraltar,GIB,100.0,percent of total,2015.0
49,Environment,Energy use (kg of oil equivalent per capita),E2_Debt/contract relief,Gibraltar,GIB,5812.453669384729,kg of oil equivalent per capita,2014.0
51,Demographics,Mobile cellular subscriptions,E2_Debt/contract relief,Gibraltar,GIB,120.284,per 100 people,2019.0
54,Environment,CO2 emissions (metric tons per capita),E2_Debt/contract relief,Gibraltar,GIB,18.80401,metric tons per capita,2016.0
57,Environment,Electric power consumption ,E2_Debt/contract relief,Gibraltar,GIB,5693.106004447739,kWh per capita,2014.0
66,Demographics,Fixed telephone subscriptions,E2_Debt/contract relief,Gibraltar,GIB,16968.0,number,2019.0
68,Environment,Electricity production from coal sources ,E2_Debt/contract relief,Gibraltar,GIB,0.0,percent of total,2015.0
69,Environment,"Electricity production from oil, gas and coal sources",E2_Debt/contract relief,Gibraltar,GIB,100.0,percent of total,2015.0
115,Environment,Electricity production from nuclear sources ,E2_Debt/contract relief,Gibraltar,GIB,0.0,percent of total,2014.0
117,Environment,Access to electricity ,E2_Debt/contract relief,Gibraltar,GIB,100.0,percent of population,2018.0
