rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,E2_Debt/contract relief,Greece,GRC,75.6712,percent of population,2019.0
2,Demographics,Fixed telephone subscriptions,E2_Debt/contract relief,Greece,GRC,5001510.0,number,2019.0
3,Health,Prevalence of Respiratory infections and tuberculosis,E2_Debt/contract relief,Greece,GRC,0.123363,percent,2019.0
4,Health,Prevalence of COVID-19,E2_Debt/contract relief,Greece,GRC,129584.0,"Number (cumulative total by Dec 26,2020)",2020.0
5,Governance,Rule of law estimate ,E2_Debt/contract relief,Greece,GRC,0.198838,score,2019.0
6,Health,"Physicians (per 1,000 people)",E2_Debt/contract relief,Greece,GRC,5.4789,Ones,2017.0
7,Environment,Electricity production from oil sources,E2_Debt/contract relief,Greece,GRC,10.9277912855544,percent of total,2015.0
8,Economics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",E2_Debt/contract relief,Greece,GRC,15.474,percent of total labor force,2020.0
9,Environment,Fossil fuel energy consumption,E2_Debt/contract relief,Greece,GRC,82.57464,percent of total,2015.0
10,Governance,Human Freedom Score ,E2_Debt/contract relief,Greece,GRC,7.38,score,2018.0
11,Governance,Voice and accountability estimate,E2_Debt/contract relief,Greece,GRC,0.9357267,score,2019.0
12,Demographics,Fixed broadband subscriptions,E2_Debt/contract relief,Greece,GRC,39.3195,per 100 people,2019.0
13,Governance,Personal Freedom Score ,E2_Debt/contract relief,Greece,GRC,8.04,score,2018.0
14,Governance,Economic Freedom Score,E2_Debt/contract relief,Greece,GRC,6.71,score,2018.0
15,Social issues ,"Intentional homicides (per 100,000 people)",E2_Debt/contract relief,Greece,GRC,0.94086394499,"proportion, pero 100,000 people",2018.0
16,Environment,CO2 emissions (metric tons per capita),E2_Debt/contract relief,Greece,GRC,5.793848,metric tons per capita,2016.0
17,Environment,Energy use (kg of oil equivalent per capita),E2_Debt/contract relief,Greece,GRC,2182.071093458824,kg of oil equivalent per capita,2015.0
18,Health,"Prevalence of overweight (modeled estimate, % of children under 5)",E2_Debt/contract relief,Greece,GRC,13.9,percent,2020.0
19,Health,"Nurses and midwives (per 1,000 people)",E2_Debt/contract relief,Greece,GRC,3.6331,Ones,2017.0
20,Environment,Electricity production from coal sources ,E2_Debt/contract relief,Greece,GRC,42.65948824823434,percent of total,2015.0
21,Economics,Employment in services (% of total employment) (modeled ILO estimate),E2_Debt/contract relief,Greece,GRC,73.1230011,Percentage of total employment,2020.0
23,Environment,"PM2.5 air pollution, mean annual exposure",E2_Debt/contract relief,Greece,GRC,16.21827,micrograms per cubic meter,2017.0
24,Health,Prevalence of total cancers,E2_Debt/contract relief,Greece,GRC,0.035651,percent,2019.0
25,Social issues ,Net migration,E2_Debt/contract relief,Greece,GRC,-80000.0,net total / data are 5 year estimates,2019.0
26,Social issues ,Press freedom score,E2_Debt/contract relief,Greece,GRC,28.8,score,2020.0
27,Environment,Combustible renewables and waste,E2_Debt/contract relief,Greece,GRC,5.164537,percent of total energy,2015.0
28,Social issues ,Proportion of women in managerial positions (%),E2_Debt/contract relief,Greece,GRC,27.48,percent,2018.0
29,Governance,Corruption Perceptions Index,E2_Debt/contract relief,Greece,GRC,50.0,score,2020.0
32,Health,"Prevalence of stunting, height for age (modeled estimate, % of children under 5)",E2_Debt/contract relief,Greece,GRC,2.2,percent,2020.0
