rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,E2_Debt/contract relief,Haiti,HTI,32.4736,percent of population,2019.0
2,Demographics,Fixed telephone subscriptions,E2_Debt/contract relief,Haiti,HTI,5922.0,number,2019.0
3,Health,Prevalence of Respiratory infections and tuberculosis,E2_Debt/contract relief,Haiti,HTI,0.371009,percent,2019.0
4,Health,Prevalence of COVID-19,E2_Debt/contract relief,Haiti,HTI,9648.0,"Number (cumulative total by Dec 26,2020)",2020.0
5,Governance,Rule of law estimate ,E2_Debt/contract relief,Haiti,HTI,-0.9711014,score,2019.0
6,Health,"Physicians (per 1,000 people)",E2_Debt/contract relief,Haiti,HTI,0.2343,Ones,2018.0
7,Environment,Electricity production from oil sources,E2_Debt/contract relief,Haiti,HTI,92.00385356454721,percent of total,2015.0
8,Economics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",E2_Debt/contract relief,Haiti,HTI,13.915,percent of total labor force,2020.0
9,Environment,Fossil fuel energy consumption,E2_Debt/contract relief,Haiti,HTI,22.01589,percent of total,2014.0
10,Governance,Human Freedom Score ,E2_Debt/contract relief,Haiti,HTI,6.68,score,2018.0
11,Governance,Voice and accountability estimate,E2_Debt/contract relief,Haiti,HTI,-0.7263224,score,2019.0
12,Demographics,Fixed broadband subscriptions,E2_Debt/contract relief,Haiti,HTI,0.279596,per 100 people,2019.0
13,Governance,Personal Freedom Score ,E2_Debt/contract relief,Haiti,HTI,6.78,score,2018.0
14,Governance,Economic Freedom Score,E2_Debt/contract relief,Haiti,HTI,6.58,score,2018.0
15,Social issues ,"Intentional homicides (per 100,000 people)",E2_Debt/contract relief,Haiti,HTI,6.67974266,"proportion, pero 100,000 people",2018.0
16,Environment,CO2 emissions (metric tons per capita),E2_Debt/contract relief,Haiti,HTI,0.274687,metric tons per capita,2016.0
17,Environment,Energy use (kg of oil equivalent per capita),E2_Debt/contract relief,Haiti,HTI,393.674646943106,kg of oil equivalent per capita,2014.0
18,Health,"Prevalence of overweight (modeled estimate, % of children under 5)",E2_Debt/contract relief,Haiti,HTI,3.7,percent,2020.0
19,Health,"Nurses and midwives (per 1,000 people)",E2_Debt/contract relief,Haiti,HTI,0.6798,Ones,2018.0
20,Environment,Electricity production from coal sources ,E2_Debt/contract relief,Haiti,HTI,0.0,percent of total,2015.0
