rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,E2_Debt/contract relief,Israel,ISR,86.7879,percent of population,2019.0
2,Demographics,Fixed telephone subscriptions,E2_Debt/contract relief,Israel,ISR,3040000.0,number,2019.0
3,Health,Prevalence of Respiratory infections and tuberculosis,E2_Debt/contract relief,Israel,ISR,0.125945,percent,2019.0
4,Health,Prevalence of COVID-19,E2_Debt/contract relief,Israel,ISR,362861.0,"Number (cumulative total by Dec 26,2020)",2020.0
5,Governance,Rule of law estimate ,E2_Debt/contract relief,Israel,ISR,1.04759,score,2019.0
6,Health,"Physicians (per 1,000 people)",E2_Debt/contract relief,Israel,ISR,4.6249,Ones,2018.0
7,Environment,Electricity production from oil sources,E2_Debt/contract relief,Israel,ISR,0.6523837698128484,percent of total,2015.0
8,Economics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",E2_Debt/contract relief,Israel,ISR,3.77900004,percent of total labor force,2020.0
9,Environment,Fossil fuel energy consumption,E2_Debt/contract relief,Israel,ISR,97.38212,percent of total,2015.0
10,Governance,Human Freedom Score ,E2_Debt/contract relief,Israel,ISR,7.44,score,2018.0
11,Governance,Voice and accountability estimate,E2_Debt/contract relief,Israel,ISR,0.6869864,score,2019.0
12,Demographics,Fixed broadband subscriptions,E2_Debt/contract relief,Israel,ISR,29.1218,per 100 people,2019.0
13,Governance,Personal Freedom Score ,E2_Debt/contract relief,Israel,ISR,7.26,score,2018.0
14,Governance,Economic Freedom Score,E2_Debt/contract relief,Israel,ISR,7.62,score,2018.0
15,Social issues ,"Intentional homicides (per 100,000 people)",E2_Debt/contract relief,Israel,ISR,1.492021506,"proportion, pero 100,000 people",2017.0
16,Environment,CO2 emissions (metric tons per capita),E2_Debt/contract relief,Israel,ISR,7.625352,metric tons per capita,2016.0
17,Environment,Energy use (kg of oil equivalent per capita),E2_Debt/contract relief,Israel,ISR,2777.875323683488,kg of oil equivalent per capita,2015.0
