rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,E2_Debt/contract relief,Lithuania,LTU,81.5819,percent of population,2019.0
2,Demographics,Fixed telephone subscriptions,E2_Debt/contract relief,Lithuania,LTU,368213.0,number,2019.0
3,Health,Prevalence of Respiratory infections and tuberculosis,E2_Debt/contract relief,Lithuania,LTU,0.2189,percent,2019.0
4,Health,Prevalence of COVID-19,E2_Debt/contract relief,Lithuania,LTU,109429.0,"Number (cumulative total by Dec 26,2020)",2020.0
5,Governance,Rule of law estimate ,E2_Debt/contract relief,Lithuania,LTU,1.022871,score,2019.0
6,Health,"Physicians (per 1,000 people)",E2_Debt/contract relief,Lithuania,LTU,6.3528,Ones,2018.0
7,Environment,Electricity production from oil sources,E2_Debt/contract relief,Lithuania,LTU,6.458431188351339,percent of total,2015.0
8,Economics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",E2_Debt/contract relief,Lithuania,LTU,6.26100016,percent of total labor force,2020.0
9,Environment,Fossil fuel energy consumption,E2_Debt/contract relief,Lithuania,LTU,67.99375,percent of total,2014.0
10,Governance,Human Freedom Score ,E2_Debt/contract relief,Lithuania,LTU,8.37,score,2018.0
11,Governance,Voice and accountability estimate,E2_Debt/contract relief,Lithuania,LTU,1.024853,score,2019.0
12,Demographics,Fixed broadband subscriptions,E2_Debt/contract relief,Lithuania,LTU,28.6932,per 100 people,2019.0
13,Governance,Personal Freedom Score ,E2_Debt/contract relief,Lithuania,LTU,8.64,score,2018.0
14,Governance,Economic Freedom Score,E2_Debt/contract relief,Lithuania,LTU,8.1,score,2018.0
15,Social issues ,"Intentional homicides (per 100,000 people)",E2_Debt/contract relief,Lithuania,LTU,4.5693560421,"proportion, pero 100,000 people",2018.0
16,Environment,CO2 emissions (metric tons per capita),E2_Debt/contract relief,Lithuania,LTU,4.519456,metric tons per capita,2016.0
17,Environment,Energy use (kg of oil equivalent per capita),E2_Debt/contract relief,Lithuania,LTU,2387.275194407794,kg of oil equivalent per capita,2014.0
19,Health,"Nurses and midwives (per 1,000 people)",E2_Debt/contract relief,Lithuania,LTU,9.8472,Ones,2018.0
20,Environment,Electricity production from coal sources ,E2_Debt/contract relief,Lithuania,LTU,0.0,percent of total,2015.0
21,Economics,Employment in services (% of total employment) (modeled ILO estimate),E2_Debt/contract relief,Lithuania,LTU,67.4349976,Percentage of total employment,2020.0
23,Environment,"PM2.5 air pollution, mean annual exposure",E2_Debt/contract relief,Lithuania,LTU,11.85328,micrograms per cubic meter,2017.0
24,Health,Prevalence of total cancers,E2_Debt/contract relief,Lithuania,LTU,0.023727,percent,2019.0
25,Social issues ,Net migration,E2_Debt/contract relief,Lithuania,LTU,-163902.0,net total / data are 5 year estimates,2019.0
26,Social issues ,Press freedom score,E2_Debt/contract relief,Lithuania,LTU,21.19,score,2020.0
27,Environment,Combustible renewables and waste,E2_Debt/contract relief,Lithuania,LTU,14.99963,percent of total energy,2014.0
28,Social issues ,Proportion of women in managerial positions (%),E2_Debt/contract relief,Lithuania,LTU,39.24,percent,2018.0
29,Governance,Corruption Perceptions Index,E2_Debt/contract relief,Lithuania,LTU,60.0,score,2020.0
33,Environment,"Electricity production from renewable sources, excluding hydroelectric",E2_Debt/contract relief,Lithuania,LTU,1329000000.0,kWh,2015.0
34,Health,Prevalence of anxiety disorders,E2_Debt/contract relief,Lithuania,LTU,0.049785,percent,2019.0
35,Health,Prevalence of Diabetes,E2_Debt/contract relief,Lithuania,LTU,0.055796,percent,2019.0
36,Health,"Incidence of tuberculosis (per 100,000 people)",E2_Debt/contract relief,Lithuania,LTU,42.0,Cases,2019.0
37,Environment,"Adjusted net savings, including particulate emission damage",E2_Debt/contract relief,Lithuania,LTU,11.21549477018,percent of GNI,2018.0
38,Demographics,Secure Internet servers ,E2_Debt/contract relief,Lithuania,LTU,31537.10792566789,per 1 million people,2019.0
39,Governance,Fragile States Index Total ,E2_Debt/contract relief,Lithuania,LTU,36.47089084336904,score,2020.0
40,Environment,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value ",E2_Debt/contract relief,Lithuania,LTU,95.9998593070447,percent of total,2017.0
41,Demographics,Mobile cellular subscriptions,E2_Debt/contract relief,Lithuania,LTU,168.821,per 100 people,2019.0
42,Social issues ,Life Ladder ,E2_Debt/contract relief,Lithuania,LTU,6.25540018081665,score,2021.0
43,Governance,Political stability and absence of violence/terrorism estimate,E2_Debt/contract relief,Lithuania,LTU,0.842194,score,2019.0
44,Governance,Aggregate score for the Political Rights category,E2_Debt/contract relief,Lithuania,LTU,38.0,score,2021.0
45,Health,Summary exposure value tobacco,E2_Debt/contract relief,Lithuania,LTU,23.1347,Rate (risk-weighted prevalence),2019.0
46,Health,"Prevalence of HIV, total (% of population ages 15-49)",E2_Debt/contract relief,Lithuania,LTU,0.2,percent,2019.0
47,Economics,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",E2_Debt/contract relief,Lithuania,LTU,61.3779984,Percentage of total population,2020.0
