rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,E2_Debt/contract relief,Maldives,MDV,63.1857,percent of population,2019.0
2,Demographics,Fixed telephone subscriptions,E2_Debt/contract relief,Maldives,MDV,16664.0,number,2019.0
3,Health,Prevalence of Respiratory infections and tuberculosis,E2_Debt/contract relief,Maldives,MDV,0.279758,percent,2019.0
4,Health,Prevalence of COVID-19,E2_Debt/contract relief,Maldives,MDV,13444.0,"Number (cumulative total by Dec 26,2020)",2020.0
5,Governance,Rule of law estimate ,E2_Debt/contract relief,Maldives,MDV,-0.4110879,score,2019.0
6,Health,"Physicians (per 1,000 people)",E2_Debt/contract relief,Maldives,MDV,4.5627,Ones,2018.0
8,Economics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",E2_Debt/contract relief,Maldives,MDV,6.43400002,percent of total labor force,2020.0
11,Governance,Voice and accountability estimate,E2_Debt/contract relief,Maldives,MDV,-0.4419447,score,2019.0
12,Demographics,Fixed broadband subscriptions,E2_Debt/contract relief,Maldives,MDV,9.94401,per 100 people,2019.0
16,Environment,CO2 emissions (metric tons per capita),E2_Debt/contract relief,Maldives,MDV,3.038399,metric tons per capita,2016.0
18,Health,"Prevalence of overweight (modeled estimate, % of children under 5)",E2_Debt/contract relief,Maldives,MDV,4.6,percent,2020.0
19,Health,"Nurses and midwives (per 1,000 people)",E2_Debt/contract relief,Maldives,MDV,6.4282,Ones,2018.0
21,Economics,Employment in services (% of total employment) (modeled ILO estimate),E2_Debt/contract relief,Maldives,MDV,73.427002,Percentage of total employment,2020.0
22,Social issues ,Progression to secondary school (%),E2_Debt/contract relief,Maldives,MDV,98.8576,proportion,2016.0
23,Environment,"PM2.5 air pollution, mean annual exposure",E2_Debt/contract relief,Maldives,MDV,7.795821,micrograms per cubic meter,2017.0
24,Health,Prevalence of total cancers,E2_Debt/contract relief,Maldives,MDV,0.003962,percent,2019.0
25,Social issues ,Net migration,E2_Debt/contract relief,Maldives,MDV,56851.0,net total / data are 5 year estimates,2019.0
26,Social issues ,Press freedom score,E2_Debt/contract relief,Maldives,MDV,29.93,score,2020.0
28,Social issues ,Proportion of women in managerial positions (%),E2_Debt/contract relief,Maldives,MDV,19.58,percent,2016.0
29,Governance,Corruption Perceptions Index,E2_Debt/contract relief,Maldives,MDV,43.0,score,2020.0
30,Economics,"Output per worker (GDP constant 2011 international $ in PPP -- ILO modelled estimates, Nov. 2019",E2_Debt/contract relief,Maldives,MDV,27681.6,international $ in PPP,2020.0
32,Health,"Prevalence of stunting, height for age (modeled estimate, % of children under 5)",E2_Debt/contract relief,Maldives,MDV,14.2,percent,2020.0
34,Health,Prevalence of anxiety disorders,E2_Debt/contract relief,Maldives,MDV,0.038578,percent,2019.0
35,Health,Prevalence of Diabetes,E2_Debt/contract relief,Maldives,MDV,0.038401,percent,2019.0
36,Health,"Incidence of tuberculosis (per 100,000 people)",E2_Debt/contract relief,Maldives,MDV,36.0,Cases,2019.0
38,Demographics,Secure Internet servers ,E2_Debt/contract relief,Maldives,MDV,725.1112622021158,per 1 million people,2019.0
39,Governance,Fragile States Index Total ,E2_Debt/contract relief,Maldives,MDV,66.2,score,2020.0
40,Environment,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value ",E2_Debt/contract relief,Maldives,MDV,0.0,percent of total,2017.0
41,Demographics,Mobile cellular subscriptions,E2_Debt/contract relief,Maldives,MDV,155.954,per 100 people,2019.0
42,Social issues ,Life Ladder ,E2_Debt/contract relief,Maldives,MDV,5.1975998878479,score,2021.0
43,Governance,Political stability and absence of violence/terrorism estimate,E2_Debt/contract relief,Maldives,MDV,0.013525,score,2019.0
44,Governance,Aggregate score for the Political Rights category,E2_Debt/contract relief,Maldives,MDV,19.0,score,2021.0
45,Health,Summary exposure value tobacco,E2_Debt/contract relief,Maldives,MDV,29.62951,Rate (risk-weighted prevalence),2019.0
47,Economics,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",E2_Debt/contract relief,Maldives,MDV,70.5230026,Percentage of total population,2020.0
49,Health,Prevalence of chronic kidney disease,E2_Debt/contract relief,Maldives,MDV,0.102554,percent,2019.0
50,Governance,Government effectiveness estimate,E2_Debt/contract relief,Maldives,MDV,-0.1942183,score,2019.0
51,Health,Prevalence of obesity,E2_Debt/contract relief,Maldives,MDV,8.6,percent,2016.0
52,Governance,Aggregate score for the Civil Liberties category,E2_Debt/contract relief,Maldives,MDV,21.0,score,2021.0
53,Economics,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",E2_Debt/contract relief,Maldives,MDV,41.6489983,Percentage of females of the total population,2020.0
54,Health,Mortality due to COVID-19,E2_Debt/contract relief,Maldives,MDV,48.0,"Number (cumulative total by Dec 26,2020)",2020.0
55,Economics,Unemployment rate (%) - Annual,E2_Debt/contract relief,Maldives,MDV,6.2,percent,2016.0
56,Demographics,Rural population (% of total population),E2_Debt/contract relief,Maldives,MDV,59.762,proportion,2019.0
57,Health,"Immunization, DPT (% of children ages 12-23 months)",E2_Debt/contract relief,Maldives,MDV,99.0,percent,2019.0
59,Economics,Volume of exports,E2_Debt/contract relief,Maldives,MDV,6.226,percent change,2020.0
60,Health,Prevalence of Depressive disorders,E2_Debt/contract relief,Maldives,MDV,0.031537,percent,2019.0
61,Governance,Regulatory quality estimate,E2_Debt/contract relief,Maldives,MDV,-0.4796147,score,2019.0
62,Demographics,Urban population (% of total population),E2_Debt/contract relief,Maldives,MDV,40.238,total,2019.0
63,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),E2_Debt/contract relief,Maldives,MDV,6.6,percent,2018.0
64,Social issues ,Gini index (World Bank estimate),E2_Debt/contract relief,Maldives,MDV,31.3,index ,2016.0
