rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,E2_Debt/contract relief,Marshall Islands,MHL,38.7012,percent of population,2019.0
3,Health,Prevalence of COVID-19,E2_Debt/contract relief,Marshall Islands,MHL,4.0,"Number (cumulative total by Dec 26,2020)",2020.0
6,Demographics,Secure Internet servers ,E2_Debt/contract relief,Marshall Islands,MHL,340.1881240325901,per 1 million people,2019.0
8,Health,"Incidence of tuberculosis (per 100,000 people)",E2_Debt/contract relief,Marshall Islands,MHL,483.0,Cases,2019.0
9,Health,Summary exposure value tobacco,E2_Debt/contract relief,Marshall Islands,MHL,24.31741,Rate (risk-weighted prevalence),2019.0
10,Demographics,Fixed broadband subscriptions,E2_Debt/contract relief,Marshall Islands,MHL,1.72242,per 100 people,2019.0
11,Health,"Immunization, measles (% of children ages 12-23 months)",E2_Debt/contract relief,Marshall Islands,MHL,85.0,percent,2019.0
12,Environment,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value ",E2_Debt/contract relief,Marshall Islands,MHL,99.9999962558097,percent of total,2017.0
13,Health,Mortality due to COVID-19,E2_Debt/contract relief,Marshall Islands,MHL,0.0,"Number (cumulative total by Dec 26,2020)",2020.0
14,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),E2_Debt/contract relief,Marshall Islands,MHL,7.6,percent,2018.0
17,Environment,CO2 emissions (kt),E2_Debt/contract relief,Marshall Islands,MHL,143.013,kt,2016.0
18,Governance,Control of corruption estimate,E2_Debt/contract relief,Marshall Islands,MHL,-0.0434163,score,2019.0
19,Health,Prevalence of Respiratory infections and tuberculosis,E2_Debt/contract relief,Marshall Islands,MHL,0.436263,percent,2019.0
21,Health,Prevalence of anxiety disorders,E2_Debt/contract relief,Marshall Islands,MHL,0.040904,percent,2019.0
23,Health,Prevalence of Diabetes,E2_Debt/contract relief,Marshall Islands,MHL,0.162327,percent,2019.0
24,Governance,Aggregate score for the Political Rights category,E2_Debt/contract relief,Marshall Islands,MHL,38.0,score,2021.0
25,Economics,"Central government debt, total",E2_Debt/contract relief,Marshall Islands,MHL,48.88687414738051,percent of GDP,2016.0
26,Health,Prevalence of Hypertensive heart disease,E2_Debt/contract relief,Marshall Islands,MHL,0.001659,percent,2019.0
27,Economics,Volume of exports,E2_Debt/contract relief,Marshall Islands,MHL,3.404,percent change,2020.0
