rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,E2_Debt/contract relief,Mongolia,MNG,51.08,percent of population,2019.0
2,Demographics,Fixed telephone subscriptions,E2_Debt/contract relief,Mongolia,MNG,395922.0,number,2019.0
3,Health,Prevalence of Respiratory infections and tuberculosis,E2_Debt/contract relief,Mongolia,MNG,0.294137,percent,2019.0
4,Health,Prevalence of COVID-19,E2_Debt/contract relief,Mongolia,MNG,941.0,"Number (cumulative total by Dec 26,2020)",2020.0
5,Governance,Rule of law estimate ,E2_Debt/contract relief,Mongolia,MNG,-0.266293,score,2019.0
6,Health,"Physicians (per 1,000 people)",E2_Debt/contract relief,Mongolia,MNG,2.8592,Ones,2016.0
7,Environment,Electricity production from oil sources,E2_Debt/contract relief,Mongolia,MNG,4.17195719209142,percent of total,2015.0
8,Economics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",E2_Debt/contract relief,Mongolia,MNG,5.9460001,percent of total labor force,2020.0
9,Environment,Fossil fuel energy consumption,E2_Debt/contract relief,Mongolia,MNG,93.19938,percent of total,2014.0
10,Governance,Human Freedom Score ,E2_Debt/contract relief,Mongolia,MNG,7.61,score,2018.0
11,Governance,Voice and accountability estimate,E2_Debt/contract relief,Mongolia,MNG,0.3489689,score,2019.0
12,Demographics,Fixed broadband subscriptions,E2_Debt/contract relief,Mongolia,MNG,9.83878,per 100 people,2019.0
13,Governance,Personal Freedom Score ,E2_Debt/contract relief,Mongolia,MNG,7.79,score,2018.0
14,Governance,Economic Freedom Score,E2_Debt/contract relief,Mongolia,MNG,7.43,score,2018.0
15,Social issues ,"Intentional homicides (per 100,000 people)",E2_Debt/contract relief,Mongolia,MNG,6.1825479289,"proportion, pero 100,000 people",2018.0
16,Environment,CO2 emissions (metric tons per capita),E2_Debt/contract relief,Mongolia,MNG,8.300172,metric tons per capita,2016.0
17,Environment,Energy use (kg of oil equivalent per capita),E2_Debt/contract relief,Mongolia,MNG,1828.103253349877,kg of oil equivalent per capita,2014.0
18,Health,"Prevalence of overweight (modeled estimate, % of children under 5)",E2_Debt/contract relief,Mongolia,MNG,10.1,percent,2020.0
19,Health,"Nurses and midwives (per 1,000 people)",E2_Debt/contract relief,Mongolia,MNG,3.8938,Ones,2018.0
20,Environment,Electricity production from coal sources ,E2_Debt/contract relief,Mongolia,MNG,92.74442227462362,percent of total,2015.0
21,Economics,Employment in services (% of total employment) (modeled ILO estimate),E2_Debt/contract relief,Mongolia,MNG,53.6209984,Percentage of total employment,2020.0
22,Social issues ,Progression to secondary school (%),E2_Debt/contract relief,Mongolia,MNG,99.27289,proportion,2017.0
23,Environment,"PM2.5 air pollution, mean annual exposure",E2_Debt/contract relief,Mongolia,MNG,40.11285,micrograms per cubic meter,2017.0
24,Health,Prevalence of total cancers,E2_Debt/contract relief,Mongolia,MNG,0.004698,percent,2019.0
25,Social issues ,Net migration,E2_Debt/contract relief,Mongolia,MNG,-4262.0,net total / data are 5 year estimates,2019.0
26,Social issues ,Press freedom score,E2_Debt/contract relief,Mongolia,MNG,29.61,score,2020.0
27,Environment,Combustible renewables and waste,E2_Debt/contract relief,Mongolia,MNG,1.722774,percent of total energy,2014.0
28,Social issues ,Proportion of women in managerial positions (%),E2_Debt/contract relief,Mongolia,MNG,39.01,percent,2018.0
29,Governance,Corruption Perceptions Index,E2_Debt/contract relief,Mongolia,MNG,35.0,score,2020.0
30,Economics,"Output per worker (GDP constant 2011 international $ in PPP -- ILO modelled estimates, Nov. 2019",E2_Debt/contract relief,Mongolia,MNG,34446.2,international $ in PPP,2020.0
32,Health,"Prevalence of stunting, height for age (modeled estimate, % of children under 5)",E2_Debt/contract relief,Mongolia,MNG,7.1,percent,2020.0
33,Environment,"Electricity production from renewable sources, excluding hydroelectric",E2_Debt/contract relief,Mongolia,MNG,170000000.0,kWh,2015.0
34,Health,Prevalence of anxiety disorders,E2_Debt/contract relief,Mongolia,MNG,0.022225,percent,2019.0
35,Health,Prevalence of Diabetes,E2_Debt/contract relief,Mongolia,MNG,0.022695,percent,2019.0
36,Health,"Incidence of tuberculosis (per 100,000 people)",E2_Debt/contract relief,Mongolia,MNG,428.0,Cases,2019.0
37,Environment,"Adjusted net savings, including particulate emission damage",E2_Debt/contract relief,Mongolia,MNG,-7.48835617751419,percent of GNI,2018.0
38,Demographics,Secure Internet servers ,E2_Debt/contract relief,Mongolia,MNG,1690.455098914258,per 1 million people,2019.0
39,Governance,Fragile States Index Total ,E2_Debt/contract relief,Mongolia,MNG,51.93521252189043,score,2020.0
40,Environment,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value ",E2_Debt/contract relief,Mongolia,MNG,97.0139805896742,percent of total,2017.0
41,Demographics,Mobile cellular subscriptions,E2_Debt/contract relief,Mongolia,MNG,137.014,per 100 people,2019.0
42,Social issues ,Life Ladder ,E2_Debt/contract relief,Mongolia,MNG,5.677199840545654,score,2021.0
43,Governance,Political stability and absence of violence/terrorism estimate,E2_Debt/contract relief,Mongolia,MNG,0.6434917,score,2019.0
44,Governance,Aggregate score for the Political Rights category,E2_Debt/contract relief,Mongolia,MNG,36.0,score,2021.0
45,Health,Summary exposure value tobacco,E2_Debt/contract relief,Mongolia,MNG,29.20108,Rate (risk-weighted prevalence),2019.0
46,Health,"Prevalence of HIV, total (% of population ages 15-49)",E2_Debt/contract relief,Mongolia,MNG,0.1,percent,2019.0
47,Economics,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",E2_Debt/contract relief,Mongolia,MNG,59.4280014,Percentage of total population,2020.0
48,Environment,"Energy imports, net ",E2_Debt/contract relief,Mongolia,MNG,-168.0933932497473,percent of energy use,2014.0
49,Health,Prevalence of chronic kidney disease,E2_Debt/contract relief,Mongolia,MNG,0.088394,percent,2019.0
50,Governance,Government effectiveness estimate,E2_Debt/contract relief,Mongolia,MNG,-0.1948303,score,2019.0
51,Health,Prevalence of obesity,E2_Debt/contract relief,Mongolia,MNG,20.6,percent,2016.0
52,Governance,Aggregate score for the Civil Liberties category,E2_Debt/contract relief,Mongolia,MNG,48.0,score,2021.0
53,Economics,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",E2_Debt/contract relief,Mongolia,MNG,53.0779991,Percentage of females of the total population,2020.0
54,Health,Mortality due to COVID-19,E2_Debt/contract relief,Mongolia,MNG,0.0,"Number (cumulative total by Dec 26,2020)",2020.0
55,Economics,Unemployment rate (%) - Annual,E2_Debt/contract relief,Mongolia,MNG,10.2,percent,2019.0
56,Demographics,Rural population (% of total population),E2_Debt/contract relief,Mongolia,MNG,31.45699999999999,proportion,2019.0
57,Health,"Immunization, DPT (% of children ages 12-23 months)",E2_Debt/contract relief,Mongolia,MNG,98.0,percent,2019.0
58,Environment,Energy use ,E2_Debt/contract relief,Mongolia,MNG,166.4888384611077,"(kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)",2014.0
59,Economics,Volume of exports,E2_Debt/contract relief,Mongolia,MNG,-1.36,percent change,2020.0
60,Health,Prevalence of Depressive disorders,E2_Debt/contract relief,Mongolia,MNG,0.040667,percent,2019.0
61,Governance,Regulatory quality estimate,E2_Debt/contract relief,Mongolia,MNG,-0.011242,score,2019.0
62,Demographics,Urban population (% of total population),E2_Debt/contract relief,Mongolia,MNG,68.543,total,2019.0
63,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),E2_Debt/contract relief,Mongolia,MNG,2.2,percent,2018.0
64,Social issues ,Gini index (World Bank estimate),E2_Debt/contract relief,Mongolia,MNG,32.7,index ,2018.0
65,Health,Prevalence of Hypertensive heart disease,E2_Debt/contract relief,Mongolia,MNG,0.000583,percent,2019.0
