rank,Category,Indicator,Policy,Country,ISO,value,unit,year
3,Health,Prevalence of COVID-19,E2_Debt/contract relief,Palau,PLW,0.0,"Number (cumulative total by Dec 26,2020)",2020.0
6,Demographics,Secure Internet servers ,E2_Debt/contract relief,Palau,PLW,721.901377165704,per 1 million people,2019.0
8,Health,"Incidence of tuberculosis (per 100,000 people)",E2_Debt/contract relief,Palau,PLW,38.0,Cases,2019.0
9,Health,Summary exposure value tobacco,E2_Debt/contract relief,Palau,PLW,22.78077,Rate (risk-weighted prevalence),2019.0
10,Demographics,Fixed broadband subscriptions,E2_Debt/contract relief,Palau,PLW,6.92896,per 100 people,2019.0
11,Health,"Immunization, measles (% of children ages 12-23 months)",E2_Debt/contract relief,Palau,PLW,97.0,percent,2019.0
13,Health,Mortality due to COVID-19,E2_Debt/contract relief,Palau,PLW,0.0,"Number (cumulative total by Dec 26,2020)",2020.0
14,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),E2_Debt/contract relief,Palau,PLW,6.4,percent,2018.0
17,Environment,CO2 emissions (kt),E2_Debt/contract relief,Palau,PLW,223.687,kt,2016.0
18,Governance,Control of corruption estimate,E2_Debt/contract relief,Palau,PLW,-0.4493027,score,2019.0
19,Health,Prevalence of Respiratory infections and tuberculosis,E2_Debt/contract relief,Palau,PLW,0.349381,percent,2019.0
21,Health,Prevalence of anxiety disorders,E2_Debt/contract relief,Palau,PLW,0.044062,percent,2019.0
23,Health,Prevalence of Diabetes,E2_Debt/contract relief,Palau,PLW,0.181243,percent,2019.0
24,Governance,Aggregate score for the Political Rights category,E2_Debt/contract relief,Palau,PLW,37.0,score,2021.0
25,Economics,"Central government debt, total",E2_Debt/contract relief,Palau,PLW,68.7028397772155,percent of GDP,2016.0
26,Health,Prevalence of Hypertensive heart disease,E2_Debt/contract relief,Palau,PLW,0.000787,percent,2019.0
27,Economics,Volume of exports,E2_Debt/contract relief,Palau,PLW,7.35,percent change,2020.0
30,Health,"Physicians (per 1,000 people)",E2_Debt/contract relief,Palau,PLW,1.4205,Ones,2014.0
32,Governance,Human Development Index,E2_Debt/contract relief,Palau,PLW,0.826,index,2019.0
33,Environment,Renewable energy consumption ,E2_Debt/contract relief,Palau,PLW,0.0,percent of total final energy consumption,2015.0
36,Governance,Political stability and absence of violence/terrorism estimate,E2_Debt/contract relief,Palau,PLW,0.8625854,score,2019.0
38,Governance,Voice and accountability estimate,E2_Debt/contract relief,Palau,PLW,1.094265,score,2019.0
39,Social issues ,"Intentional homicides (per 100,000 people)",E2_Debt/contract relief,Palau,PLW,11.166322372,"proportion, pero 100,000 people",2018.0
42,Social issues ,Proportion of women in managerial positions (%),E2_Debt/contract relief,Palau,PLW,29.93,percent,2014.0
45,Health,Prevalence of chronic kidney disease,E2_Debt/contract relief,Palau,PLW,0.148389,percent,2019.0
46,Governance,Aggregate score for the Civil Liberties category,E2_Debt/contract relief,Palau,PLW,55.0,score,2021.0
50,Health,Prevalence of Depressive disorders,E2_Debt/contract relief,Palau,PLW,0.037978,percent,2019.0
51,Demographics,Mobile cellular subscriptions,E2_Debt/contract relief,Palau,PLW,134.407,per 100 people,2019.0
52,Governance,Government effectiveness estimate,E2_Debt/contract relief,Palau,PLW,-0.0454221,score,2019.0
53,Governance,Rule of law estimate ,E2_Debt/contract relief,Palau,PLW,0.3144576,score,2019.0
54,Environment,CO2 emissions (metric tons per capita),E2_Debt/contract relief,Palau,PLW,12.61986,metric tons per capita,2016.0
55,Health,Prevalence of total cancers,E2_Debt/contract relief,Palau,PLW,0.014518,percent,2019.0
56,Health,Prevalence of down syndrome,E2_Debt/contract relief,Palau,PLW,0.000102,percent,2019.0
59,Governance,Total freedom in the world score ,E2_Debt/contract relief,Palau,PLW,92.0,score,2021.0
63,Social issues ,Proportion of seats held by women in national parliaments (%),E2_Debt/contract relief,Palau,PLW,12.5,proportion,2020.0
65,Health,"Immunization, DPT (% of children ages 12-23 months)",E2_Debt/contract relief,Palau,PLW,97.0,percent,2019.0
66,Demographics,Fixed telephone subscriptions,E2_Debt/contract relief,Palau,PLW,7204.0,number,2019.0
70,Demographics,Urban population (% of total population),E2_Debt/contract relief,Palau,PLW,80.47,total,2019.0
71,Economics,Volume of imports,E2_Debt/contract relief,Palau,PLW,2.265,percent change,2020.0
74,Governance,Regulatory quality estimate,E2_Debt/contract relief,Palau,PLW,-0.007541,score,2019.0
76,Demographics,People using at least basic sanitation services (% of population),E2_Debt/contract relief,Palau,PLW,99.9999978055265,proportion,2017.0
77,Demographics,Rural population (% of total population),E2_Debt/contract relief,Palau,PLW,19.53,proportion,2019.0
81,Economics,"International tourism, receipts",E2_Debt/contract relief,Palau,PLW,116000000.0,US Dollar,2017.0
84,Social issues ,"Primary completion rate, total (% of relevant age group)",E2_Debt/contract relief,Palau,PLW,100.429176330566,proportion,2014.0
87,Social issues ,"Literacy rate, adult total (% of people ages 15 and above)",E2_Debt/contract relief,Palau,PLW,96.5937423706055,proportion,2015.0
92,Economics,"Trade, total as % of GDP",E2_Debt/contract relief,Palau,PLW,62.33859,percent,2015.0
98,Health,Prevalence of obesity,E2_Debt/contract relief,Palau,PLW,55.3,percent,2016.0
100,Economics,"Foreign direct investment, net",E2_Debt/contract relief,Palau,PLW,21500000.0,US Dollar,2018.0
106,Health,"Nurses and midwives (per 1,000 people)",E2_Debt/contract relief,Palau,PLW,7.2626,Ones,2018.0
110,Demographics,"Population, total",E2_Debt/contract relief,Palau,PLW,18008.0,total,2019.0
117,Environment,Access to electricity ,E2_Debt/contract relief,Palau,PLW,100.0,percent of population,2018.0
