rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,E2_Debt/contract relief,Singapore,SGP,88.9493,percent of population,2019.0
2,Demographics,Fixed telephone subscriptions,E2_Debt/contract relief,Singapore,SGP,1905800.0,number,2019.0
3,Health,Prevalence of Respiratory infections and tuberculosis,E2_Debt/contract relief,Singapore,SGP,0.233578,percent,2019.0
4,Health,Prevalence of COVID-19,E2_Debt/contract relief,Singapore,SGP,58386.0,"Number (cumulative total by Dec 26,2020)",2020.0
5,Governance,Rule of law estimate ,E2_Debt/contract relief,Singapore,SGP,1.878559,score,2019.0
6,Health,"Physicians (per 1,000 people)",E2_Debt/contract relief,Singapore,SGP,2.2936,Ones,2016.0
7,Environment,Electricity production from oil sources,E2_Debt/contract relief,Singapore,SGP,0.6982048993355152,percent of total,2015.0
8,Economics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",E2_Debt/contract relief,Singapore,SGP,4.38000011,percent of total labor force,2020.0
9,Environment,Fossil fuel energy consumption,E2_Debt/contract relief,Singapore,SGP,90.57887,percent of total,2014.0
10,Governance,Human Freedom Score ,E2_Debt/contract relief,Singapore,SGP,8.21,score,2018.0
11,Governance,Voice and accountability estimate,E2_Debt/contract relief,Singapore,SGP,-0.1833654,score,2019.0
12,Demographics,Fixed broadband subscriptions,E2_Debt/contract relief,Singapore,SGP,25.81,per 100 people,2019.0
13,Governance,Personal Freedom Score ,E2_Debt/contract relief,Singapore,SGP,7.77,score,2018.0
14,Governance,Economic Freedom Score,E2_Debt/contract relief,Singapore,SGP,8.65,score,2018.0
15,Social issues ,"Intentional homicides (per 100,000 people)",E2_Debt/contract relief,Singapore,SGP,0.15631776484,"proportion, pero 100,000 people",2018.0
16,Environment,CO2 emissions (metric tons per capita),E2_Debt/contract relief,Singapore,SGP,6.694046,metric tons per capita,2016.0
17,Environment,Energy use (kg of oil equivalent per capita),E2_Debt/contract relief,Singapore,SGP,5121.804317731571,kg of oil equivalent per capita,2014.0
18,Health,"Prevalence of overweight (modeled estimate, % of children under 5)",E2_Debt/contract relief,Singapore,SGP,4.8,percent,2020.0
19,Health,"Nurses and midwives (per 1,000 people)",E2_Debt/contract relief,Singapore,SGP,6.2432,Ones,2017.0
20,Environment,Electricity production from coal sources ,E2_Debt/contract relief,Singapore,SGP,1.196072597441238,percent of total,2015.0
21,Economics,Employment in services (% of total employment) (modeled ILO estimate),E2_Debt/contract relief,Singapore,SGP,84.0930023,Percentage of total employment,2020.0
22,Social issues ,Progression to secondary school (%),E2_Debt/contract relief,Singapore,SGP,99.1262,proportion,2016.0
23,Environment,"PM2.5 air pollution, mean annual exposure",E2_Debt/contract relief,Singapore,SGP,19.07826,micrograms per cubic meter,2017.0
24,Health,Prevalence of total cancers,E2_Debt/contract relief,Singapore,SGP,0.018786,percent,2019.0
25,Social issues ,Net migration,E2_Debt/contract relief,Singapore,SGP,135142.0,net total / data are 5 year estimates,2019.0
26,Social issues ,Press freedom score,E2_Debt/contract relief,Singapore,SGP,55.23,score,2020.0
27,Environment,Combustible renewables and waste,E2_Debt/contract relief,Singapore,SGP,0.044713,percent of total energy,2014.0
28,Social issues ,Proportion of women in managerial positions (%),E2_Debt/contract relief,Singapore,SGP,36.4,percent,2018.0
29,Governance,Corruption Perceptions Index,E2_Debt/contract relief,Singapore,SGP,85.0,score,2020.0
30,Economics,"Output per worker (GDP constant 2011 international $ in PPP -- ILO modelled estimates, Nov. 2019",E2_Debt/contract relief,Singapore,SGP,152536.2,international $ in PPP,2020.0
31,Economics,"Central government debt, total",E2_Debt/contract relief,Singapore,SGP,109.1975061711669,percent of GDP,2016.0
32,Health,"Prevalence of stunting, height for age (modeled estimate, % of children under 5)",E2_Debt/contract relief,Singapore,SGP,2.8,percent,2020.0
33,Environment,"Electricity production from renewable sources, excluding hydroelectric",E2_Debt/contract relief,Singapore,SGP,918000000.0,kWh,2015.0
34,Health,Prevalence of anxiety disorders,E2_Debt/contract relief,Singapore,SGP,0.030509,percent,2019.0
35,Health,Prevalence of Diabetes,E2_Debt/contract relief,Singapore,SGP,0.086023,percent,2019.0
36,Health,"Incidence of tuberculosis (per 100,000 people)",E2_Debt/contract relief,Singapore,SGP,41.0,Cases,2019.0
37,Environment,"Adjusted net savings, including particulate emission damage",E2_Debt/contract relief,Singapore,SGP,34.7026850791648,percent of GNI,2018.0
38,Demographics,Secure Internet servers ,E2_Debt/contract relief,Singapore,SGP,122481.379641414,per 1 million people,2019.0
39,Governance,Fragile States Index Total ,E2_Debt/contract relief,Singapore,SGP,26.3261946557654,score,2020.0
40,Environment,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value ",E2_Debt/contract relief,Singapore,SGP,100.0,percent of total,2017.0
41,Demographics,Mobile cellular subscriptions,E2_Debt/contract relief,Singapore,SGP,156.378,per 100 people,2019.0
42,Social issues ,Life Ladder ,E2_Debt/contract relief,Singapore,SGP,6.376500129699707,score,2021.0
43,Governance,Political stability and absence of violence/terrorism estimate,E2_Debt/contract relief,Singapore,SGP,1.531602,score,2019.0
44,Governance,Aggregate score for the Political Rights category,E2_Debt/contract relief,Singapore,SGP,19.0,score,2021.0
45,Health,Summary exposure value tobacco,E2_Debt/contract relief,Singapore,SGP,14.78242,Rate (risk-weighted prevalence),2019.0
46,Health,"Prevalence of HIV, total (% of population ages 15-49)",E2_Debt/contract relief,Singapore,SGP,0.2,percent,2019.0
47,Economics,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",E2_Debt/contract relief,Singapore,SGP,70.3840027,Percentage of total population,2020.0
48,Environment,"Energy imports, net ",E2_Debt/contract relief,Singapore,SGP,97.68200129245712,percent of energy use,2014.0
49,Health,Prevalence of chronic kidney disease,E2_Debt/contract relief,Singapore,SGP,0.138593,percent,2019.0
50,Governance,Government effectiveness estimate,E2_Debt/contract relief,Singapore,SGP,2.221086,score,2019.0
51,Health,Prevalence of obesity,E2_Debt/contract relief,Singapore,SGP,6.1,percent,2016.0
52,Governance,Aggregate score for the Civil Liberties category,E2_Debt/contract relief,Singapore,SGP,29.0,score,2021.0
