rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,E2_Debt/contract relief,Slovakia,SVK,82.8537,percent of population,2019.0
2,Demographics,Fixed telephone subscriptions,E2_Debt/contract relief,Slovakia,SVK,675297.0,number,2019.0
3,Health,Prevalence of Respiratory infections and tuberculosis,E2_Debt/contract relief,Slovakia,SVK,0.195474,percent,2019.0
4,Health,Prevalence of COVID-19,E2_Debt/contract relief,Slovakia,SVK,149275.0,"Number (cumulative total by Dec 26,2020)",2020.0
5,Governance,Rule of law estimate ,E2_Debt/contract relief,Slovakia,SVK,0.5567357,score,2019.0
6,Health,"Physicians (per 1,000 people)",E2_Debt/contract relief,Slovakia,SVK,3.4156,Ones,2017.0
7,Environment,Electricity production from oil sources,E2_Debt/contract relief,Slovakia,SVK,1.441874436767798,percent of total,2015.0
8,Economics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",E2_Debt/contract relief,Slovakia,SVK,5.10400009,percent of total labor force,2020.0
9,Environment,Fossil fuel energy consumption,E2_Debt/contract relief,Slovakia,SVK,64.0915,percent of total,2015.0
10,Governance,Human Freedom Score ,E2_Debt/contract relief,Slovakia,SVK,7.95,score,2018.0
11,Governance,Voice and accountability estimate,E2_Debt/contract relief,Slovakia,SVK,0.9109987,score,2019.0
12,Demographics,Fixed broadband subscriptions,E2_Debt/contract relief,Slovakia,SVK,29.0469,per 100 people,2019.0
13,Governance,Personal Freedom Score ,E2_Debt/contract relief,Slovakia,SVK,8.26,score,2018.0
14,Governance,Economic Freedom Score,E2_Debt/contract relief,Slovakia,SVK,7.63,score,2018.0
15,Social issues ,"Intentional homicides (per 100,000 people)",E2_Debt/contract relief,Slovakia,SVK,1.1369852689,"proportion, pero 100,000 people",2018.0
16,Environment,CO2 emissions (metric tons per capita),E2_Debt/contract relief,Slovakia,SVK,5.970322,metric tons per capita,2016.0
17,Environment,Energy use (kg of oil equivalent per capita),E2_Debt/contract relief,Slovakia,SVK,3003.664219981522,kg of oil equivalent per capita,2015.0
19,Health,"Nurses and midwives (per 1,000 people)",E2_Debt/contract relief,Slovakia,SVK,6.0671,Ones,2016.0
20,Environment,Electricity production from coal sources ,E2_Debt/contract relief,Slovakia,SVK,12.51126464403725,percent of total,2015.0
21,Economics,Employment in services (% of total employment) (modeled ILO estimate),E2_Debt/contract relief,Slovakia,SVK,61.8339996,Percentage of total employment,2020.0
23,Environment,"PM2.5 air pollution, mean annual exposure",E2_Debt/contract relief,Slovakia,SVK,17.56291,micrograms per cubic meter,2017.0
24,Health,Prevalence of total cancers,E2_Debt/contract relief,Slovakia,SVK,0.027023,percent,2019.0
25,Social issues ,Net migration,E2_Debt/contract relief,Slovakia,SVK,7423.0,net total / data are 5 year estimates,2019.0
26,Social issues ,Press freedom score,E2_Debt/contract relief,Slovakia,SVK,22.67,score,2020.0
27,Environment,Combustible renewables and waste,E2_Debt/contract relief,Slovakia,SVK,4.673051,percent of total energy,2015.0
28,Social issues ,Proportion of women in managerial positions (%),E2_Debt/contract relief,Slovakia,SVK,32.1,percent,2018.0
29,Governance,Corruption Perceptions Index,E2_Debt/contract relief,Slovakia,SVK,49.0,score,2020.0
33,Environment,"Electricity production from renewable sources, excluding hydroelectric",E2_Debt/contract relief,Slovakia,SVK,2174000000.0,kWh,2015.0
34,Health,Prevalence of anxiety disorders,E2_Debt/contract relief,Slovakia,SVK,0.040329,percent,2019.0
35,Health,Prevalence of Diabetes,E2_Debt/contract relief,Slovakia,SVK,0.078589,percent,2019.0
36,Health,"Incidence of tuberculosis (per 100,000 people)",E2_Debt/contract relief,Slovakia,SVK,4.5,Cases,2019.0
37,Environment,"Adjusted net savings, including particulate emission damage",E2_Debt/contract relief,Slovakia,SVK,4.28403859669084,percent of GNI,2018.0
38,Demographics,Secure Internet servers ,E2_Debt/contract relief,Slovakia,SVK,20091.59026657692,per 1 million people,2019.0
39,Governance,Fragile States Index Total ,E2_Debt/contract relief,Slovakia,SVK,38.22181460375541,score,2020.0
40,Environment,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value ",E2_Debt/contract relief,Slovakia,SVK,100.0,percent of total,2017.0
41,Demographics,Mobile cellular subscriptions,E2_Debt/contract relief,Slovakia,SVK,135.597,per 100 people,2019.0
42,Social issues ,Life Ladder ,E2_Debt/contract relief,Slovakia,SVK,6.330900192260742,score,2021.0
43,Governance,Political stability and absence of violence/terrorism estimate,E2_Debt/contract relief,Slovakia,SVK,0.7827882,score,2019.0
44,Governance,Aggregate score for the Political Rights category,E2_Debt/contract relief,Slovakia,SVK,37.0,score,2021.0
45,Health,Summary exposure value tobacco,E2_Debt/contract relief,Slovakia,SVK,24.03725,Rate (risk-weighted prevalence),2019.0
47,Economics,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",E2_Debt/contract relief,Slovakia,SVK,59.2519989,Percentage of total population,2020.0
48,Environment,"Energy imports, net ",E2_Debt/contract relief,Slovakia,SVK,60.65114478134527,percent of energy use,2015.0
49,Health,Prevalence of chronic kidney disease,E2_Debt/contract relief,Slovakia,SVK,0.119371,percent,2019.0
50,Governance,Government effectiveness estimate,E2_Debt/contract relief,Slovakia,SVK,0.6739017,score,2019.0
51,Health,Prevalence of obesity,E2_Debt/contract relief,Slovakia,SVK,20.5,percent,2016.0
52,Governance,Aggregate score for the Civil Liberties category,E2_Debt/contract relief,Slovakia,SVK,53.0,score,2021.0
53,Economics,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",E2_Debt/contract relief,Slovakia,SVK,51.9609985,Percentage of females of the total population,2020.0
54,Health,Mortality due to COVID-19,E2_Debt/contract relief,Slovakia,SVK,1510.0,"Number (cumulative total by Dec 26,2020)",2020.0
57,Health,"Immunization, DPT (% of children ages 12-23 months)",E2_Debt/contract relief,Slovakia,SVK,97.0,percent,2019.0
58,Environment,Energy use ,E2_Debt/contract relief,Slovakia,SVK,101.9724004594745,"(kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)",2015.0
59,Economics,Volume of exports,E2_Debt/contract relief,Slovakia,SVK,5.6,percent change,2020.0
60,Health,Prevalence of Depressive disorders,E2_Debt/contract relief,Slovakia,SVK,0.035631,percent,2019.0
61,Governance,Regulatory quality estimate,E2_Debt/contract relief,Slovakia,SVK,1.00678,score,2019.0
63,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),E2_Debt/contract relief,Slovakia,SVK,5.3,percent,2018.0
64,Social issues ,Gini index (World Bank estimate),E2_Debt/contract relief,Slovakia,SVK,25.2,index ,2016.0
65,Health,Prevalence of Hypertensive heart disease,E2_Debt/contract relief,Slovakia,SVK,0.003006,percent,2019.0
67,Health,"Immunization, measles (% of children ages 12-23 months)",E2_Debt/contract relief,Slovakia,SVK,96.0,percent,2019.0
68,Governance,Human Development Index,E2_Debt/contract relief,Slovakia,SVK,0.86,index,2019.0
69,Environment,CO2 emissions (kt),E2_Debt/contract relief,Slovakia,SVK,32423.61,kt,2016.0
