rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,E2_Debt/contract relief,Turkmenistan,TKM,21.251,percent of population,2019.0
2,Governance,Corruption Perceptions Index,E2_Debt/contract relief,Turkmenistan,TKM,19.0,score,2020.0
3,Health,Prevalence of COVID-19,E2_Debt/contract relief,Turkmenistan,TKM,0.0,"Number (cumulative total by Dec 26,2020)",2020.0
6,Demographics,Secure Internet servers ,E2_Debt/contract relief,Turkmenistan,TKM,20.02662699935999,per 1 million people,2019.0
7,Social issues ,Life Ladder ,E2_Debt/contract relief,Turkmenistan,TKM,5.066400051116943,score,2021.0
8,Health,"Incidence of tuberculosis (per 100,000 people)",E2_Debt/contract relief,Turkmenistan,TKM,45.0,Cases,2019.0
9,Health,Summary exposure value tobacco,E2_Debt/contract relief,Turkmenistan,TKM,36.7436,Rate (risk-weighted prevalence),2019.0
10,Demographics,Fixed broadband subscriptions,E2_Debt/contract relief,Turkmenistan,TKM,0.0868407,per 100 people,2019.0
11,Health,"Immunization, measles (% of children ages 12-23 months)",E2_Debt/contract relief,Turkmenistan,TKM,99.0,percent,2019.0
12,Environment,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value ",E2_Debt/contract relief,Turkmenistan,TKM,100.0,percent of total,2017.0
13,Health,Mortality due to COVID-19,E2_Debt/contract relief,Turkmenistan,TKM,0.0,"Number (cumulative total by Dec 26,2020)",2020.0
14,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),E2_Debt/contract relief,Turkmenistan,TKM,1.2,percent,2018.0
15,Social issues ,Press freedom score,E2_Debt/contract relief,Turkmenistan,TKM,85.44,score,2020.0
16,Economics,Employment in services (% of total employment) (modeled ILO estimate),E2_Debt/contract relief,Turkmenistan,TKM,37.901001,Percentage of total employment,2020.0
17,Environment,CO2 emissions (kt),E2_Debt/contract relief,Turkmenistan,TKM,70630.09,kt,2016.0
18,Governance,Control of corruption estimate,E2_Debt/contract relief,Turkmenistan,TKM,-1.511905,score,2019.0
19,Health,Prevalence of Respiratory infections and tuberculosis,E2_Debt/contract relief,Turkmenistan,TKM,0.260769,percent,2019.0
20,Social issues ,Net migration,E2_Debt/contract relief,Turkmenistan,TKM,-25001.0,net total / data are 5 year estimates,2019.0
21,Health,Prevalence of anxiety disorders,E2_Debt/contract relief,Turkmenistan,TKM,0.024608,percent,2019.0
23,Health,Prevalence of Diabetes,E2_Debt/contract relief,Turkmenistan,TKM,0.047879,percent,2019.0
24,Governance,Aggregate score for the Political Rights category,E2_Debt/contract relief,Turkmenistan,TKM,0.0,score,2021.0
26,Health,Prevalence of Hypertensive heart disease,E2_Debt/contract relief,Turkmenistan,TKM,0.001548,percent,2019.0
27,Economics,Volume of exports,E2_Debt/contract relief,Turkmenistan,TKM,5.694,percent change,2020.0
28,Economics,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",E2_Debt/contract relief,Turkmenistan,TKM,51.25,Percentage of females of the total population,2020.0
30,Health,"Physicians (per 1,000 people)",E2_Debt/contract relief,Turkmenistan,TKM,2.2247,Ones,2014.0
32,Governance,Human Development Index,E2_Debt/contract relief,Turkmenistan,TKM,0.715,index,2019.0
33,Environment,Renewable energy consumption ,E2_Debt/contract relief,Turkmenistan,TKM,0.0408878864181804,percent of total final energy consumption,2015.0
35,Health,"Prevalence of overweight (modeled estimate, % of children under 5)",E2_Debt/contract relief,Turkmenistan,TKM,3.8,percent,2020.0
36,Governance,Political stability and absence of violence/terrorism estimate,E2_Debt/contract relief,Turkmenistan,TKM,-0.093641,score,2019.0
38,Governance,Voice and accountability estimate,E2_Debt/contract relief,Turkmenistan,TKM,-2.131469,score,2019.0
40,Environment,Combustible renewables and waste,E2_Debt/contract relief,Turkmenistan,TKM,0.0275,percent of total energy,2014.0
41,Environment,"Electricity production from renewable sources, excluding hydroelectric",E2_Debt/contract relief,Turkmenistan,TKM,0.0,kWh,2015.0
43,Environment,"PM2.5 air pollution, mean annual exposure",E2_Debt/contract relief,Turkmenistan,TKM,21.76772,micrograms per cubic meter,2017.0
