rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,E2_Debt/contract relief,Tunisia,TUN,66.7,percent of population,2019.0
2,Demographics,Fixed telephone subscriptions,E2_Debt/contract relief,Tunisia,TUN,1454180.0,number,2019.0
3,Health,Prevalence of Respiratory infections and tuberculosis,E2_Debt/contract relief,Tunisia,TUN,0.180548,percent,2019.0
4,Health,Prevalence of COVID-19,E2_Debt/contract relief,Tunisia,TUN,117582.0,"Number (cumulative total by Dec 26,2020)",2020.0
5,Governance,Rule of law estimate ,E2_Debt/contract relief,Tunisia,TUN,0.0622187,score,2019.0
6,Health,"Physicians (per 1,000 people)",E2_Debt/contract relief,Tunisia,TUN,1.3025,Ones,2017.0
7,Environment,Electricity production from oil sources,E2_Debt/contract relief,Tunisia,TUN,4.635088432608254,percent of total,2015.0
8,Economics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",E2_Debt/contract relief,Tunisia,TUN,16.1539993,percent of total labor force,2020.0
9,Environment,Fossil fuel energy consumption,E2_Debt/contract relief,Tunisia,TUN,88.87039,percent of total,2014.0
10,Governance,Human Freedom Score ,E2_Debt/contract relief,Tunisia,TUN,6.04,score,2018.0
11,Governance,Voice and accountability estimate,E2_Debt/contract relief,Tunisia,TUN,0.2814057,score,2019.0
12,Demographics,Fixed broadband subscriptions,E2_Debt/contract relief,Tunisia,TUN,10.2043,per 100 people,2019.0
13,Governance,Personal Freedom Score ,E2_Debt/contract relief,Tunisia,TUN,6.0,score,2018.0
14,Governance,Economic Freedom Score,E2_Debt/contract relief,Tunisia,TUN,6.07,score,2018.0
16,Environment,CO2 emissions (metric tons per capita),E2_Debt/contract relief,Tunisia,TUN,2.648402,metric tons per capita,2016.0
17,Environment,Energy use (kg of oil equivalent per capita),E2_Debt/contract relief,Tunisia,TUN,950.4907304856885,kg of oil equivalent per capita,2014.0
18,Health,"Prevalence of overweight (modeled estimate, % of children under 5)",E2_Debt/contract relief,Tunisia,TUN,16.5,percent,2020.0
19,Health,"Nurses and midwives (per 1,000 people)",E2_Debt/contract relief,Tunisia,TUN,2.5136,Ones,2017.0
20,Environment,Electricity production from coal sources ,E2_Debt/contract relief,Tunisia,TUN,0.0,percent of total,2015.0
21,Economics,Employment in services (% of total employment) (modeled ILO estimate),E2_Debt/contract relief,Tunisia,TUN,54.7830009,Percentage of total employment,2020.0
23,Environment,"PM2.5 air pollution, mean annual exposure",E2_Debt/contract relief,Tunisia,TUN,37.65599,micrograms per cubic meter,2017.0
24,Health,Prevalence of total cancers,E2_Debt/contract relief,Tunisia,TUN,0.008585,percent,2019.0
25,Social issues ,Net migration,E2_Debt/contract relief,Tunisia,TUN,-20000.0,net total / data are 5 year estimates,2019.0
26,Social issues ,Press freedom score,E2_Debt/contract relief,Tunisia,TUN,29.45,score,2020.0
27,Environment,Combustible renewables and waste,E2_Debt/contract relief,Tunisia,TUN,8.338809,percent of total energy,2014.0
29,Governance,Corruption Perceptions Index,E2_Debt/contract relief,Tunisia,TUN,44.0,score,2020.0
32,Health,"Prevalence of stunting, height for age (modeled estimate, % of children under 5)",E2_Debt/contract relief,Tunisia,TUN,8.6,percent,2020.0
33,Environment,"Electricity production from renewable sources, excluding hydroelectric",E2_Debt/contract relief,Tunisia,TUN,489000000.0,kWh,2015.0
34,Health,Prevalence of anxiety disorders,E2_Debt/contract relief,Tunisia,TUN,0.055825,percent,2019.0
35,Health,Prevalence of Diabetes,E2_Debt/contract relief,Tunisia,TUN,0.100427,percent,2019.0
36,Health,"Incidence of tuberculosis (per 100,000 people)",E2_Debt/contract relief,Tunisia,TUN,35.0,Cases,2019.0
37,Environment,"Adjusted net savings, including particulate emission damage",E2_Debt/contract relief,Tunisia,TUN,-8.29846242582154,percent of GNI,2018.0
38,Demographics,Secure Internet servers ,E2_Debt/contract relief,Tunisia,TUN,270.9770110765381,per 1 million people,2019.0
39,Governance,Fragile States Index Total ,E2_Debt/contract relief,Tunisia,TUN,68.12591302617336,score,2020.0
40,Environment,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value ",E2_Debt/contract relief,Tunisia,TUN,100.0,percent of total,2017.0
41,Demographics,Mobile cellular subscriptions,E2_Debt/contract relief,Tunisia,TUN,126.305,per 100 people,2019.0
42,Social issues ,Life Ladder ,E2_Debt/contract relief,Tunisia,TUN,4.596499919891357,score,2021.0
43,Governance,Political stability and absence of violence/terrorism estimate,E2_Debt/contract relief,Tunisia,TUN,-0.8325363,score,2019.0
44,Governance,Aggregate score for the Political Rights category,E2_Debt/contract relief,Tunisia,TUN,32.0,score,2021.0
45,Health,Summary exposure value tobacco,E2_Debt/contract relief,Tunisia,TUN,30.69839,Rate (risk-weighted prevalence),2019.0
46,Health,"Prevalence of HIV, total (% of population ages 15-49)",E2_Debt/contract relief,Tunisia,TUN,0.1,percent,2019.0
47,Economics,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",E2_Debt/contract relief,Tunisia,TUN,45.8989983,Percentage of total population,2020.0
48,Environment,"Energy imports, net ",E2_Debt/contract relief,Tunisia,TUN,36.19587141611359,percent of energy use,2014.0
