rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,H1_Public information campaigns,Australia,AUS,86.545,percent of population,2019.0
2,Demographics,Fixed telephone subscriptions,H1_Public information campaigns,Australia,AUS,7820000.0,number,2019.0
3,Health,Prevalence of Respiratory infections and tuberculosis,H1_Public information campaigns,Australia,AUS,0.155167,percent,2019.0
4,Health,Prevalence of COVID-19,H1_Public information campaigns,Australia,AUS,28094.0,"Number (cumulative total by Dec 26,2020)",2020.0
5,Governance,Rule of law estimate ,H1_Public information campaigns,Australia,AUS,1.734145,score,2019.0
6,Environment,Electricity production from oil sources,H1_Public information campaigns,Australia,AUS,2.695064136104901,percent of total,2015.0
7,Environment,Fossil fuel energy consumption,H1_Public information campaigns,Australia,AUS,89.62563,percent of total,2015.0
8,Health,Prevalence of chronic kidney disease,H1_Public information campaigns,Australia,AUS,0.108301,percent,2019.0
9,Governance,Human Freedom Score ,H1_Public information campaigns,Australia,AUS,8.68,score,2018.0
10,Environment,Energy use (kg of oil equivalent per capita),H1_Public information campaigns,Australia,AUS,5483.816401540225,kg of oil equivalent per capita,2015.0
11,Governance,Economic Freedom Score,H1_Public information campaigns,Australia,AUS,8.23,score,2018.0
12,Environment,"PM2.5 air pollution, mean annual exposure",H1_Public information campaigns,Australia,AUS,8.550324,micrograms per cubic meter,2017.0
13,Demographics,Fixed broadband subscriptions,H1_Public information campaigns,Australia,AUS,34.5413,per 100 people,2019.0
14,Health,"Prevalence of overweight (modeled estimate, % of children under 5)",H1_Public information campaigns,Australia,AUS,18.5,percent,2020.0
15,Health,"Incidence of tuberculosis (per 100,000 people)",H1_Public information campaigns,Australia,AUS,6.9,Cases,2019.0
16,Economics,"Central government debt, total",H1_Public information campaigns,Australia,AUS,0.054648482520169,percent of GDP,2016.0
17,Social issues ,Net migration,H1_Public information campaigns,Australia,AUS,791229.0,net total / data are 5 year estimates,2019.0
18,Economics,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",H1_Public information campaigns,Australia,AUS,60.2050018,Percentage of females of the total population,2020.0
19,Governance,Corruption Perceptions Index,H1_Public information campaigns,Australia,AUS,77.0,score,2020.0
20,Environment,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value ",H1_Public information campaigns,Australia,AUS,24.8935837696774,percent of total,2017.0
21,Health,Prevalence of Diabetes,H1_Public information campaigns,Australia,AUS,0.064669,percent,2019.0
22,Environment,Electricity production from coal sources ,H1_Public information campaigns,Australia,AUS,62.87161680064691,percent of total,2015.0
23,Health,Prevalence of anxiety disorders,H1_Public information campaigns,Australia,AUS,0.064051,percent,2019.0
24,Environment,CO2 emissions (metric tons per capita),H1_Public information campaigns,Australia,AUS,15.53922,metric tons per capita,2016.0
25,Social issues ,Proportion of women in managerial positions (%),H1_Public information campaigns,Australia,AUS,37.8,percent,2018.0
26,Governance,Fragile States Index Total ,H1_Public information campaigns,Australia,AUS,19.746408857575208,score,2020.0
27,Governance,Aggregate score for the Political Rights category,H1_Public information campaigns,Australia,AUS,40.0,score,2021.0
28,Economics,Volume of exports,H1_Public information campaigns,Australia,AUS,2.366,percent change,2020.0
29,Environment,Electricity production from nuclear sources ,H1_Public information campaigns,Australia,AUS,0.0,percent of total,2015.0
30,Health,Prevalence of obesity,H1_Public information campaigns,Australia,AUS,29.0,percent,2016.0
31,Health,Summary exposure value tobacco,H1_Public information campaigns,Australia,AUS,21.19674,Rate (risk-weighted prevalence),2019.0
33,Health,"Prevalence of HIV, total (% of population ages 15-49)",H1_Public information campaigns,Australia,AUS,0.1,percent,2019.0
34,Governance,Voice and accountability estimate,H1_Public information campaigns,Australia,AUS,1.315125,score,2019.0
35,Environment,CO2 emissions (kt),H1_Public information campaigns,Australia,AUS,375907.8,kt,2016.0
36,Economics,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",H1_Public information campaigns,Australia,AUS,65.3690033,Percentage of total population,2020.0
37,Social issues ,Gini index (World Bank estimate),H1_Public information campaigns,Australia,AUS,34.4,index ,2014.0
38,Economics,"Foreign direct investment, net",H1_Public information campaigns,Australia,AUS,38605657230.0,US Dollar,2019.0
39,Health,"Prevalence of stunting, height for age (modeled estimate, % of children under 5)",H1_Public information campaigns,Australia,AUS,2.1,percent,2020.0
40,Social issues ,Proportion of seats held by women in national parliaments (%),H1_Public information campaigns,Australia,AUS,30.46357616,proportion,2020.0
41,Health,Prevalence of Depressive disorders,H1_Public information campaigns,Australia,AUS,0.050533,percent,2019.0
42,Governance,Political stability and absence of violence/terrorism estimate,H1_Public information campaigns,Australia,AUS,1.086503,score,2019.0
43,Demographics,Rural population (% of total population),H1_Public information campaigns,Australia,AUS,13.87600000000001,proportion,2019.0
44,Environment,"Energy imports, net ",H1_Public information campaigns,Australia,AUS,-190.1909475821543,percent of energy use,2015.0
45,Demographics,Mobile cellular subscriptions,H1_Public information campaigns,Australia,AUS,110.621,per 100 people,2019.0
46,Social issues ,"Intentional homicides (per 100,000 people)",H1_Public information campaigns,Australia,AUS,0.89163240342,"proportion, pero 100,000 people",2018.0
47,Governance,Human Development Index,H1_Public information campaigns,Australia,AUS,0.944,index,2019.0
48,Governance,Total freedom in the world score ,H1_Public information campaigns,Australia,AUS,97.0,score,2021.0
49,Demographics,Secure Internet servers ,H1_Public information campaigns,Australia,AUS,36720.85344180703,per 1 million people,2019.0
50,Environment,Energy use ,H1_Public information campaigns,Australia,AUS,114.2045654214777,"(kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)",2015.0
51,Environment,Renewable energy consumption ,H1_Public information campaigns,Australia,AUS,9.18050295980786,percent of total final energy consumption,2015.0
52,Governance,Control of corruption estimate,H1_Public information campaigns,Australia,AUS,1.811107,score,2019.0
53,Economics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",H1_Public information campaigns,Australia,AUS,5.32800007,percent of total labor force,2020.0
54,Environment,Electric power consumption ,H1_Public information campaigns,Australia,AUS,10071.39897850057,kWh per capita,2014.0
55,Social issues ,Life Ladder ,H1_Public information campaigns,Australia,AUS,7.183499813079834,score,2021.0
56,Health,Prevalence of total cancers,H1_Public information campaigns,Australia,AUS,0.041621,percent,2019.0
57,Health,"Immunization, DPT (% of children ages 12-23 months)",H1_Public information campaigns,Australia,AUS,95.0,percent,2019.0
59,Economics,"International tourism, receipts",H1_Public information campaigns,Australia,AUS,45709000000.0,US Dollar,2019.0
60,Health,Prevalence of down syndrome,H1_Public information campaigns,Australia,AUS,0.000425,percent,2019.0
62,Environment,"Adjusted net savings, including particulate emission damage",H1_Public information campaigns,Australia,AUS,4.42268183065241,percent of GNI,2018.0
63,Economics,Employment in services (% of total employment) (modeled ILO estimate),H1_Public information campaigns,Australia,AUS,77.7330017,Percentage of total employment,2020.0
64,Social issues ,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",H1_Public information campaigns,Australia,AUS,31.7493305206299,proportion,2018.0
65,Health,"Immunization, measles (% of children ages 12-23 months)",H1_Public information campaigns,Australia,AUS,95.0,percent,2019.0
66,Demographics,"Age dependency ratio, old (% of working-age population)",H1_Public information campaigns,Australia,AUS,24.5684821384735,proportion,2019.0
67,Governance,Personal Freedom Score ,H1_Public information campaigns,Australia,AUS,9.12,score,2018.0
68,Environment,Combustible renewables and waste,H1_Public information campaigns,Australia,AUS,3.33011,percent of total energy,2015.0
69,Economics,Expenditure on social protection (% of GDP),H1_Public information campaigns,Australia,AUS,9.73273,percent,2019.0
70,Governance,Aggregate score for the Civil Liberties category,H1_Public information campaigns,Australia,AUS,57.0,score,2021.0
71,Demographics,Age dependency ratio (% of working-age population),H1_Public information campaigns,Australia,AUS,54.3130005917775,proportion,2019.0
72,Environment,Access to electricity ,H1_Public information campaigns,Australia,AUS,100.0,percent of population,2018.0
73,Health,"Nurses and midwives (per 1,000 people)",H1_Public information campaigns,Australia,AUS,12.5508,Ones,2017.0
75,Health,Mortality due to COVID-19,H1_Public information campaigns,Australia,AUS,908.0,"Number (cumulative total by Dec 26,2020)",2020.0
76,Governance,Government effectiveness estimate,H1_Public information campaigns,Australia,AUS,1.571896,score,2019.0
78,Economics,Volume of imports,H1_Public information campaigns,Australia,AUS,2.424,percent change,2020.0
80,Demographics,"Population, total",H1_Public information campaigns,Australia,AUS,25364307.0,total,2019.0
84,Economics,Expenditure on education (% of GDP),H1_Public information campaigns,Australia,AUS,5.39412,percent,2019.0
85,Health,"Physicians (per 1,000 people)",H1_Public information campaigns,Australia,AUS,3.6778,Ones,2017.0
87,Governance,Serious assault (rate),H1_Public information campaigns,Australia,AUS,292.02,rate,2018.0
88,Demographics,Urban population (% of total population),H1_Public information campaigns,Australia,AUS,86.124,total,2019.0
89,Economics,Stock market capitalization (US$ million),H1_Public information campaigns,Australia,AUS,1487598500000.0,US Dollar,2019.0
95,Economics,"Trade, total as % of GDP",H1_Public information campaigns,Australia,AUS,35.81504,percent,2019.0
96,Economics,Unemployment rate (%) - Annual,H1_Public information campaigns,Australia,AUS,5.3,percent,2019.0
99,Governance,Regulatory quality estimate,H1_Public information campaigns,Australia,AUS,1.873539,score,2019.0
103,Economics,"Output per worker (GDP constant 2011 international $ in PPP -- ILO modelled estimates, Nov. 2019",H1_Public information campaigns,Australia,AUS,92411.2,international $ in PPP,2020.0
