rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,H1_Public information campaigns,Bahamas,BHS,85.0,percent of population,2019.0
2,Demographics,Fixed telephone subscriptions,H1_Public information campaigns,Bahamas,BHS,91129.0,number,2019.0
3,Health,Prevalence of Respiratory infections and tuberculosis,H1_Public information campaigns,Bahamas,BHS,0.266667,percent,2019.0
4,Health,Prevalence of COVID-19,H1_Public information campaigns,Bahamas,BHS,7733.0,"Number (cumulative total by Dec 26,2020)",2020.0
5,Governance,Rule of law estimate ,H1_Public information campaigns,Bahamas,BHS,0.0765319,score,2019.0
8,Health,Prevalence of chronic kidney disease,H1_Public information campaigns,Bahamas,BHS,0.098232,percent,2019.0
9,Governance,Human Freedom Score ,H1_Public information campaigns,Bahamas,BHS,7.72,score,2018.0
11,Governance,Economic Freedom Score,H1_Public information campaigns,Bahamas,BHS,7.62,score,2018.0
12,Environment,"PM2.5 air pollution, mean annual exposure",H1_Public information campaigns,Bahamas,BHS,17.36772,micrograms per cubic meter,2017.0
13,Demographics,Fixed broadband subscriptions,H1_Public information campaigns,Bahamas,BHS,21.1293,per 100 people,2019.0
15,Health,"Incidence of tuberculosis (per 100,000 people)",H1_Public information campaigns,Bahamas,BHS,15.0,Cases,2019.0
16,Economics,"Central government debt, total",H1_Public information campaigns,Bahamas,BHS,51.46341954143438,percent of GDP,2016.0
17,Social issues ,Net migration,H1_Public information campaigns,Bahamas,BHS,4999.0,net total / data are 5 year estimates,2019.0
18,Economics,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",H1_Public information campaigns,Bahamas,BHS,67.9599991,Percentage of females of the total population,2020.0
19,Governance,Corruption Perceptions Index,H1_Public information campaigns,Bahamas,BHS,63.0,score,2020.0
20,Environment,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value ",H1_Public information campaigns,Bahamas,BHS,99.9999999918088,percent of total,2017.0
21,Health,Prevalence of Diabetes,H1_Public information campaigns,Bahamas,BHS,0.091191,percent,2019.0
23,Health,Prevalence of anxiety disorders,H1_Public information campaigns,Bahamas,BHS,0.048978,percent,2019.0
24,Environment,CO2 emissions (metric tons per capita),H1_Public information campaigns,Bahamas,BHS,4.725278,metric tons per capita,2016.0
26,Governance,Fragile States Index Total ,H1_Public information campaigns,Bahamas,BHS,49.86859355975667,score,2020.0
27,Governance,Aggregate score for the Political Rights category,H1_Public information campaigns,Bahamas,BHS,38.0,score,2021.0
28,Economics,Volume of exports,H1_Public information campaigns,Bahamas,BHS,3.436,percent change,2020.0
30,Health,Prevalence of obesity,H1_Public information campaigns,Bahamas,BHS,31.6,percent,2016.0
31,Health,Summary exposure value tobacco,H1_Public information campaigns,Bahamas,BHS,13.84884,Rate (risk-weighted prevalence),2019.0
32,Social issues ,"Primary completion rate, total (% of relevant age group)",H1_Public information campaigns,Bahamas,BHS,76.4586334228516,proportion,2018.0
34,Governance,Voice and accountability estimate,H1_Public information campaigns,Bahamas,BHS,0.9342639,score,2019.0
35,Environment,CO2 emissions (kt),H1_Public information campaigns,Bahamas,BHS,1785.829,kt,2016.0
36,Economics,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",H1_Public information campaigns,Bahamas,BHS,74.4759979,Percentage of total population,2020.0
40,Social issues ,Proportion of seats held by women in national parliaments (%),H1_Public information campaigns,Bahamas,BHS,12.82051282,proportion,2020.0
41,Health,Prevalence of Depressive disorders,H1_Public information campaigns,Bahamas,BHS,0.035205,percent,2019.0
42,Governance,Political stability and absence of violence/terrorism estimate,H1_Public information campaigns,Bahamas,BHS,0.8294795,score,2019.0
43,Demographics,Rural population (% of total population),H1_Public information campaigns,Bahamas,BHS,16.868,proportion,2019.0
45,Demographics,Mobile cellular subscriptions,H1_Public information campaigns,Bahamas,BHS,109.249,per 100 people,2019.0
46,Social issues ,"Intentional homicides (per 100,000 people)",H1_Public information campaigns,Bahamas,BHS,31.958171469,"proportion, pero 100,000 people",2017.0
47,Governance,Human Development Index,H1_Public information campaigns,Bahamas,BHS,0.814,index,2019.0
48,Governance,Total freedom in the world score ,H1_Public information campaigns,Bahamas,BHS,91.0,score,2021.0
49,Demographics,Secure Internet servers ,H1_Public information campaigns,Bahamas,BHS,1586.72287807909,per 1 million people,2019.0
51,Environment,Renewable energy consumption ,H1_Public information campaigns,Bahamas,BHS,1.21051288380392,percent of total final energy consumption,2015.0
52,Governance,Control of corruption estimate,H1_Public information campaigns,Bahamas,BHS,1.184628,score,2019.0
53,Economics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",H1_Public information campaigns,Bahamas,BHS,11.2700005,percent of total labor force,2020.0
56,Health,Prevalence of total cancers,H1_Public information campaigns,Bahamas,BHS,0.014879,percent,2019.0
57,Health,"Immunization, DPT (% of children ages 12-23 months)",H1_Public information campaigns,Bahamas,BHS,86.0,percent,2019.0
60,Health,Prevalence of down syndrome,H1_Public information campaigns,Bahamas,BHS,0.000294,percent,2019.0
62,Environment,"Adjusted net savings, including particulate emission damage",H1_Public information campaigns,Bahamas,BHS,-3.52596032840768,percent of GNI,2018.0
63,Economics,Employment in services (% of total employment) (modeled ILO estimate),H1_Public information campaigns,Bahamas,BHS,83.8909988,Percentage of total employment,2020.0
65,Health,"Immunization, measles (% of children ages 12-23 months)",H1_Public information campaigns,Bahamas,BHS,85.0,percent,2019.0
66,Demographics,"Age dependency ratio, old (% of working-age population)",H1_Public information campaigns,Bahamas,BHS,10.6234623024913,proportion,2019.0
67,Governance,Personal Freedom Score ,H1_Public information campaigns,Bahamas,BHS,7.82,score,2018.0
70,Governance,Aggregate score for the Civil Liberties category,H1_Public information campaigns,Bahamas,BHS,53.0,score,2021.0
