rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,H1_Public information campaigns,Bhutan,BTN,48.1064,percent of population,2019.0
2,Demographics,Fixed telephone subscriptions,H1_Public information campaigns,Bhutan,BTN,21581.0,number,2019.0
3,Health,Prevalence of Respiratory infections and tuberculosis,H1_Public information campaigns,Bhutan,BTN,0.107158,percent,2019.0
4,Health,Prevalence of COVID-19,H1_Public information campaigns,Bhutan,BTN,443.0,"Number (cumulative total by Dec 26,2020)",2020.0
5,Governance,Rule of law estimate ,H1_Public information campaigns,Bhutan,BTN,0.5897077,score,2019.0
8,Health,Prevalence of chronic kidney disease,H1_Public information campaigns,Bhutan,BTN,0.07479,percent,2019.0
9,Governance,Human Freedom Score ,H1_Public information campaigns,Bhutan,BTN,6.52,score,2018.0
11,Governance,Economic Freedom Score,H1_Public information campaigns,Bhutan,BTN,6.63,score,2018.0
12,Environment,"PM2.5 air pollution, mean annual exposure",H1_Public information campaigns,Bhutan,BTN,37.9265,micrograms per cubic meter,2017.0
13,Demographics,Fixed broadband subscriptions,H1_Public information campaigns,Bhutan,BTN,1.1498,per 100 people,2019.0
14,Health,"Prevalence of overweight (modeled estimate, % of children under 5)",H1_Public information campaigns,Bhutan,BTN,5.2,percent,2020.0
15,Health,"Incidence of tuberculosis (per 100,000 people)",H1_Public information campaigns,Bhutan,BTN,165.0,Cases,2019.0
16,Economics,"Central government debt, total",H1_Public information campaigns,Bhutan,BTN,110.6769010083607,percent of GDP,2016.0
17,Social issues ,Net migration,H1_Public information campaigns,Bhutan,BTN,1600.0,net total / data are 5 year estimates,2019.0
18,Economics,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",H1_Public information campaigns,Bhutan,BTN,59.0340004,Percentage of females of the total population,2020.0
19,Governance,Corruption Perceptions Index,H1_Public information campaigns,Bhutan,BTN,68.0,score,2020.0
20,Environment,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value ",H1_Public information campaigns,Bhutan,BTN,100.0,percent of total,2017.0
21,Health,Prevalence of Diabetes,H1_Public information campaigns,Bhutan,BTN,0.046305,percent,2019.0
23,Health,Prevalence of anxiety disorders,H1_Public information campaigns,Bhutan,BTN,0.034558,percent,2019.0
24,Environment,CO2 emissions (metric tons per capita),H1_Public information campaigns,Bhutan,BTN,1.712274,metric tons per capita,2016.0
25,Social issues ,Proportion of women in managerial positions (%),H1_Public information campaigns,Bhutan,BTN,18.48,percent,2015.0
26,Governance,Fragile States Index Total ,H1_Public information campaigns,Bhutan,BTN,69.50902262964706,score,2020.0
27,Governance,Aggregate score for the Political Rights category,H1_Public information campaigns,Bhutan,BTN,30.0,score,2021.0
28,Economics,Volume of exports,H1_Public information campaigns,Bhutan,BTN,3.855,percent change,2020.0
30,Health,Prevalence of obesity,H1_Public information campaigns,Bhutan,BTN,6.4,percent,2016.0
31,Health,Summary exposure value tobacco,H1_Public information campaigns,Bhutan,BTN,12.4347,Rate (risk-weighted prevalence),2019.0
32,Social issues ,"Primary completion rate, total (% of relevant age group)",H1_Public information campaigns,Bhutan,BTN,100.0,proportion,2017.0
34,Governance,Voice and accountability estimate,H1_Public information campaigns,Bhutan,BTN,0.0987649,score,2019.0
35,Environment,CO2 emissions (kt),H1_Public information campaigns,Bhutan,BTN,1261.448,kt,2016.0
36,Economics,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",H1_Public information campaigns,Bhutan,BTN,66.9810028,Percentage of total population,2020.0
37,Social issues ,Gini index (World Bank estimate),H1_Public information campaigns,Bhutan,BTN,37.4,index ,2017.0
38,Economics,"Foreign direct investment, net",H1_Public information campaigns,Bhutan,BTN,13032400.0,US Dollar,2019.0
39,Health,"Prevalence of stunting, height for age (modeled estimate, % of children under 5)",H1_Public information campaigns,Bhutan,BTN,22.4,percent,2020.0
40,Social issues ,Proportion of seats held by women in national parliaments (%),H1_Public information campaigns,Bhutan,BTN,14.89361702,proportion,2020.0
41,Health,Prevalence of Depressive disorders,H1_Public information campaigns,Bhutan,BTN,0.040635,percent,2019.0
42,Governance,Political stability and absence of violence/terrorism estimate,H1_Public information campaigns,Bhutan,BTN,1.092505,score,2019.0
