rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,H1_Public information campaigns,Gibraltar,GIB,94.4445,percent of population,2019.0
2,Demographics,Fixed telephone subscriptions,H1_Public information campaigns,Gibraltar,GIB,16968.0,number,2019.0
4,Health,Prevalence of COVID-19,H1_Public information campaigns,Gibraltar,GIB,1153.0,"Number (cumulative total by Dec 26,2020)",2020.0
6,Environment,Electricity production from oil sources,H1_Public information campaigns,Gibraltar,GIB,100.0,percent of total,2015.0
7,Environment,Fossil fuel energy consumption,H1_Public information campaigns,Gibraltar,GIB,99.51282,percent of total,2014.0
10,Environment,Energy use (kg of oil equivalent per capita),H1_Public information campaigns,Gibraltar,GIB,5812.453669384729,kg of oil equivalent per capita,2014.0
13,Demographics,Fixed broadband subscriptions,H1_Public information campaigns,Gibraltar,GIB,56.2891,per 100 people,2019.0
22,Environment,Electricity production from coal sources ,H1_Public information campaigns,Gibraltar,GIB,0.0,percent of total,2015.0
24,Environment,CO2 emissions (metric tons per capita),H1_Public information campaigns,Gibraltar,GIB,18.80401,metric tons per capita,2016.0
29,Environment,Electricity production from nuclear sources ,H1_Public information campaigns,Gibraltar,GIB,0.0,percent of total,2014.0
35,Environment,CO2 emissions (kt),H1_Public information campaigns,Gibraltar,GIB,634.391,kt,2016.0
44,Environment,"Energy imports, net ",H1_Public information campaigns,Gibraltar,GIB,100.0,percent of energy use,2014.0
45,Demographics,Mobile cellular subscriptions,H1_Public information campaigns,Gibraltar,GIB,120.284,per 100 people,2019.0
49,Demographics,Secure Internet servers ,H1_Public information campaigns,Gibraltar,GIB,16201.29966469838,per 1 million people,2019.0
51,Environment,Renewable energy consumption ,H1_Public information campaigns,Gibraltar,GIB,0.0,percent of total final energy consumption,2015.0
54,Environment,Electric power consumption ,H1_Public information campaigns,Gibraltar,GIB,5693.106004447739,kWh per capita,2014.0
68,Environment,Combustible renewables and waste,H1_Public information campaigns,Gibraltar,GIB,0.0,percent of total energy,2014.0
72,Environment,Access to electricity ,H1_Public information campaigns,Gibraltar,GIB,100.0,percent of population,2018.0
75,Health,Mortality due to COVID-19,H1_Public information campaigns,Gibraltar,GIB,6.0,"Number (cumulative total by Dec 26,2020)",2020.0
110,Environment,"Electricity production from renewable sources, excluding hydroelectric",H1_Public information campaigns,Gibraltar,GIB,0.0,kWh,2015.0
112,Environment,"Electricity production from oil, gas and coal sources",H1_Public information campaigns,Gibraltar,GIB,100.0,percent of total,2015.0
