rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,H1_Public information campaigns,Greece,GRC,75.6712,percent of population,2019.0
2,Governance,Corruption Perceptions Index,H1_Public information campaigns,Greece,GRC,50.0,score,2020.0
3,Demographics,Secure Internet servers ,H1_Public information campaigns,Greece,GRC,6650.60269745534,per 1 million people,2019.0
4,Health,Prevalence of COVID-19,H1_Public information campaigns,Greece,GRC,129584.0,"Number (cumulative total by Dec 26,2020)",2020.0
6,Health,Mortality due to COVID-19,H1_Public information campaigns,Greece,GRC,4044.0,"Number (cumulative total by Dec 26,2020)",2020.0
7,Health,Summary exposure value tobacco,H1_Public information campaigns,Greece,GRC,34.63954,Rate (risk-weighted prevalence),2019.0
8,Social issues ,Net migration,H1_Public information campaigns,Greece,GRC,-80000.0,net total / data are 5 year estimates,2019.0
9,Health,"Physicians (per 1,000 people)",H1_Public information campaigns,Greece,GRC,5.4789,Ones,2017.0
10,Demographics,Mobile cellular subscriptions,H1_Public information campaigns,Greece,GRC,113.449,per 100 people,2019.0
11,Health,"Prevalence of overweight (modeled estimate, % of children under 5)",H1_Public information campaigns,Greece,GRC,13.9,percent,2020.0
12,Social issues ,Life Ladder ,H1_Public information campaigns,Greece,GRC,5.722599983215332,score,2021.0
13,Demographics,Fixed broadband subscriptions,H1_Public information campaigns,Greece,GRC,39.3195,per 100 people,2019.0
14,Economics,Volume of imports,H1_Public information campaigns,Greece,GRC,4.774,percent change,2020.0
15,Environment,Electric power consumption ,H1_Public information campaigns,Greece,GRC,5062.606421552323,kWh per capita,2014.0
16,Governance,Serious assault (rate),H1_Public information campaigns,Greece,GRC,15.08,rate,2018.0
17,Health,"Immunization, measles (% of children ages 12-23 months)",H1_Public information campaigns,Greece,GRC,97.0,percent,2019.0
18,Health,Prevalence of anxiety disorders,H1_Public information campaigns,Greece,GRC,0.063919,percent,2019.0
20,Economics,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",H1_Public information campaigns,Greece,GRC,43.9070015,Percentage of females of the total population,2020.0
21,Environment,CO2 emissions (kt),H1_Public information campaigns,Greece,GRC,62434.34,kt,2016.0
22,Health,"Incidence of tuberculosis (per 100,000 people)",H1_Public information campaigns,Greece,GRC,4.3,Cases,2019.0
23,Environment,Renewable energy consumption ,H1_Public information campaigns,Greece,GRC,17.170047546133,percent of total final energy consumption,2015.0
24,Governance,Aggregate score for the Political Rights category,H1_Public information campaigns,Greece,GRC,37.0,score,2021.0
25,Health,"Nurses and midwives (per 1,000 people)",H1_Public information campaigns,Greece,GRC,3.6331,Ones,2017.0
27,Environment,"Adjusted net savings, including particulate emission damage",H1_Public information campaigns,Greece,GRC,-1.72419681743416,percent of GNI,2018.0
28,Economics,Employment in services (% of total employment) (modeled ILO estimate),H1_Public information campaigns,Greece,GRC,73.1230011,Percentage of total employment,2020.0
29,Environment,"PM2.5 air pollution, mean annual exposure",H1_Public information campaigns,Greece,GRC,16.21827,micrograms per cubic meter,2017.0
30,Environment,Electricity production from oil sources,H1_Public information campaigns,Greece,GRC,10.9277912855544,percent of total,2015.0
31,Governance,Human Freedom Score ,H1_Public information campaigns,Greece,GRC,7.38,score,2018.0
32,Environment,Access to electricity ,H1_Public information campaigns,Greece,GRC,100.0,percent of population,2018.0
33,Social issues ,Proportion of women in managerial positions (%),H1_Public information campaigns,Greece,GRC,27.48,percent,2018.0
34,Health,Prevalence of down syndrome,H1_Public information campaigns,Greece,GRC,0.000582,percent,2019.0
35,Environment,"Energy imports, net ",H1_Public information campaigns,Greece,GRC,64.17554663878474,percent of energy use,2015.0
36,Environment,"Electricity production from oil, gas and coal sources",H1_Public information campaigns,Greece,GRC,71.12809231600478,percent of total,2015.0
37,Environment,Combustible renewables and waste,H1_Public information campaigns,Greece,GRC,5.164537,percent of total energy,2015.0
38,Governance,Regulatory quality estimate,H1_Public information campaigns,Greece,GRC,0.529879,score,2019.0
39,Health,"Immunization, DPT (% of children ages 12-23 months)",H1_Public information campaigns,Greece,GRC,99.0,percent,2019.0
40,Health,Prevalence of Respiratory infections and tuberculosis,H1_Public information campaigns,Greece,GRC,0.123363,percent,2019.0
43,Environment,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value ",H1_Public information campaigns,Greece,GRC,99.9999999998588,percent of total,2017.0
45,Social issues ,Press freedom score,H1_Public information campaigns,Greece,GRC,28.8,score,2020.0
46,Social issues ,Proportion of seats held by women in national parliaments (%),H1_Public information campaigns,Greece,GRC,21.66666667,proportion,2020.0
47,Governance,Aggregate score for the Civil Liberties category,H1_Public information campaigns,Greece,GRC,50.0,score,2021.0
48,Health,Prevalence of Hypertensive heart disease,H1_Public information campaigns,Greece,GRC,0.00283,percent,2019.0
49,Economics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",H1_Public information campaigns,Greece,GRC,15.474,percent of total labor force,2020.0
50,Health,Prevalence of Depressive disorders,H1_Public information campaigns,Greece,GRC,0.065221,percent,2019.0
51,Governance,Human Development Index,H1_Public information campaigns,Greece,GRC,0.888,index,2019.0
52,Governance,Total freedom in the world score ,H1_Public information campaigns,Greece,GRC,87.0,score,2021.0
53,Health,Prevalence of obesity,H1_Public information campaigns,Greece,GRC,24.9,percent,2016.0
55,Governance,Political stability and absence of violence/terrorism estimate,H1_Public information campaigns,Greece,GRC,0.2909985,score,2019.0
56,Health,"Prevalence of stunting, height for age (modeled estimate, % of children under 5)",H1_Public information campaigns,Greece,GRC,2.2,percent,2020.0
59,Health,Prevalence of total cancers,H1_Public information campaigns,Greece,GRC,0.035651,percent,2019.0
60,Governance,Economic Freedom Score,H1_Public information campaigns,Greece,GRC,6.71,score,2018.0
61,Governance,Personal Freedom Score ,H1_Public information campaigns,Greece,GRC,8.04,score,2018.0
62,Environment,Fossil fuel energy consumption,H1_Public information campaigns,Greece,GRC,82.57464,percent of total,2015.0
63,Demographics,Fixed telephone subscriptions,H1_Public information campaigns,Greece,GRC,5001510.0,number,2019.0
64,Economics,Volume of exports,H1_Public information campaigns,Greece,GRC,5.416,percent change,2020.0
65,Governance,Fragile States Index Total ,H1_Public information campaigns,Greece,GRC,52.14869722028766,score,2020.0
68,Health,Prevalence of Diabetes,H1_Public information campaigns,Greece,GRC,0.094243,percent,2019.0
69,Governance,Control of corruption estimate,H1_Public information campaigns,Greece,GRC,-0.0118192,score,2019.0
71,Governance,Voice and accountability estimate,H1_Public information campaigns,Greece,GRC,0.9357267,score,2019.0
72,Governance,Rule of law estimate ,H1_Public information campaigns,Greece,GRC,0.198838,score,2019.0
73,Environment,CO2 emissions (metric tons per capita),H1_Public information campaigns,Greece,GRC,5.793848,metric tons per capita,2016.0
77,Environment,Electricity production from coal sources ,H1_Public information campaigns,Greece,GRC,42.65948824823434,percent of total,2015.0
78,Health,Prevalence of chronic kidney disease,H1_Public information campaigns,Greece,GRC,0.146722,percent,2019.0
79,Social issues ,Gini index (World Bank estimate),H1_Public information campaigns,Greece,GRC,34.4,index ,2017.0
80,Environment,Electricity production from nuclear sources ,H1_Public information campaigns,Greece,GRC,0.0,percent of total,2015.0
81,Environment,Energy use (kg of oil equivalent per capita),H1_Public information campaigns,Greece,GRC,2182.071093458824,kg of oil equivalent per capita,2015.0
94,Governance,Government effectiveness estimate,H1_Public information campaigns,Greece,GRC,0.4055903,score,2019.0
98,Environment,Energy use ,H1_Public information campaigns,Greece,GRC,77.78831330115128,"(kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)",2015.0
104,Environment,"Electricity production from renewable sources, excluding hydroelectric",H1_Public information campaigns,Greece,GRC,8752000000.0,kWh,2015.0
