rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,H1_Public information campaigns,Montenegro,MNE,73.4767,percent of population,2019.0
2,Demographics,Fixed telephone subscriptions,H1_Public information campaigns,Montenegro,MNE,188175.0,number,2019.0
3,Health,Prevalence of Respiratory infections and tuberculosis,H1_Public information campaigns,Montenegro,MNE,0.199356,percent,2019.0
4,Health,Prevalence of COVID-19,H1_Public information campaigns,Montenegro,MNE,43470.0,"Number (cumulative total by Dec 26,2020)",2020.0
5,Governance,Rule of law estimate ,H1_Public information campaigns,Montenegro,MNE,0.0957448,score,2019.0
6,Environment,Electricity production from oil sources,H1_Public information campaigns,Montenegro,MNE,0.0,percent of total,2015.0
7,Environment,Fossil fuel energy consumption,H1_Public information campaigns,Montenegro,MNE,64.6647,percent of total,2014.0
8,Health,Prevalence of chronic kidney disease,H1_Public information campaigns,Montenegro,MNE,0.123401,percent,2019.0
9,Governance,Human Freedom Score ,H1_Public information campaigns,Montenegro,MNE,7.46,score,2018.0
10,Environment,Energy use (kg of oil equivalent per capita),H1_Public information campaigns,Montenegro,MNE,1538.264099966228,kg of oil equivalent per capita,2014.0
11,Governance,Economic Freedom Score,H1_Public information campaigns,Montenegro,MNE,6.94,score,2018.0
12,Environment,"PM2.5 air pollution, mean annual exposure",H1_Public information campaigns,Montenegro,MNE,20.78181,micrograms per cubic meter,2017.0
13,Demographics,Fixed broadband subscriptions,H1_Public information campaigns,Montenegro,MNE,28.4689,per 100 people,2019.0
14,Health,"Prevalence of overweight (modeled estimate, % of children under 5)",H1_Public information campaigns,Montenegro,MNE,10.2,percent,2020.0
15,Health,"Incidence of tuberculosis (per 100,000 people)",H1_Public information campaigns,Montenegro,MNE,15.0,Cases,2019.0
17,Social issues ,Net migration,H1_Public information campaigns,Montenegro,MNE,-2400.0,net total / data are 5 year estimates,2019.0
18,Economics,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",H1_Public information campaigns,Montenegro,MNE,46.5569992,Percentage of females of the total population,2020.0
19,Governance,Corruption Perceptions Index,H1_Public information campaigns,Montenegro,MNE,45.0,score,2020.0
20,Environment,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value ",H1_Public information campaigns,Montenegro,MNE,100.0,percent of total,2017.0
21,Health,Prevalence of Diabetes,H1_Public information campaigns,Montenegro,MNE,0.107446,percent,2019.0
22,Environment,Electricity production from coal sources ,H1_Public information campaigns,Montenegro,MNE,50.34965034965035,percent of total,2015.0
23,Health,Prevalence of anxiety disorders,H1_Public information campaigns,Montenegro,MNE,0.042754,percent,2019.0
24,Environment,CO2 emissions (metric tons per capita),H1_Public information campaigns,Montenegro,MNE,3.240945,metric tons per capita,2016.0
25,Social issues ,Proportion of women in managerial positions (%),H1_Public information campaigns,Montenegro,MNE,28.77,percent,2018.0
26,Governance,Fragile States Index Total ,H1_Public information campaigns,Montenegro,MNE,55.46679468409825,score,2020.0
27,Governance,Aggregate score for the Political Rights category,H1_Public information campaigns,Montenegro,MNE,24.0,score,2021.0
28,Economics,Volume of exports,H1_Public information campaigns,Montenegro,MNE,2.735,percent change,2020.0
29,Environment,Electricity production from nuclear sources ,H1_Public information campaigns,Montenegro,MNE,0.0,percent of total,2014.0
30,Health,Prevalence of obesity,H1_Public information campaigns,Montenegro,MNE,23.3,percent,2016.0
31,Health,Summary exposure value tobacco,H1_Public information campaigns,Montenegro,MNE,42.78492,Rate (risk-weighted prevalence),2019.0
33,Health,"Prevalence of HIV, total (% of population ages 15-49)",H1_Public information campaigns,Montenegro,MNE,0.1,percent,2019.0
34,Governance,Voice and accountability estimate,H1_Public information campaigns,Montenegro,MNE,0.0266633,score,2019.0
35,Environment,CO2 emissions (kt),H1_Public information campaigns,Montenegro,MNE,2016.85,kt,2016.0
36,Economics,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",H1_Public information campaigns,Montenegro,MNE,54.4550018,Percentage of total population,2020.0
37,Social issues ,Gini index (World Bank estimate),H1_Public information campaigns,Montenegro,MNE,39.0,index ,2015.0
39,Health,"Prevalence of stunting, height for age (modeled estimate, % of children under 5)",H1_Public information campaigns,Montenegro,MNE,8.1,percent,2020.0
40,Social issues ,Proportion of seats held by women in national parliaments (%),H1_Public information campaigns,Montenegro,MNE,29.62962963,proportion,2020.0
41,Health,Prevalence of Depressive disorders,H1_Public information campaigns,Montenegro,MNE,0.035868,percent,2019.0
42,Governance,Political stability and absence of violence/terrorism estimate,H1_Public information campaigns,Montenegro,MNE,0.0106019,score,2019.0
44,Environment,"Energy imports, net ",H1_Public information campaigns,Montenegro,MNE,27.56913690214823,percent of energy use,2014.0
45,Demographics,Mobile cellular subscriptions,H1_Public information campaigns,Montenegro,MNE,183.284,per 100 people,2019.0
46,Social issues ,"Intentional homicides (per 100,000 people)",H1_Public information campaigns,Montenegro,MNE,2.2299989009,"proportion, pero 100,000 people",2018.0
47,Governance,Human Development Index,H1_Public information campaigns,Montenegro,MNE,0.829,index,2019.0
48,Governance,Total freedom in the world score ,H1_Public information campaigns,Montenegro,MNE,63.0,score,2021.0
49,Demographics,Secure Internet servers ,H1_Public information campaigns,Montenegro,MNE,691.1660936417542,per 1 million people,2019.0
50,Environment,Energy use ,H1_Public information campaigns,Montenegro,MNE,87.2772052661369,"(kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)",2014.0
51,Environment,Renewable energy consumption ,H1_Public information campaigns,Montenegro,MNE,43.004060548998,percent of total final energy consumption,2015.0
52,Governance,Control of corruption estimate,H1_Public information campaigns,Montenegro,MNE,-0.0301263,score,2019.0
53,Economics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",H1_Public information campaigns,Montenegro,MNE,14.7559996,percent of total labor force,2020.0
