rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,H1_Public information campaigns,Mozambique,MOZ,10.0,percent of population,2019.0
2,Demographics,Fixed telephone subscriptions,H1_Public information campaigns,Mozambique,MOZ,63006.0,number,2019.0
3,Health,Prevalence of Respiratory infections and tuberculosis,H1_Public information campaigns,Mozambique,MOZ,0.255452,percent,2019.0
4,Health,Prevalence of COVID-19,H1_Public information campaigns,Mozambique,MOZ,17256.0,"Number (cumulative total by Dec 26,2020)",2020.0
5,Governance,Rule of law estimate ,H1_Public information campaigns,Mozambique,MOZ,-1.020184,score,2019.0
6,Environment,Electricity production from oil sources,H1_Public information campaigns,Mozambique,MOZ,0.7633204439311003,percent of total,2015.0
7,Environment,Fossil fuel energy consumption,H1_Public information campaigns,Mozambique,MOZ,12.61995,percent of total,2014.0
8,Health,Prevalence of chronic kidney disease,H1_Public information campaigns,Mozambique,MOZ,0.032708,percent,2019.0
9,Governance,Human Freedom Score ,H1_Public information campaigns,Mozambique,MOZ,6.64,score,2018.0
10,Environment,Energy use (kg of oil equivalent per capita),H1_Public information campaigns,Mozambique,MOZ,442.665215155213,kg of oil equivalent per capita,2014.0
11,Governance,Economic Freedom Score,H1_Public information campaigns,Mozambique,MOZ,5.94,score,2018.0
12,Environment,"PM2.5 air pollution, mean annual exposure",H1_Public information campaigns,Mozambique,MOZ,21.2987,micrograms per cubic meter,2017.0
13,Demographics,Fixed broadband subscriptions,H1_Public information campaigns,Mozambique,MOZ,0.237252,per 100 people,2019.0
14,Health,"Prevalence of overweight (modeled estimate, % of children under 5)",H1_Public information campaigns,Mozambique,MOZ,6.0,percent,2020.0
15,Health,"Incidence of tuberculosis (per 100,000 people)",H1_Public information campaigns,Mozambique,MOZ,361.0,Cases,2019.0
17,Social issues ,Net migration,H1_Public information campaigns,Mozambique,MOZ,-25000.0,net total / data are 5 year estimates,2019.0
18,Economics,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",H1_Public information campaigns,Mozambique,MOZ,77.0540009,Percentage of females of the total population,2020.0
19,Governance,Corruption Perceptions Index,H1_Public information campaigns,Mozambique,MOZ,25.0,score,2020.0
20,Environment,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value ",H1_Public information campaigns,Mozambique,MOZ,100.0,percent of total,2017.0
21,Health,Prevalence of Diabetes,H1_Public information campaigns,Mozambique,MOZ,0.01906,percent,2019.0
22,Environment,Electricity production from coal sources ,H1_Public information campaigns,Mozambique,MOZ,0.0,percent of total,2015.0
23,Health,Prevalence of anxiety disorders,H1_Public information campaigns,Mozambique,MOZ,0.034565,percent,2019.0
24,Environment,CO2 emissions (metric tons per capita),H1_Public information campaigns,Mozambique,MOZ,0.285402,metric tons per capita,2016.0
25,Social issues ,Proportion of women in managerial positions (%),H1_Public information campaigns,Mozambique,MOZ,24.33,percent,2015.0
26,Governance,Fragile States Index Total ,H1_Public information campaigns,Mozambique,MOZ,91.69371296150742,score,2020.0
27,Governance,Aggregate score for the Political Rights category,H1_Public information campaigns,Mozambique,MOZ,14.0,score,2021.0
28,Economics,Volume of exports,H1_Public information campaigns,Mozambique,MOZ,8.237,percent change,2020.0
29,Environment,Electricity production from nuclear sources ,H1_Public information campaigns,Mozambique,MOZ,0.0,percent of total,2014.0
30,Health,Prevalence of obesity,H1_Public information campaigns,Mozambique,MOZ,7.2,percent,2016.0
31,Health,Summary exposure value tobacco,H1_Public information campaigns,Mozambique,MOZ,13.39622,Rate (risk-weighted prevalence),2019.0
33,Health,"Prevalence of HIV, total (% of population ages 15-49)",H1_Public information campaigns,Mozambique,MOZ,12.4,percent,2019.0
34,Governance,Voice and accountability estimate,H1_Public information campaigns,Mozambique,MOZ,-0.5082347,score,2019.0
35,Environment,CO2 emissions (kt),H1_Public information campaigns,Mozambique,MOZ,7942.722,kt,2016.0
36,Economics,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",H1_Public information campaigns,Mozambique,MOZ,77.9499969,Percentage of total population,2020.0
37,Social issues ,Gini index (World Bank estimate),H1_Public information campaigns,Mozambique,MOZ,54.0,index ,2014.0
39,Health,"Prevalence of stunting, height for age (modeled estimate, % of children under 5)",H1_Public information campaigns,Mozambique,MOZ,37.8,percent,2020.0
40,Social issues ,Proportion of seats held by women in national parliaments (%),H1_Public information campaigns,Mozambique,MOZ,42.4,proportion,2020.0
41,Health,Prevalence of Depressive disorders,H1_Public information campaigns,Mozambique,MOZ,0.034718,percent,2019.0
42,Governance,Political stability and absence of violence/terrorism estimate,H1_Public information campaigns,Mozambique,MOZ,-0.7454386,score,2019.0
44,Environment,"Energy imports, net ",H1_Public information campaigns,Mozambique,MOZ,-54.60162753943163,percent of energy use,2014.0
45,Demographics,Mobile cellular subscriptions,H1_Public information campaigns,Mozambique,MOZ,47.7158,per 100 people,2019.0
47,Governance,Human Development Index,H1_Public information campaigns,Mozambique,MOZ,0.456,index,2019.0
48,Governance,Total freedom in the world score ,H1_Public information campaigns,Mozambique,MOZ,43.0,score,2021.0
49,Demographics,Secure Internet servers ,H1_Public information campaigns,Mozambique,MOZ,20.51634266652388,per 1 million people,2019.0
50,Environment,Energy use ,H1_Public information campaigns,Mozambique,MOZ,363.7078102110269,"(kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)",2014.0
51,Environment,Renewable energy consumption ,H1_Public information campaigns,Mozambique,MOZ,86.4005089176123,percent of total final energy consumption,2015.0
52,Governance,Control of corruption estimate,H1_Public information campaigns,Mozambique,MOZ,-0.8010145,score,2019.0
53,Economics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",H1_Public information campaigns,Mozambique,MOZ,3.2420001,percent of total labor force,2020.0
54,Environment,Electric power consumption ,H1_Public information campaigns,Mozambique,MOZ,478.9211723293354,kWh per capita,2014.0
