rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,H1_Public information campaigns,Mauritania,MRT,20.801,percent of population,2019.0
2,Governance,Corruption Perceptions Index,H1_Public information campaigns,Mauritania,MRT,29.0,score,2020.0
3,Demographics,Secure Internet servers ,H1_Public information campaigns,Mauritania,MRT,7.291696128065165,per 1 million people,2019.0
4,Health,Prevalence of COVID-19,H1_Public information campaigns,Mauritania,MRT,10971.0,"Number (cumulative total by Dec 26,2020)",2020.0
6,Health,Mortality due to COVID-19,H1_Public information campaigns,Mauritania,MRT,225.0,"Number (cumulative total by Dec 26,2020)",2020.0
7,Health,Summary exposure value tobacco,H1_Public information campaigns,Mauritania,MRT,13.97411,Rate (risk-weighted prevalence),2019.0
8,Social issues ,Net migration,H1_Public information campaigns,Mauritania,MRT,25002.0,net total / data are 5 year estimates,2019.0
9,Health,"Physicians (per 1,000 people)",H1_Public information campaigns,Mauritania,MRT,0.1865,Ones,2018.0
10,Demographics,Mobile cellular subscriptions,H1_Public information campaigns,Mauritania,MRT,104.09,per 100 people,2019.0
11,Health,"Prevalence of overweight (modeled estimate, % of children under 5)",H1_Public information campaigns,Mauritania,MRT,2.7,percent,2020.0
12,Social issues ,Life Ladder ,H1_Public information campaigns,Mauritania,MRT,4.227399826049805,score,2021.0
13,Demographics,Fixed broadband subscriptions,H1_Public information campaigns,Mauritania,MRT,0.238969,per 100 people,2019.0
14,Economics,Volume of imports,H1_Public information campaigns,Mauritania,MRT,3.563,percent change,2020.0
17,Health,"Immunization, measles (% of children ages 12-23 months)",H1_Public information campaigns,Mauritania,MRT,78.0,percent,2019.0
18,Health,Prevalence of anxiety disorders,H1_Public information campaigns,Mauritania,MRT,0.027164,percent,2019.0
20,Economics,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",H1_Public information campaigns,Mauritania,MRT,28.8950005,Percentage of females of the total population,2020.0
21,Environment,CO2 emissions (kt),H1_Public information campaigns,Mauritania,MRT,2739.249,kt,2016.0
22,Health,"Incidence of tuberculosis (per 100,000 people)",H1_Public information campaigns,Mauritania,MRT,89.0,Cases,2019.0
23,Environment,Renewable energy consumption ,H1_Public information campaigns,Mauritania,MRT,32.1595724693392,percent of total final energy consumption,2015.0
24,Governance,Aggregate score for the Political Rights category,H1_Public information campaigns,Mauritania,MRT,14.0,score,2021.0
