rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,H1_Public information campaigns,New Caledonia,NCL,82.0058,percent of population,2019.0
3,Demographics,Secure Internet servers ,H1_Public information campaigns,New Caledonia,NCL,4617.790132036136,per 1 million people,2019.0
4,Health,Prevalence of COVID-19,H1_Public information campaigns,New Caledonia,NCL,37.0,"Number (cumulative total by Dec 26,2020)",2020.0
6,Health,Mortality due to COVID-19,H1_Public information campaigns,New Caledonia,NCL,0.0,"Number (cumulative total by Dec 26,2020)",2020.0
8,Social issues ,Net migration,H1_Public information campaigns,New Caledonia,NCL,2510.0,net total / data are 5 year estimates,2019.0
10,Demographics,Mobile cellular subscriptions,H1_Public information campaigns,New Caledonia,NCL,96.0201,per 100 people,2019.0
13,Demographics,Fixed broadband subscriptions,H1_Public information campaigns,New Caledonia,NCL,20.4272,per 100 people,2019.0
20,Economics,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",H1_Public information campaigns,New Caledonia,NCL,57.4630013,Percentage of females of the total population,2020.0
21,Environment,CO2 emissions (kt),H1_Public information campaigns,New Caledonia,NCL,5328.151,kt,2016.0
22,Health,"Incidence of tuberculosis (per 100,000 people)",H1_Public information campaigns,New Caledonia,NCL,9.4,Cases,2019.0
23,Environment,Renewable energy consumption ,H1_Public information campaigns,New Caledonia,NCL,4.75922121144079,percent of total final energy consumption,2015.0
28,Economics,Employment in services (% of total employment) (modeled ILO estimate),H1_Public information campaigns,New Caledonia,NCL,77.473999,Percentage of total employment,2020.0
32,Environment,Access to electricity ,H1_Public information campaigns,New Caledonia,NCL,100.0,percent of population,2018.0
49,Economics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",H1_Public information campaigns,New Caledonia,NCL,12.7810001,percent of total labor force,2020.0
54,Demographics,People using at least basic sanitation services (% of population),H1_Public information campaigns,New Caledonia,NCL,100.0,proportion,2017.0
57,Demographics,Urban population (% of total population),H1_Public information campaigns,New Caledonia,NCL,71.104,total,2019.0
63,Demographics,Fixed telephone subscriptions,H1_Public information campaigns,New Caledonia,NCL,77719.0,number,2019.0
66,Economics,"Output per worker (GDP constant 2011 international $ in PPP -- ILO modelled estimates, Nov. 2019",H1_Public information campaigns,New Caledonia,NCL,135018.7,international $ in PPP,2020.0
73,Environment,CO2 emissions (metric tons per capita),H1_Public information campaigns,New Caledonia,NCL,19.2665,metric tons per capita,2016.0
85,Demographics,Rural population (% of total population),H1_Public information campaigns,New Caledonia,NCL,28.896,proportion,2019.0
87,Demographics,"Age dependency ratio, old (% of working-age population)",H1_Public information campaigns,New Caledonia,NCL,13.83442543535351,proportion,2019.0
90,Demographics,Age dependency ratio (% of working-age population),H1_Public information campaigns,New Caledonia,NCL,46.75811427551567,proportion,2019.0
100,Social issues ,"Literacy rate, adult total (% of people ages 15 and above)",H1_Public information campaigns,New Caledonia,NCL,97.8000030517578,proportion,2014.0
101,Demographics,People using safely managed drinking water services (% of population),H1_Public information campaigns,New Caledonia,NCL,96.660852173958,proportion,2017.0
103,Demographics,"Population, total",H1_Public information campaigns,New Caledonia,NCL,287800.0,total,2019.0
105,Economics,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",H1_Public information campaigns,New Caledonia,NCL,62.8320007,Percentage of total population,2020.0
