rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,H1_Public information campaigns,Philippines,PHL,43.0266,percent of population,2019.0
2,Demographics,Fixed telephone subscriptions,H1_Public information campaigns,Philippines,PHL,4165210.0,number,2019.0
3,Health,Prevalence of Respiratory infections and tuberculosis,H1_Public information campaigns,Philippines,PHL,0.42233,percent,2019.0
4,Health,Prevalence of COVID-19,H1_Public information campaigns,Philippines,PHL,456562.0,"Number (cumulative total by Dec 26,2020)",2020.0
5,Governance,Rule of law estimate ,H1_Public information campaigns,Philippines,PHL,-0.4773007,score,2019.0
6,Environment,Electricity production from oil sources,H1_Public information campaigns,Philippines,PHL,7.14207709948673,percent of total,2015.0
7,Environment,Fossil fuel energy consumption,H1_Public information campaigns,Philippines,PHL,62.4349,percent of total,2014.0
8,Health,Prevalence of chronic kidney disease,H1_Public information campaigns,Philippines,PHL,0.095396,percent,2019.0
9,Governance,Human Freedom Score ,H1_Public information campaigns,Philippines,PHL,6.9,score,2018.0
10,Environment,Energy use (kg of oil equivalent per capita),H1_Public information campaigns,Philippines,PHL,474.2978773580823,kg of oil equivalent per capita,2014.0
11,Governance,Economic Freedom Score,H1_Public information campaigns,Philippines,PHL,7.43,score,2018.0
12,Environment,"PM2.5 air pollution, mean annual exposure",H1_Public information campaigns,Philippines,PHL,18.0698,micrograms per cubic meter,2017.0
13,Demographics,Fixed broadband subscriptions,H1_Public information campaigns,Philippines,PHL,3.86511,per 100 people,2019.0
14,Health,"Prevalence of overweight (modeled estimate, % of children under 5)",H1_Public information campaigns,Philippines,PHL,4.2,percent,2020.0
15,Health,"Incidence of tuberculosis (per 100,000 people)",H1_Public information campaigns,Philippines,PHL,554.0,Cases,2019.0
16,Economics,"Central government debt, total",H1_Public information campaigns,Philippines,PHL,43.42633894146199,percent of GDP,2014.0
17,Social issues ,Net migration,H1_Public information campaigns,Philippines,PHL,-335758.0,net total / data are 5 year estimates,2019.0
18,Economics,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",H1_Public information campaigns,Philippines,PHL,46.1949997,Percentage of females of the total population,2020.0
19,Governance,Corruption Perceptions Index,H1_Public information campaigns,Philippines,PHL,34.0,score,2020.0
20,Environment,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value ",H1_Public information campaigns,Philippines,PHL,96.3706587650922,percent of total,2017.0
21,Health,Prevalence of Diabetes,H1_Public information campaigns,Philippines,PHL,0.035018,percent,2019.0
22,Environment,Electricity production from coal sources ,H1_Public information campaigns,Philippines,PHL,44.51482169075267,percent of total,2015.0
23,Health,Prevalence of anxiety disorders,H1_Public information campaigns,Philippines,PHL,0.045941,percent,2019.0
24,Environment,CO2 emissions (metric tons per capita),H1_Public information campaigns,Philippines,PHL,1.17965,metric tons per capita,2016.0
25,Social issues ,Proportion of women in managerial positions (%),H1_Public information campaigns,Philippines,PHL,52.65,percent,2018.0
26,Governance,Fragile States Index Total ,H1_Public information campaigns,Philippines,PHL,80.99999999999999,score,2020.0
27,Governance,Aggregate score for the Political Rights category,H1_Public information campaigns,Philippines,PHL,25.0,score,2021.0
28,Economics,Volume of exports,H1_Public information campaigns,Philippines,PHL,12.573,percent change,2020.0
29,Environment,Electricity production from nuclear sources ,H1_Public information campaigns,Philippines,PHL,0.0,percent of total,2014.0
30,Health,Prevalence of obesity,H1_Public information campaigns,Philippines,PHL,6.4,percent,2016.0
31,Health,Summary exposure value tobacco,H1_Public information campaigns,Philippines,PHL,30.19209,Rate (risk-weighted prevalence),2019.0
32,Social issues ,"Primary completion rate, total (% of relevant age group)",H1_Public information campaigns,Philippines,PHL,115.436897277832,proportion,2018.0
33,Health,"Prevalence of HIV, total (% of population ages 15-49)",H1_Public information campaigns,Philippines,PHL,0.2,percent,2019.0
34,Governance,Voice and accountability estimate,H1_Public information campaigns,Philippines,PHL,0.0301842,score,2019.0
35,Environment,CO2 emissions (kt),H1_Public information campaigns,Philippines,PHL,122287.1,kt,2016.0
36,Economics,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",H1_Public information campaigns,Philippines,PHL,59.6549988,Percentage of total population,2020.0
37,Social issues ,Gini index (World Bank estimate),H1_Public information campaigns,Philippines,PHL,44.4,index ,2015.0
38,Economics,"Foreign direct investment, net",H1_Public information campaigns,Philippines,PHL,7647487630.0,US Dollar,2019.0
39,Health,"Prevalence of stunting, height for age (modeled estimate, % of children under 5)",H1_Public information campaigns,Philippines,PHL,28.7,percent,2020.0
40,Social issues ,Proportion of seats held by women in national parliaments (%),H1_Public information campaigns,Philippines,PHL,27.96052632,proportion,2020.0
41,Health,Prevalence of Depressive disorders,H1_Public information campaigns,Philippines,PHL,0.026865,percent,2019.0
42,Governance,Political stability and absence of violence/terrorism estimate,H1_Public information campaigns,Philippines,PHL,-0.8849657,score,2019.0
43,Demographics,Rural population (% of total population),H1_Public information campaigns,Philippines,PHL,52.851,proportion,2019.0
44,Environment,"Energy imports, net ",H1_Public information campaigns,Philippines,PHL,45.76800308299209,percent of energy use,2014.0
45,Demographics,Mobile cellular subscriptions,H1_Public information campaigns,Philippines,PHL,154.761,per 100 people,2019.0
46,Social issues ,"Intentional homicides (per 100,000 people)",H1_Public information campaigns,Philippines,PHL,6.4649881651,"proportion, pero 100,000 people",2018.0
47,Governance,Human Development Index,H1_Public information campaigns,Philippines,PHL,0.718,index,2019.0
48,Governance,Total freedom in the world score ,H1_Public information campaigns,Philippines,PHL,56.0,score,2021.0
49,Demographics,Secure Internet servers ,H1_Public information campaigns,Philippines,PHL,111.3149907625206,per 1 million people,2019.0
50,Environment,Energy use ,H1_Public information campaigns,Philippines,PHL,68.01296830065644,"(kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)",2014.0
51,Environment,Renewable energy consumption ,H1_Public information campaigns,Philippines,PHL,27.4515444500126,percent of total final energy consumption,2015.0
52,Governance,Control of corruption estimate,H1_Public information campaigns,Philippines,PHL,-0.5733455,score,2019.0
53,Economics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",H1_Public information campaigns,Philippines,PHL,2.16400003,percent of total labor force,2020.0
54,Environment,Electric power consumption ,H1_Public information campaigns,Philippines,PHL,696.346780059737,kWh per capita,2014.0
55,Social issues ,Life Ladder ,H1_Public information campaigns,Philippines,PHL,5.880199909210205,score,2021.0
56,Health,Prevalence of total cancers,H1_Public information campaigns,Philippines,PHL,0.00479,percent,2019.0
57,Health,"Immunization, DPT (% of children ages 12-23 months)",H1_Public information campaigns,Philippines,PHL,65.0,percent,2019.0
58,Social issues ,Coverage of social safety net programs (% of population),H1_Public information campaigns,Philippines,PHL,33.8304086704276,proportion,2015.0
