rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,H1_Public information campaigns,San Marino,SMR,60.1823,percent of population,2019.0
3,Demographics,Secure Internet servers ,H1_Public information campaigns,San Marino,SMR,74748.96633195512,per 1 million people,2019.0
4,Health,Prevalence of COVID-19,H1_Public information campaigns,San Marino,SMR,2049.0,"Number (cumulative total by Dec 26,2020)",2020.0
6,Health,Mortality due to COVID-19,H1_Public information campaigns,San Marino,SMR,55.0,"Number (cumulative total by Dec 26,2020)",2020.0
7,Health,Summary exposure value tobacco,H1_Public information campaigns,San Marino,SMR,26.05573,Rate (risk-weighted prevalence),2019.0
9,Health,"Physicians (per 1,000 people)",H1_Public information campaigns,San Marino,SMR,6.1094,Ones,2014.0
10,Demographics,Mobile cellular subscriptions,H1_Public information campaigns,San Marino,SMR,114.442,per 100 people,2019.0
13,Demographics,Fixed broadband subscriptions,H1_Public information campaigns,San Marino,SMR,32.7259,per 100 people,2019.0
17,Health,"Immunization, measles (% of children ages 12-23 months)",H1_Public information campaigns,San Marino,SMR,86.0,percent,2019.0
18,Health,Prevalence of anxiety disorders,H1_Public information campaigns,San Marino,SMR,0.061849,percent,2019.0
19,Economics,"Central government debt, total",H1_Public information campaigns,San Marino,SMR,57.32808753341675,percent of GDP,2016.0
22,Health,"Incidence of tuberculosis (per 100,000 people)",H1_Public information campaigns,San Marino,SMR,0.0,Cases,2019.0
24,Governance,Aggregate score for the Political Rights category,H1_Public information campaigns,San Marino,SMR,38.0,score,2021.0
25,Health,"Nurses and midwives (per 1,000 people)",H1_Public information campaigns,San Marino,SMR,8.2067,Ones,2014.0
32,Environment,Access to electricity ,H1_Public information campaigns,San Marino,SMR,100.0,percent of population,2018.0
34,Health,Prevalence of down syndrome,H1_Public information campaigns,San Marino,SMR,0.000644,percent,2019.0
39,Health,"Immunization, DPT (% of children ages 12-23 months)",H1_Public information campaigns,San Marino,SMR,88.0,percent,2019.0
40,Health,Prevalence of Respiratory infections and tuberculosis,H1_Public information campaigns,San Marino,SMR,0.116937,percent,2019.0
46,Social issues ,Proportion of seats held by women in national parliaments (%),H1_Public information campaigns,San Marino,SMR,33.33333333,proportion,2020.0
47,Governance,Aggregate score for the Civil Liberties category,H1_Public information campaigns,San Marino,SMR,55.0,score,2021.0
48,Health,Prevalence of Hypertensive heart disease,H1_Public information campaigns,San Marino,SMR,0.00248,percent,2019.0
50,Health,Prevalence of Depressive disorders,H1_Public information campaigns,San Marino,SMR,0.050924,percent,2019.0
52,Governance,Total freedom in the world score ,H1_Public information campaigns,San Marino,SMR,93.0,score,2021.0
55,Governance,Political stability and absence of violence/terrorism estimate,H1_Public information campaigns,San Marino,SMR,0.8996959,score,2019.0
59,Health,Prevalence of total cancers,H1_Public information campaigns,San Marino,SMR,0.043592,percent,2019.0
63,Demographics,Fixed telephone subscriptions,H1_Public information campaigns,San Marino,SMR,16000.0,number,2019.0
68,Health,Prevalence of Diabetes,H1_Public information campaigns,San Marino,SMR,0.086259,percent,2019.0
71,Governance,Voice and accountability estimate,H1_Public information campaigns,San Marino,SMR,1.193083,score,2019.0
78,Health,Prevalence of chronic kidney disease,H1_Public information campaigns,San Marino,SMR,0.096163,percent,2019.0
109,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),H1_Public information campaigns,San Marino,SMR,6.0,percent,2018.0
