rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,H1_Public information campaigns,Suriname,SUR,48.9452,percent of population,2019.0
2,Governance,Corruption Perceptions Index,H1_Public information campaigns,Suriname,SUR,38.0,score,2020.0
3,Demographics,Secure Internet servers ,H1_Public information campaigns,Suriname,SUR,526.3492860742772,per 1 million people,2019.0
4,Health,Prevalence of COVID-19,H1_Public information campaigns,Suriname,SUR,5428.0,"Number (cumulative total by Dec 26,2020)",2020.0
6,Health,Mortality due to COVID-19,H1_Public information campaigns,Suriname,SUR,117.0,"Number (cumulative total by Dec 26,2020)",2020.0
7,Health,Summary exposure value tobacco,H1_Public information campaigns,Suriname,SUR,23.97458,Rate (risk-weighted prevalence),2019.0
8,Social issues ,Net migration,H1_Public information campaigns,Suriname,SUR,-4999.0,net total / data are 5 year estimates,2019.0
9,Health,"Physicians (per 1,000 people)",H1_Public information campaigns,Suriname,SUR,1.2101,Ones,2018.0
10,Demographics,Mobile cellular subscriptions,H1_Public information campaigns,Suriname,SUR,139.987,per 100 people,2019.0
11,Health,"Prevalence of overweight (modeled estimate, % of children under 5)",H1_Public information campaigns,Suriname,SUR,4.0,percent,2020.0
13,Demographics,Fixed broadband subscriptions,H1_Public information campaigns,Suriname,SUR,13.8156,per 100 people,2019.0
14,Economics,Volume of imports,H1_Public information campaigns,Suriname,SUR,3.288,percent change,2020.0
15,Environment,Electric power consumption ,H1_Public information campaigns,Suriname,SUR,3596.745216690344,kWh per capita,2014.0
16,Governance,Serious assault (rate),H1_Public information campaigns,Suriname,SUR,63.1,rate,2017.0
17,Health,"Immunization, measles (% of children ages 12-23 months)",H1_Public information campaigns,Suriname,SUR,64.0,percent,2019.0
18,Health,Prevalence of anxiety disorders,H1_Public information campaigns,Suriname,SUR,0.044546,percent,2019.0
20,Economics,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",H1_Public information campaigns,Suriname,SUR,38.8069992,Percentage of females of the total population,2020.0
21,Environment,CO2 emissions (kt),H1_Public information campaigns,Suriname,SUR,1738.158,kt,2016.0
22,Health,"Incidence of tuberculosis (per 100,000 people)",H1_Public information campaigns,Suriname,SUR,29.0,Cases,2019.0
23,Environment,Renewable energy consumption ,H1_Public information campaigns,Suriname,SUR,24.9131103610308,percent of total final energy consumption,2015.0
24,Governance,Aggregate score for the Political Rights category,H1_Public information campaigns,Suriname,SUR,34.0,score,2021.0
25,Health,"Nurses and midwives (per 1,000 people)",H1_Public information campaigns,Suriname,SUR,2.7569,Ones,2018.0
26,Health,"Prevalence of HIV, total (% of population ages 15-49)",H1_Public information campaigns,Suriname,SUR,1.3,percent,2019.0
28,Economics,Employment in services (% of total employment) (modeled ILO estimate),H1_Public information campaigns,Suriname,SUR,69.0680008,Percentage of total employment,2020.0
29,Environment,"PM2.5 air pollution, mean annual exposure",H1_Public information campaigns,Suriname,SUR,24.78001,micrograms per cubic meter,2017.0
30,Environment,Electricity production from oil sources,H1_Public information campaigns,Suriname,SUR,39.94685562444641,percent of total,2015.0
31,Governance,Human Freedom Score ,H1_Public information campaigns,Suriname,SUR,7.31,score,2018.0
32,Environment,Access to electricity ,H1_Public information campaigns,Suriname,SUR,97.4,percent of population,2018.0
33,Social issues ,Proportion of women in managerial positions (%),H1_Public information campaigns,Suriname,SUR,37.27,percent,2015.0
34,Health,Prevalence of down syndrome,H1_Public information campaigns,Suriname,SUR,0.000312,percent,2019.0
35,Environment,"Energy imports, net ",H1_Public information campaigns,Suriname,SUR,-43.75983538856124,percent of energy use,2014.0
36,Environment,"Electricity production from oil, gas and coal sources",H1_Public information campaigns,Suriname,SUR,39.94685562444641,percent of total,2015.0
37,Environment,Combustible renewables and waste,H1_Public information campaigns,Suriname,SUR,6.917738,percent of total energy,2014.0
38,Governance,Regulatory quality estimate,H1_Public information campaigns,Suriname,SUR,-0.6795514,score,2019.0
39,Health,"Immunization, DPT (% of children ages 12-23 months)",H1_Public information campaigns,Suriname,SUR,77.0,percent,2019.0
40,Health,Prevalence of Respiratory infections and tuberculosis,H1_Public information campaigns,Suriname,SUR,0.299624,percent,2019.0
43,Environment,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value ",H1_Public information campaigns,Suriname,SUR,100.0,percent of total,2017.0
44,Social issues ,"Primary completion rate, total (% of relevant age group)",H1_Public information campaigns,Suriname,SUR,85.8640823364258,proportion,2019.0
45,Social issues ,Press freedom score,H1_Public information campaigns,Suriname,SUR,17.5,score,2020.0
46,Social issues ,Proportion of seats held by women in national parliaments (%),H1_Public information campaigns,Suriname,SUR,29.41176471,proportion,2020.0
47,Governance,Aggregate score for the Civil Liberties category,H1_Public information campaigns,Suriname,SUR,45.0,score,2021.0
48,Health,Prevalence of Hypertensive heart disease,H1_Public information campaigns,Suriname,SUR,0.002653,percent,2019.0
49,Economics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",H1_Public information campaigns,Suriname,SUR,7.47200012,percent of total labor force,2020.0
50,Health,Prevalence of Depressive disorders,H1_Public information campaigns,Suriname,SUR,0.050958,percent,2019.0
51,Governance,Human Development Index,H1_Public information campaigns,Suriname,SUR,0.738,index,2019.0
52,Governance,Total freedom in the world score ,H1_Public information campaigns,Suriname,SUR,79.0,score,2021.0
53,Health,Prevalence of obesity,H1_Public information campaigns,Suriname,SUR,8.6,percent,2016.0
54,Demographics,People using at least basic sanitation services (% of population),H1_Public information campaigns,Suriname,SUR,84.4575831711356,proportion,2017.0
55,Governance,Political stability and absence of violence/terrorism estimate,H1_Public information campaigns,Suriname,SUR,0.1134033,score,2019.0
56,Health,"Prevalence of stunting, height for age (modeled estimate, % of children under 5)",H1_Public information campaigns,Suriname,SUR,8.0,percent,2020.0
57,Demographics,Urban population (% of total population),H1_Public information campaigns,Suriname,SUR,66.095,total,2019.0
59,Health,Prevalence of total cancers,H1_Public information campaigns,Suriname,SUR,0.007681,percent,2019.0
60,Governance,Economic Freedom Score,H1_Public information campaigns,Suriname,SUR,6.37,score,2018.0
61,Governance,Personal Freedom Score ,H1_Public information campaigns,Suriname,SUR,8.24,score,2018.0
62,Environment,Fossil fuel energy consumption,H1_Public information campaigns,Suriname,SUR,76.2535,percent of total,2014.0
63,Demographics,Fixed telephone subscriptions,H1_Public information campaigns,Suriname,SUR,92756.0,number,2019.0
64,Economics,Volume of exports,H1_Public information campaigns,Suriname,SUR,2.296,percent change,2020.0
65,Governance,Fragile States Index Total ,H1_Public information campaigns,Suriname,SUR,60.12230683109472,score,2020.0
67,Demographics,Refugee population by country or territory of asylum,H1_Public information campaigns,Suriname,SUR,44.0,proportion,2019.0
68,Health,Prevalence of Diabetes,H1_Public information campaigns,Suriname,SUR,0.117576,percent,2019.0
69,Governance,Control of corruption estimate,H1_Public information campaigns,Suriname,SUR,-0.3932373,score,2019.0
71,Governance,Voice and accountability estimate,H1_Public information campaigns,Suriname,SUR,0.3897825,score,2019.0
72,Governance,Rule of law estimate ,H1_Public information campaigns,Suriname,SUR,-0.0596512,score,2019.0
73,Environment,CO2 emissions (metric tons per capita),H1_Public information campaigns,Suriname,SUR,3.077023,metric tons per capita,2016.0
74,Demographics,People with basic handwashing facilities including soap and water (% of population),H1_Public information campaigns,Suriname,SUR,67.7789706544644,proportion,2014.0
77,Environment,Electricity production from coal sources ,H1_Public information campaigns,Suriname,SUR,0.0,percent of total,2015.0
78,Health,Prevalence of chronic kidney disease,H1_Public information campaigns,Suriname,SUR,0.097263,percent,2019.0
