rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,H1_Public information campaigns,Slovenia,SVN,83.1084,percent of population,2019.0
2,Demographics,Fixed telephone subscriptions,H1_Public information campaigns,Slovenia,SVN,707059.0,number,2019.0
3,Health,Prevalence of Respiratory infections and tuberculosis,H1_Public information campaigns,Slovenia,SVN,0.169314,percent,2019.0
4,Health,Prevalence of COVID-19,H1_Public information campaigns,Slovenia,SVN,103555.0,"Number (cumulative total by Dec 26,2020)",2020.0
5,Governance,Rule of law estimate ,H1_Public information campaigns,Slovenia,SVN,1.118421,score,2019.0
6,Environment,Electricity production from oil sources,H1_Public information campaigns,Slovenia,SVN,0.1147330768711615,percent of total,2015.0
7,Environment,Fossil fuel energy consumption,H1_Public information campaigns,Slovenia,SVN,61.1142,percent of total,2015.0
8,Health,Prevalence of chronic kidney disease,H1_Public information campaigns,Slovenia,SVN,0.130245,percent,2019.0
9,Governance,Human Freedom Score ,H1_Public information campaigns,Slovenia,SVN,8.05,score,2018.0
10,Environment,Energy use (kg of oil equivalent per capita),H1_Public information campaigns,Slovenia,SVN,3174.872584904225,kg of oil equivalent per capita,2015.0
11,Governance,Economic Freedom Score,H1_Public information campaigns,Slovenia,SVN,7.33,score,2018.0
12,Environment,"PM2.5 air pollution, mean annual exposure",H1_Public information campaigns,Slovenia,SVN,16.02398,micrograms per cubic meter,2017.0
13,Demographics,Fixed broadband subscriptions,H1_Public information campaigns,Slovenia,SVN,30.2088,per 100 people,2019.0
15,Health,"Incidence of tuberculosis (per 100,000 people)",H1_Public information campaigns,Slovenia,SVN,5.4,Cases,2019.0
17,Social issues ,Net migration,H1_Public information campaigns,Slovenia,SVN,9999.0,net total / data are 5 year estimates,2019.0
18,Economics,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",H1_Public information campaigns,Slovenia,SVN,52.9599991,Percentage of females of the total population,2020.0
19,Governance,Corruption Perceptions Index,H1_Public information campaigns,Slovenia,SVN,60.0,score,2020.0
20,Environment,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value ",H1_Public information campaigns,Slovenia,SVN,99.4910252834569,percent of total,2017.0
21,Health,Prevalence of Diabetes,H1_Public information campaigns,Slovenia,SVN,0.089385,percent,2019.0
22,Environment,Electricity production from coal sources ,H1_Public information campaigns,Slovenia,SVN,29.59438482823784,percent of total,2015.0
23,Health,Prevalence of anxiety disorders,H1_Public information campaigns,Slovenia,SVN,0.040104,percent,2019.0
24,Environment,CO2 emissions (metric tons per capita),H1_Public information campaigns,Slovenia,SVN,6.117462,metric tons per capita,2016.0
25,Social issues ,Proportion of women in managerial positions (%),H1_Public information campaigns,Slovenia,SVN,38.55,percent,2018.0
26,Governance,Fragile States Index Total ,H1_Public information campaigns,Slovenia,SVN,25.84648022438141,score,2020.0
