rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,H1_Public information campaigns,Turkmenistan,TKM,21.251,percent of population,2019.0
2,Governance,Corruption Perceptions Index,H1_Public information campaigns,Turkmenistan,TKM,19.0,score,2020.0
3,Demographics,Secure Internet servers ,H1_Public information campaigns,Turkmenistan,TKM,20.02662699935999,per 1 million people,2019.0
4,Health,Prevalence of COVID-19,H1_Public information campaigns,Turkmenistan,TKM,0.0,"Number (cumulative total by Dec 26,2020)",2020.0
6,Health,Mortality due to COVID-19,H1_Public information campaigns,Turkmenistan,TKM,0.0,"Number (cumulative total by Dec 26,2020)",2020.0
7,Health,Summary exposure value tobacco,H1_Public information campaigns,Turkmenistan,TKM,36.7436,Rate (risk-weighted prevalence),2019.0
8,Social issues ,Net migration,H1_Public information campaigns,Turkmenistan,TKM,-25001.0,net total / data are 5 year estimates,2019.0
9,Health,"Physicians (per 1,000 people)",H1_Public information campaigns,Turkmenistan,TKM,2.2247,Ones,2014.0
10,Demographics,Mobile cellular subscriptions,H1_Public information campaigns,Turkmenistan,TKM,162.861,per 100 people,2019.0
11,Health,"Prevalence of overweight (modeled estimate, % of children under 5)",H1_Public information campaigns,Turkmenistan,TKM,3.8,percent,2020.0
12,Social issues ,Life Ladder ,H1_Public information campaigns,Turkmenistan,TKM,5.066400051116943,score,2021.0
13,Demographics,Fixed broadband subscriptions,H1_Public information campaigns,Turkmenistan,TKM,0.0868407,per 100 people,2019.0
14,Economics,Volume of imports,H1_Public information campaigns,Turkmenistan,TKM,13.399,percent change,2020.0
15,Environment,Electric power consumption ,H1_Public information campaigns,Turkmenistan,TKM,2678.763513642065,kWh per capita,2014.0
17,Health,"Immunization, measles (% of children ages 12-23 months)",H1_Public information campaigns,Turkmenistan,TKM,99.0,percent,2019.0
18,Health,Prevalence of anxiety disorders,H1_Public information campaigns,Turkmenistan,TKM,0.024608,percent,2019.0
20,Economics,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",H1_Public information campaigns,Turkmenistan,TKM,51.25,Percentage of females of the total population,2020.0
