rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,H1_Public information campaigns,Tanzania,TZA,25.0,percent of population,2019.0
2,Demographics,Fixed telephone subscriptions,H1_Public information campaigns,Tanzania,TZA,76288.0,number,2019.0
3,Health,Prevalence of Respiratory infections and tuberculosis,H1_Public information campaigns,Tanzania,TZA,0.180167,percent,2019.0
4,Health,Prevalence of COVID-19,H1_Public information campaigns,Tanzania,TZA,509.0,"Number (cumulative total by Dec 26,2020)",2020.0
5,Governance,Rule of law estimate ,H1_Public information campaigns,Tanzania,TZA,-0.5779313,score,2019.0
6,Environment,Electricity production from oil sources,H1_Public information campaigns,Tanzania,TZA,21.93804606830818,percent of total,2015.0
7,Environment,Fossil fuel energy consumption,H1_Public information campaigns,Tanzania,TZA,14.38062,percent of total,2014.0
8,Health,Prevalence of chronic kidney disease,H1_Public information campaigns,Tanzania,TZA,0.036268,percent,2019.0
9,Governance,Human Freedom Score ,H1_Public information campaigns,Tanzania,TZA,6.28,score,2018.0
10,Environment,Energy use (kg of oil equivalent per capita),H1_Public information campaigns,Tanzania,TZA,497.0767309779447,kg of oil equivalent per capita,2014.0
11,Governance,Economic Freedom Score,H1_Public information campaigns,Tanzania,TZA,6.73,score,2018.0
12,Environment,"PM2.5 air pollution, mean annual exposure",H1_Public information campaigns,Tanzania,TZA,29.07664,micrograms per cubic meter,2017.0
13,Demographics,Fixed broadband subscriptions,H1_Public information campaigns,Tanzania,TZA,1.78029,per 100 people,2019.0
14,Health,"Prevalence of overweight (modeled estimate, % of children under 5)",H1_Public information campaigns,Tanzania,TZA,5.5,percent,2020.0
15,Health,"Incidence of tuberculosis (per 100,000 people)",H1_Public information campaigns,Tanzania,TZA,237.0,Cases,2019.0
17,Social issues ,Net migration,H1_Public information campaigns,Tanzania,TZA,-200381.0,net total / data are 5 year estimates,2019.0
18,Economics,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",H1_Public information campaigns,Tanzania,TZA,79.3809967,Percentage of females of the total population,2020.0
19,Governance,Corruption Perceptions Index,H1_Public information campaigns,Tanzania,TZA,38.0,score,2020.0
20,Environment,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value ",H1_Public information campaigns,Tanzania,TZA,100.0,percent of total,2017.0
21,Health,Prevalence of Diabetes,H1_Public information campaigns,Tanzania,TZA,0.016779,percent,2019.0
22,Environment,Electricity production from coal sources ,H1_Public information campaigns,Tanzania,TZA,0.0,percent of total,2015.0
23,Health,Prevalence of anxiety disorders,H1_Public information campaigns,Tanzania,TZA,0.034264,percent,2019.0
24,Environment,CO2 emissions (metric tons per capita),H1_Public information campaigns,Tanzania,TZA,0.225685,metric tons per capita,2016.0
25,Social issues ,Proportion of women in managerial positions (%),H1_Public information campaigns,Tanzania,TZA,23.26,percent,2014.0
26,Governance,Fragile States Index Total ,H1_Public information campaigns,Tanzania,TZA,78.14413662466475,score,2020.0
27,Governance,Aggregate score for the Political Rights category,H1_Public information campaigns,Tanzania,TZA,12.0,score,2021.0
28,Economics,Volume of exports,H1_Public information campaigns,Tanzania,TZA,5.734,percent change,2020.0
29,Environment,Electricity production from nuclear sources ,H1_Public information campaigns,Tanzania,TZA,0.0,percent of total,2014.0
30,Health,Prevalence of obesity,H1_Public information campaigns,Tanzania,TZA,8.4,percent,2016.0
31,Health,Summary exposure value tobacco,H1_Public information campaigns,Tanzania,TZA,18.7767,Rate (risk-weighted prevalence),2019.0
33,Health,"Prevalence of HIV, total (% of population ages 15-49)",H1_Public information campaigns,Tanzania,TZA,4.8,percent,2019.0
34,Governance,Voice and accountability estimate,H1_Public information campaigns,Tanzania,TZA,-0.503791,score,2019.0
35,Environment,CO2 emissions (kt),H1_Public information campaigns,Tanzania,TZA,11972.76,kt,2016.0
36,Economics,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",H1_Public information campaigns,Tanzania,TZA,83.2720032,Percentage of total population,2020.0
37,Social issues ,Gini index (World Bank estimate),H1_Public information campaigns,Tanzania,TZA,40.5,index ,2017.0
39,Health,"Prevalence of stunting, height for age (modeled estimate, % of children under 5)",H1_Public information campaigns,Tanzania,TZA,32.0,percent,2020.0
40,Social issues ,Proportion of seats held by women in national parliaments (%),H1_Public information campaigns,Tanzania,TZA,36.8956743,proportion,2020.0
41,Health,Prevalence of Depressive disorders,H1_Public information campaigns,Tanzania,TZA,0.03517,percent,2019.0
42,Governance,Political stability and absence of violence/terrorism estimate,H1_Public information campaigns,Tanzania,TZA,-0.3620471,score,2019.0
44,Environment,"Energy imports, net ",H1_Public information campaigns,Tanzania,TZA,10.72806025159597,percent of energy use,2014.0
45,Demographics,Mobile cellular subscriptions,H1_Public information campaigns,Tanzania,TZA,82.2082,per 100 people,2019.0
46,Social issues ,"Intentional homicides (per 100,000 people)",H1_Public information campaigns,Tanzania,TZA,6.4826575903,"proportion, pero 100,000 people",2016.0
47,Governance,Human Development Index,H1_Public information campaigns,Tanzania,TZA,0.529,index,2019.0
48,Governance,Total freedom in the world score ,H1_Public information campaigns,Tanzania,TZA,34.0,score,2021.0
49,Demographics,Secure Internet servers ,H1_Public information campaigns,Tanzania,TZA,39.09976548243396,per 1 million people,2019.0
50,Environment,Energy use ,H1_Public information campaigns,Tanzania,TZA,224.0635886997969,"(kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)",2014.0
51,Environment,Renewable energy consumption ,H1_Public information campaigns,Tanzania,TZA,85.7130419384343,percent of total final energy consumption,2015.0
52,Governance,Control of corruption estimate,H1_Public information campaigns,Tanzania,TZA,-0.3908709,score,2019.0
53,Economics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",H1_Public information campaigns,Tanzania,TZA,1.98099995,percent of total labor force,2020.0
54,Environment,Electric power consumption ,H1_Public information campaigns,Tanzania,TZA,103.6833157652163,kWh per capita,2014.0
55,Social issues ,Life Ladder ,H1_Public information campaigns,Tanzania,TZA,3.623199939727783,score,2021.0
56,Health,Prevalence of total cancers,H1_Public information campaigns,Tanzania,TZA,0.002681,percent,2019.0
57,Health,"Immunization, DPT (% of children ages 12-23 months)",H1_Public information campaigns,Tanzania,TZA,89.0,percent,2019.0
60,Health,Prevalence of down syndrome,H1_Public information campaigns,Tanzania,TZA,0.000164,percent,2019.0
62,Environment,"Adjusted net savings, including particulate emission damage",H1_Public information campaigns,Tanzania,TZA,16.704783419016,percent of GNI,2017.0
63,Economics,Employment in services (% of total employment) (modeled ILO estimate),H1_Public information campaigns,Tanzania,TZA,28.3169994,Percentage of total employment,2020.0
65,Health,"Immunization, measles (% of children ages 12-23 months)",H1_Public information campaigns,Tanzania,TZA,88.0,percent,2019.0
67,Governance,Personal Freedom Score ,H1_Public information campaigns,Tanzania,TZA,5.82,score,2018.0
