rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,H1_Public information campaigns,United States,USA,87.2661,percent of population,2019.0
2,Demographics,Fixed telephone subscriptions,H1_Public information campaigns,United States,USA,107281000.0,number,2019.0
3,Health,Prevalence of Respiratory infections and tuberculosis,H1_Public information campaigns,United States,USA,0.16579,percent,2019.0
4,Health,Prevalence of COVID-19,H1_Public information campaigns,United States,USA,16912564.0,"Number (cumulative total by Dec 26,2020)",2020.0
5,Governance,Rule of law estimate ,H1_Public information campaigns,United States,USA,1.461094,score,2019.0
6,Environment,Electricity production from oil sources,H1_Public information campaigns,United States,USA,0.9038065201971214,percent of total,2015.0
7,Environment,Fossil fuel energy consumption,H1_Public information campaigns,United States,USA,82.42783,percent of total,2015.0
8,Health,Prevalence of chronic kidney disease,H1_Public information campaigns,United States,USA,0.129374,percent,2019.0
9,Governance,Human Freedom Score ,H1_Public information campaigns,United States,USA,8.44,score,2018.0
10,Environment,Energy use (kg of oil equivalent per capita),H1_Public information campaigns,United States,USA,6806.199939462035,kg of oil equivalent per capita,2015.0
11,Governance,Economic Freedom Score,H1_Public information campaigns,United States,USA,8.22,score,2018.0
12,Environment,"PM2.5 air pollution, mean annual exposure",H1_Public information campaigns,United States,USA,7.409442,micrograms per cubic meter,2017.0
13,Demographics,Fixed broadband subscriptions,H1_Public information campaigns,United States,USA,34.6719,per 100 people,2019.0
14,Health,"Prevalence of overweight (modeled estimate, % of children under 5)",H1_Public information campaigns,United States,USA,8.8,percent,2020.0
15,Health,"Incidence of tuberculosis (per 100,000 people)",H1_Public information campaigns,United States,USA,3.0,Cases,2019.0
16,Economics,"Central government debt, total",H1_Public information campaigns,United States,USA,98.9759928287806,percent of GDP,2016.0
17,Social issues ,Net migration,H1_Public information campaigns,United States,USA,4774029.0,net total / data are 5 year estimates,2019.0
18,Economics,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",H1_Public information campaigns,United States,USA,55.8639984,Percentage of females of the total population,2020.0
19,Governance,Corruption Perceptions Index,H1_Public information campaigns,United States,USA,67.0,score,2020.0
20,Environment,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value ",H1_Public information campaigns,United States,USA,3.34317037021352,percent of total,2017.0
