rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,H3_Contact tracing,Bahrain,BHR,99.7015,percent of population,2019.0
2,Governance,Corruption Perceptions Index,H3_Contact tracing,Bahrain,BHR,42.0,score,2020.0
3,Health,Prevalence of COVID-19,H3_Contact tracing,Bahrain,BHR,89883.0,"Number (cumulative total by Dec 26,2020)",2020.0
5,Demographics,Secure Internet servers ,H3_Contact tracing,Bahrain,BHR,388.7465786645154,per 1 million people,2019.0
6,Health,Mortality due to COVID-19,H3_Contact tracing,Bahrain,BHR,349.0,"Number (cumulative total by Dec 26,2020)",2020.0
7,Social issues ,"Intentional homicides (per 100,000 people)",H3_Contact tracing,Bahrain,BHR,0.52392346825,"proportion, pero 100,000 people",2014.0
8,Health,Prevalence of Respiratory infections and tuberculosis,H3_Contact tracing,Bahrain,BHR,0.183494,percent,2019.0
9,Demographics,Mobile cellular subscriptions,H3_Contact tracing,Bahrain,BHR,115.793,per 100 people,2019.0
10,Economics,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",H3_Contact tracing,Bahrain,BHR,45.0349998,Percentage of females of the total population,2020.0
11,Governance,Government effectiveness estimate,H3_Contact tracing,Bahrain,BHR,0.298761,score,2019.0
12,Environment,Electricity production from nuclear sources ,H3_Contact tracing,Bahrain,BHR,0.0,percent of total,2014.0
13,Governance,Aggregate score for the Civil Liberties category,H3_Contact tracing,Bahrain,BHR,10.0,score,2021.0
14,Health,Summary exposure value tobacco,H3_Contact tracing,Bahrain,BHR,19.22256,Rate (risk-weighted prevalence),2019.0
15,Environment,CO2 emissions (kt),H3_Contact tracing,Bahrain,BHR,31693.88,kt,2016.0
16,Economics,Employment in services (% of total employment) (modeled ILO estimate),H3_Contact tracing,Bahrain,BHR,63.9529991,Percentage of total employment,2020.0
17,Environment,"Energy imports, net ",H3_Contact tracing,Bahrain,BHR,-61.58425476977827,percent of energy use,2014.0
18,Social issues ,Life Ladder ,H3_Contact tracing,Bahrain,BHR,6.646900177001953,score,2021.0
19,Demographics,Fixed broadband subscriptions,H3_Contact tracing,Bahrain,BHR,12.493,per 100 people,2019.0
20,Environment,Electricity production from oil sources,H3_Contact tracing,Bahrain,BHR,0.0315966858587277,percent of total,2015.0
21,Health,"Nurses and midwives (per 1,000 people)",H3_Contact tracing,Bahrain,BHR,2.4944,Ones,2015.0
22,Social issues ,Press freedom score,H3_Contact tracing,Bahrain,BHR,60.13,score,2020.0
24,Governance,Economic Freedom Score,H3_Contact tracing,Bahrain,BHR,7.16,score,2018.0
27,Environment,"Electricity production from renewable sources, excluding hydroelectric",H3_Contact tracing,Bahrain,BHR,0.0,kWh,2015.0
28,Social issues ,Net migration,H3_Contact tracing,Bahrain,BHR,239000.0,net total / data are 5 year estimates,2019.0
29,Governance,Political stability and absence of violence/terrorism estimate,H3_Contact tracing,Bahrain,BHR,-0.661518,score,2019.0
30,Health,"Prevalence of overweight (modeled estimate, % of children under 5)",H3_Contact tracing,Bahrain,BHR,6.4,percent,2020.0
31,Health,Prevalence of anxiety disorders,H3_Contact tracing,Bahrain,BHR,0.053985,percent,2019.0
32,Environment,"PM2.5 air pollution, mean annual exposure",H3_Contact tracing,Bahrain,BHR,70.81621,micrograms per cubic meter,2017.0
33,Health,Prevalence of Diabetes,H3_Contact tracing,Bahrain,BHR,0.138049,percent,2019.0
34,Governance,Human Development Index,H3_Contact tracing,Bahrain,BHR,0.852,index,2019.0
35,Governance,Fragile States Index Total ,H3_Contact tracing,Bahrain,BHR,63.88791153504606,score,2020.0
37,Environment,Renewable energy consumption ,H3_Contact tracing,Bahrain,BHR,0.0,percent of total final energy consumption,2015.0
38,Environment,Energy use ,H3_Contact tracing,Bahrain,BHR,219.8404940328386,"(kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)",2014.0
39,Governance,Control of corruption estimate,H3_Contact tracing,Bahrain,BHR,-0.010218,score,2019.0
41,Environment,Fossil fuel energy consumption,H3_Contact tracing,Bahrain,BHR,99.36585,percent of total,2014.0
42,Health,"Immunization, measles (% of children ages 12-23 months)",H3_Contact tracing,Bahrain,BHR,99.0,percent,2019.0
44,Economics,Volume of imports,H3_Contact tracing,Bahrain,BHR,6.4,percent change,2020.0
45,Environment,CO2 emissions (metric tons per capita),H3_Contact tracing,Bahrain,BHR,22.22898,metric tons per capita,2016.0
46,Governance,Voice and accountability estimate,H3_Contact tracing,Bahrain,BHR,-1.412584,score,2019.0
47,Environment,"Adjusted net savings, including particulate emission damage",H3_Contact tracing,Bahrain,BHR,19.9140251669202,percent of GNI,2018.0
48,Health,Prevalence of total cancers,H3_Contact tracing,Bahrain,BHR,0.007223,percent,2019.0
49,Health,"Physicians (per 1,000 people)",H3_Contact tracing,Bahrain,BHR,0.9257,Ones,2015.0
51,Environment,Access to electricity ,H3_Contact tracing,Bahrain,BHR,100.0,percent of population,2018.0
52,Economics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",H3_Contact tracing,Bahrain,BHR,0.76300001,percent of total labor force,2020.0
53,Environment,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value ",H3_Contact tracing,Bahrain,BHR,100.0,percent of total,2017.0
54,Health,Prevalence of obesity,H3_Contact tracing,Bahrain,BHR,29.8,percent,2016.0
55,Environment,Combustible renewables and waste,H3_Contact tracing,Bahrain,BHR,0.0,percent of total energy,2014.0
56,Environment,Electricity production from coal sources ,H3_Contact tracing,Bahrain,BHR,0.0,percent of total,2015.0
