rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,H3_Contact tracing,Brazil,BRA,67.4713,percent of population,2019.0
2,Demographics,Fixed telephone subscriptions,H3_Contact tracing,Brazil,BRA,33701000.0,number,2019.0
3,Health,Prevalence of Respiratory infections and tuberculosis,H3_Contact tracing,Brazil,BRA,0.315219,percent,2019.0
4,Health,Prevalence of COVID-19,H3_Contact tracing,Brazil,BRA,7110434.0,"Number (cumulative total by Dec 26,2020)",2020.0
5,Governance,Economic Freedom Score,H3_Contact tracing,Brazil,BRA,6.56,score,2018.0
6,Social issues ,Press freedom score,H3_Contact tracing,Brazil,BRA,34.05,score,2020.0
7,Health,Mortality due to COVID-19,H3_Contact tracing,Brazil,BRA,184827.0,"Number (cumulative total by Dec 26,2020)",2020.0
8,Health,"Prevalence of overweight (modeled estimate, % of children under 5)",H3_Contact tracing,Brazil,BRA,7.3,percent,2020.0
9,Governance,Rule of law estimate ,H3_Contact tracing,Brazil,BRA,-0.180904,score,2019.0
10,Health,Prevalence of down syndrome,H3_Contact tracing,Brazil,BRA,0.000282,percent,2019.0
11,Environment,Fossil fuel energy consumption,H3_Contact tracing,Brazil,BRA,59.10753,percent of total,2014.0
12,Governance,Regulatory quality estimate,H3_Contact tracing,Brazil,BRA,-0.177794,score,2019.0
13,Health,Prevalence of Diabetes,H3_Contact tracing,Brazil,BRA,0.061429,percent,2019.0
14,Social issues ,Proportion of women in managerial positions (%),H3_Contact tracing,Brazil,BRA,39.59,percent,2018.0
15,Demographics,Fixed broadband subscriptions,H3_Contact tracing,Brazil,BRA,15.4293,per 100 people,2019.0
16,Social issues ,Proportion of seats held by women in national parliaments (%),H3_Contact tracing,Brazil,BRA,14.61988304,proportion,2020.0
17,Environment,Combustible renewables and waste,H3_Contact tracing,Brazil,BRA,20.35314,percent of total energy,2014.0
18,Health,Prevalence of total cancers,H3_Contact tracing,Brazil,BRA,0.008669,percent,2019.0
19,Governance,Serious assault (rate),H3_Contact tracing,Brazil,BRA,274.32,rate,2018.0
20,Economics,Employment in services (% of total employment) (modeled ILO estimate),H3_Contact tracing,Brazil,BRA,71.2890015,Percentage of total employment,2020.0
21,Social issues ,Gini index (World Bank estimate),H3_Contact tracing,Brazil,BRA,53.9,index ,2018.0
22,Environment,Electricity production from coal sources ,H3_Contact tracing,Brazil,BRA,4.722411338738628,percent of total,2015.0
23,Environment,"PM2.5 air pollution, mean annual exposure",H3_Contact tracing,Brazil,BRA,12.70663,micrograms per cubic meter,2017.0
24,Health,Prevalence of anxiety disorders,H3_Contact tracing,Brazil,BRA,0.083093,percent,2019.0
25,Environment,Renewable energy consumption ,H3_Contact tracing,Brazil,BRA,43.7903891971588,percent of total final energy consumption,2015.0
26,Governance,Corruption Perceptions Index,H3_Contact tracing,Brazil,BRA,38.0,score,2020.0
27,Social issues ,Life Ladder ,H3_Contact tracing,Brazil,BRA,6.330100059509277,score,2021.0
28,Social issues ,Net migration,H3_Contact tracing,Brazil,BRA,106000.0,net total / data are 5 year estimates,2019.0
29,Environment,"Electricity production from renewable sources, excluding hydroelectric",H3_Contact tracing,Brazil,BRA,70487000000.0,kWh,2015.0
30,Governance,Total freedom in the world score ,H3_Contact tracing,Brazil,BRA,74.0,score,2021.0
31,Demographics,Secure Internet servers ,H3_Contact tracing,Brazil,BRA,2740.911141677186,per 1 million people,2019.0
32,Governance,Fragile States Index Total ,H3_Contact tracing,Brazil,BRA,72.99411372588226,score,2020.0
33,Health,"Nurses and midwives (per 1,000 people)",H3_Contact tracing,Brazil,BRA,10.119,Ones,2018.0
34,Health,"Incidence of tuberculosis (per 100,000 people)",H3_Contact tracing,Brazil,BRA,46.0,Cases,2019.0
35,Governance,Human Development Index,H3_Contact tracing,Brazil,BRA,0.765,index,2019.0
36,Health,"Prevalence of stunting, height for age (modeled estimate, % of children under 5)",H3_Contact tracing,Brazil,BRA,6.1,percent,2020.0
37,Economics,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",H3_Contact tracing,Brazil,BRA,54.0460014,Percentage of females of the total population,2020.0
38,Economics,"Central government debt, total",H3_Contact tracing,Brazil,BRA,73.41880380967594,percent of GDP,2016.0
40,Health,Prevalence of obesity,H3_Contact tracing,Brazil,BRA,22.1,percent,2016.0
41,Environment,CO2 emissions (kt),H3_Contact tracing,Brazil,BRA,462298.7,kt,2016.0
42,Governance,Aggregate score for the Civil Liberties category,H3_Contact tracing,Brazil,BRA,43.0,score,2021.0
43,Demographics,Age dependency ratio (% of working-age population),H3_Contact tracing,Brazil,BRA,43.39138180058507,proportion,2019.0
44,Environment,"Adjusted net savings, including particulate emission damage",H3_Contact tracing,Brazil,BRA,3.31179090266738,percent of GNI,2018.0
45,Environment,"Electricity production from oil, gas and coal sources",H3_Contact tracing,Brazil,BRA,23.43291177542585,percent of total,2015.0
48,Demographics,"Population, total",H3_Contact tracing,Brazil,BRA,211049527.0,total,2019.0
49,Health,"Physicians (per 1,000 people)",H3_Contact tracing,Brazil,BRA,2.1643,Ones,2018.0
50,Demographics,Mobile cellular subscriptions,H3_Contact tracing,Brazil,BRA,98.8435,per 100 people,2019.0
51,Health,Prevalence of Hypertensive heart disease,H3_Contact tracing,Brazil,BRA,0.001848,percent,2019.0
52,Governance,Human Freedom Score ,H3_Contact tracing,Brazil,BRA,6.83,score,2018.0
53,Health,Prevalence of chronic kidney disease,H3_Contact tracing,Brazil,BRA,0.083485,percent,2019.0
54,Governance,Voice and accountability estimate,H3_Contact tracing,Brazil,BRA,0.3444251,score,2019.0
55,Governance,Aggregate score for the Political Rights category,H3_Contact tracing,Brazil,BRA,31.0,score,2021.0
56,Environment,Electric power consumption ,H3_Contact tracing,Brazil,BRA,2619.960615738312,kWh per capita,2014.0
57,Health,Prevalence of Depressive disorders,H3_Contact tracing,Brazil,BRA,0.04285,percent,2019.0
58,Health,Summary exposure value tobacco,H3_Contact tracing,Brazil,BRA,20.37034,Rate (risk-weighted prevalence),2019.0
59,Social issues ,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",H3_Contact tracing,Brazil,BRA,16.5433902740479,proportion,2018.0
60,Demographics,Urban population (% of total population),H3_Contact tracing,Brazil,BRA,86.824,total,2019.0
61,Environment,Electricity production from nuclear sources ,H3_Contact tracing,Brazil,BRA,2.603567927591759,percent of total,2014.0
62,Environment,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value ",H3_Contact tracing,Brazil,BRA,68.1350300575805,percent of total,2017.0
63,Environment,Electricity production from oil sources,H3_Contact tracing,Brazil,BRA,5.04425326483877,percent of total,2015.0
64,Environment,Energy use ,H3_Contact tracing,Brazil,BRA,94.98909014961389,"(kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)",2014.0
65,Health,"Immunization, DPT (% of children ages 12-23 months)",H3_Contact tracing,Brazil,BRA,73.0,percent,2019.0
66,Environment,"Energy imports, net ",H3_Contact tracing,Brazil,BRA,11.870133377942,percent of energy use,2014.0
68,Governance,Personal Freedom Score ,H3_Contact tracing,Brazil,BRA,7.1,score,2018.0
70,Social issues ,Proportion of people living below 50 percent of median income (%),H3_Contact tracing,Brazil,BRA,23.6,proportion,2018.0
71,Environment,Access to electricity ,H3_Contact tracing,Brazil,BRA,100.0,percent of population,2018.0
73,Governance,Control of corruption estimate,H3_Contact tracing,Brazil,BRA,-0.3339985,score,2019.0
74,Health,"Prevalence of HIV, total (% of population ages 15-49)",H3_Contact tracing,Brazil,BRA,0.5,percent,2019.0
75,Economics,Volume of imports,H3_Contact tracing,Brazil,BRA,3.925,percent change,2020.0
