rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,H3_Contact tracing,Brunei,BRN,95.0,percent of population,2019.0
2,Governance,Corruption Perceptions Index,H3_Contact tracing,Brunei,BRN,60.0,score,2020.0
3,Health,Prevalence of COVID-19,H3_Contact tracing,Brunei,BRN,152.0,"Number (cumulative total by Dec 26,2020)",2020.0
4,Economics,"Foreign direct investment, net",H3_Contact tracing,Brunei,BRN,373256770.0,US Dollar,2019.0
5,Demographics,Secure Internet servers ,H3_Contact tracing,Brunei,BRN,10720.42650911063,per 1 million people,2019.0
6,Health,Mortality due to COVID-19,H3_Contact tracing,Brunei,BRN,3.0,"Number (cumulative total by Dec 26,2020)",2020.0
8,Health,Prevalence of Respiratory infections and tuberculosis,H3_Contact tracing,Brunei,BRN,0.313411,percent,2019.0
9,Demographics,Mobile cellular subscriptions,H3_Contact tracing,Brunei,BRN,128.645,per 100 people,2019.0
10,Economics,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",H3_Contact tracing,Brunei,BRN,57.6399994,Percentage of females of the total population,2020.0
11,Governance,Government effectiveness estimate,H3_Contact tracing,Brunei,BRN,1.318309,score,2019.0
12,Environment,Electricity production from nuclear sources ,H3_Contact tracing,Brunei,BRN,0.0,percent of total,2014.0
13,Governance,Aggregate score for the Civil Liberties category,H3_Contact tracing,Brunei,BRN,21.0,score,2021.0
14,Health,Summary exposure value tobacco,H3_Contact tracing,Brunei,BRN,23.05778,Rate (risk-weighted prevalence),2019.0
15,Environment,CO2 emissions (kt),H3_Contact tracing,Brunei,BRN,7664.03,kt,2016.0
16,Economics,Employment in services (% of total employment) (modeled ILO estimate),H3_Contact tracing,Brunei,BRN,82.8290024,Percentage of total employment,2020.0
17,Environment,"Energy imports, net ",H3_Contact tracing,Brunei,BRN,-357.3943791761478,percent of energy use,2014.0
19,Demographics,Fixed broadband subscriptions,H3_Contact tracing,Brunei,BRN,12.5079,per 100 people,2019.0
20,Environment,Electricity production from oil sources,H3_Contact tracing,Brunei,BRN,1.0,percent of total,2015.0
21,Health,"Nurses and midwives (per 1,000 people)",H3_Contact tracing,Brunei,BRN,5.8974,Ones,2018.0
22,Social issues ,Press freedom score,H3_Contact tracing,Brunei,BRN,49.65,score,2020.0
24,Governance,Economic Freedom Score,H3_Contact tracing,Brunei,BRN,6.6,score,2018.0
25,Social issues ,Proportion of women in managerial positions (%),H3_Contact tracing,Brunei,BRN,41.27,percent,2017.0
26,Demographics,Age dependency ratio (% of working-age population),H3_Contact tracing,Brunei,BRN,38.55277211069257,proportion,2019.0
