rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,H3_Contact tracing,China,CHN,54.3,percent of population,2019.0
2,Demographics,Fixed telephone subscriptions,H3_Contact tracing,China,CHN,191033000.0,number,2019.0
3,Health,Prevalence of Respiratory infections and tuberculosis,H3_Contact tracing,China,CHN,0.344937,percent,2019.0
4,Health,Prevalence of COVID-19,H3_Contact tracing,China,CHN,95580.0,"Number (cumulative total by Dec 26,2020)",2020.0
5,Governance,Economic Freedom Score,H3_Contact tracing,China,CHN,6.21,score,2018.0
6,Social issues ,Press freedom score,H3_Contact tracing,China,CHN,78.48,score,2020.0
7,Health,Mortality due to COVID-19,H3_Contact tracing,China,CHN,4770.0,"Number (cumulative total by Dec 26,2020)",2020.0
8,Health,"Prevalence of overweight (modeled estimate, % of children under 5)",H3_Contact tracing,China,CHN,8.3,percent,2020.0
9,Governance,Rule of law estimate ,H3_Contact tracing,China,CHN,-0.2747186,score,2019.0
10,Health,Prevalence of down syndrome,H3_Contact tracing,China,CHN,0.000107,percent,2019.0
11,Environment,Fossil fuel energy consumption,H3_Contact tracing,China,CHN,87.67043,percent of total,2014.0
12,Governance,Regulatory quality estimate,H3_Contact tracing,China,CHN,-0.2446144,score,2019.0
13,Health,Prevalence of Diabetes,H3_Contact tracing,China,CHN,0.06749,percent,2019.0
15,Demographics,Fixed broadband subscriptions,H3_Contact tracing,China,CHN,31.3352,per 100 people,2019.0
16,Social issues ,Proportion of seats held by women in national parliaments (%),H3_Contact tracing,China,CHN,24.94117647,proportion,2020.0
17,Environment,Combustible renewables and waste,H3_Contact tracing,China,CHN,2.883354,percent of total energy,2014.0
18,Health,Prevalence of total cancers,H3_Contact tracing,China,CHN,0.01378,percent,2019.0
20,Economics,Employment in services (% of total employment) (modeled ILO estimate),H3_Contact tracing,China,CHN,47.0880013,Percentage of total employment,2020.0
21,Social issues ,Gini index (World Bank estimate),H3_Contact tracing,China,CHN,38.5,index ,2016.0
22,Environment,Electricity production from coal sources ,H3_Contact tracing,China,CHN,70.3094269525225,percent of total,2015.0
23,Environment,"PM2.5 air pollution, mean annual exposure",H3_Contact tracing,China,CHN,52.6646,micrograms per cubic meter,2017.0
24,Health,Prevalence of anxiety disorders,H3_Contact tracing,China,CHN,0.035105,percent,2019.0
25,Environment,Renewable energy consumption ,H3_Contact tracing,China,CHN,12.4133525698911,percent of total final energy consumption,2015.0
26,Governance,Corruption Perceptions Index,H3_Contact tracing,China,CHN,42.0,score,2020.0
27,Social issues ,Life Ladder ,H3_Contact tracing,China,CHN,5.339099884033203,score,2021.0
28,Social issues ,Net migration,H3_Contact tracing,China,CHN,-1741996.0,net total / data are 5 year estimates,2019.0
29,Environment,"Electricity production from renewable sources, excluding hydroelectric",H3_Contact tracing,China,CHN,283851000000.0,kWh,2015.0
30,Governance,Total freedom in the world score ,H3_Contact tracing,China,CHN,9.0,score,2021.0
31,Demographics,Secure Internet servers ,H3_Contact tracing,China,CHN,734.9752989701047,per 1 million people,2019.0
32,Governance,Fragile States Index Total ,H3_Contact tracing,China,CHN,69.85878789983346,score,2020.0
33,Health,"Nurses and midwives (per 1,000 people)",H3_Contact tracing,China,CHN,2.6621,Ones,2017.0
34,Health,"Incidence of tuberculosis (per 100,000 people)",H3_Contact tracing,China,CHN,58.0,Cases,2019.0
35,Governance,Human Development Index,H3_Contact tracing,China,CHN,0.761,index,2019.0
36,Health,"Prevalence of stunting, height for age (modeled estimate, % of children under 5)",H3_Contact tracing,China,CHN,4.7,percent,2020.0
37,Economics,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",H3_Contact tracing,China,CHN,59.8419991,Percentage of females of the total population,2020.0
39,Economics,"Lending interest rates, percent per annum",H3_Contact tracing,China,CHN,4.35,percent per annum,2019.0
40,Health,Prevalence of obesity,H3_Contact tracing,China,CHN,6.2,percent,2016.0
41,Environment,CO2 emissions (kt),H3_Contact tracing,China,CHN,9893038.0,kt,2016.0
42,Governance,Aggregate score for the Civil Liberties category,H3_Contact tracing,China,CHN,11.0,score,2021.0
