rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,H3_Contact tracing,Faroe Islands,FRO,97.582,percent of population,2019.0
2,Demographics,Fixed telephone subscriptions,H3_Contact tracing,Faroe Islands,FRO,18021.0,number,2019.0
4,Health,Prevalence of COVID-19,H3_Contact tracing,Faroe Islands,FRO,534.0,"Number (cumulative total by Dec 26,2020)",2020.0
7,Health,Mortality due to COVID-19,H3_Contact tracing,Faroe Islands,FRO,0.0,"Number (cumulative total by Dec 26,2020)",2020.0
15,Demographics,Fixed broadband subscriptions,H3_Contact tracing,Faroe Islands,FRO,37.328,per 100 people,2019.0
25,Environment,Renewable energy consumption ,H3_Contact tracing,Faroe Islands,FRO,7.51358049162428,percent of total final energy consumption,2015.0
31,Demographics,Secure Internet servers ,H3_Contact tracing,Faroe Islands,FRO,4991.98816713916,per 1 million people,2019.0
41,Environment,CO2 emissions (kt),H3_Contact tracing,Faroe Islands,FRO,630.724,kt,2016.0
50,Demographics,Mobile cellular subscriptions,H3_Contact tracing,Faroe Islands,FRO,116.474,per 100 people,2019.0
71,Environment,Access to electricity ,H3_Contact tracing,Faroe Islands,FRO,100.0,percent of population,2018.0
87,Environment,CO2 emissions (metric tons per capita),H3_Contact tracing,Faroe Islands,FRO,13.09289,metric tons per capita,2016.0
