rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,H3_Contact tracing,Gibraltar,GIB,94.4445,percent of population,2019.0
3,Health,Prevalence of COVID-19,H3_Contact tracing,Gibraltar,GIB,1153.0,"Number (cumulative total by Dec 26,2020)",2020.0
5,Demographics,Secure Internet servers ,H3_Contact tracing,Gibraltar,GIB,16201.29966469838,per 1 million people,2019.0
6,Health,Mortality due to COVID-19,H3_Contact tracing,Gibraltar,GIB,6.0,"Number (cumulative total by Dec 26,2020)",2020.0
9,Demographics,Mobile cellular subscriptions,H3_Contact tracing,Gibraltar,GIB,120.284,per 100 people,2019.0
12,Environment,Electricity production from nuclear sources ,H3_Contact tracing,Gibraltar,GIB,0.0,percent of total,2014.0
15,Environment,CO2 emissions (kt),H3_Contact tracing,Gibraltar,GIB,634.391,kt,2016.0
17,Environment,"Energy imports, net ",H3_Contact tracing,Gibraltar,GIB,100.0,percent of energy use,2014.0
19,Demographics,Fixed broadband subscriptions,H3_Contact tracing,Gibraltar,GIB,56.2891,per 100 people,2019.0
20,Environment,Electricity production from oil sources,H3_Contact tracing,Gibraltar,GIB,100.0,percent of total,2015.0
27,Environment,"Electricity production from renewable sources, excluding hydroelectric",H3_Contact tracing,Gibraltar,GIB,0.0,kWh,2015.0
37,Environment,Renewable energy consumption ,H3_Contact tracing,Gibraltar,GIB,0.0,percent of total final energy consumption,2015.0
41,Environment,Fossil fuel energy consumption,H3_Contact tracing,Gibraltar,GIB,99.51282,percent of total,2014.0
45,Environment,CO2 emissions (metric tons per capita),H3_Contact tracing,Gibraltar,GIB,18.80401,metric tons per capita,2016.0
51,Environment,Access to electricity ,H3_Contact tracing,Gibraltar,GIB,100.0,percent of population,2018.0
55,Environment,Combustible renewables and waste,H3_Contact tracing,Gibraltar,GIB,0.0,percent of total energy,2014.0
56,Environment,Electricity production from coal sources ,H3_Contact tracing,Gibraltar,GIB,0.0,percent of total,2015.0
64,Environment,Energy use (kg of oil equivalent per capita),H3_Contact tracing,Gibraltar,GIB,5812.453669384729,kg of oil equivalent per capita,2014.0
71,Environment,Electric power consumption ,H3_Contact tracing,Gibraltar,GIB,5693.106004447739,kWh per capita,2014.0
72,Environment,"Electricity production from oil, gas and coal sources",H3_Contact tracing,Gibraltar,GIB,100.0,percent of total,2015.0
74,Demographics,Fixed telephone subscriptions,H3_Contact tracing,Gibraltar,GIB,16968.0,number,2019.0
