rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,H3_Contact tracing,Namibia,NAM,51.0,percent of population,2019.0
2,Governance,Corruption Perceptions Index,H3_Contact tracing,Namibia,NAM,51.0,score,2020.0
3,Health,Prevalence of COVID-19,H3_Contact tracing,Namibia,NAM,18041.0,"Number (cumulative total by Dec 26,2020)",2020.0
5,Demographics,Secure Internet servers ,H3_Contact tracing,Namibia,NAM,146.7210256040216,per 1 million people,2019.0
6,Health,Mortality due to COVID-19,H3_Contact tracing,Namibia,NAM,169.0,"Number (cumulative total by Dec 26,2020)",2020.0
8,Health,Prevalence of Respiratory infections and tuberculosis,H3_Contact tracing,Namibia,NAM,0.249577,percent,2019.0
9,Demographics,Mobile cellular subscriptions,H3_Contact tracing,Namibia,NAM,113.165,per 100 people,2019.0
10,Economics,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",H3_Contact tracing,Namibia,NAM,56.6329994,Percentage of females of the total population,2020.0
11,Governance,Government effectiveness estimate,H3_Contact tracing,Namibia,NAM,0.0966495,score,2019.0
12,Environment,Electricity production from nuclear sources ,H3_Contact tracing,Namibia,NAM,0.0,percent of total,2014.0
13,Governance,Aggregate score for the Civil Liberties category,H3_Contact tracing,Namibia,NAM,46.0,score,2021.0
14,Health,Summary exposure value tobacco,H3_Contact tracing,Namibia,NAM,14.04101,Rate (risk-weighted prevalence),2019.0
15,Environment,CO2 emissions (kt),H3_Contact tracing,Namibia,NAM,4228.051,kt,2016.0
16,Economics,Employment in services (% of total employment) (modeled ILO estimate),H3_Contact tracing,Namibia,NAM,61.8230019,Percentage of total employment,2020.0
17,Environment,"Energy imports, net ",H3_Contact tracing,Namibia,NAM,74.44166879409099,percent of energy use,2014.0
18,Social issues ,Life Ladder ,H3_Contact tracing,Namibia,NAM,4.574100017547607,score,2021.0
19,Demographics,Fixed broadband subscriptions,H3_Contact tracing,Namibia,NAM,2.53811,per 100 people,2019.0
20,Environment,Electricity production from oil sources,H3_Contact tracing,Namibia,NAM,1.7578125,percent of total,2015.0
21,Health,"Nurses and midwives (per 1,000 people)",H3_Contact tracing,Namibia,NAM,1.954,Ones,2018.0
22,Social issues ,Press freedom score,H3_Contact tracing,Namibia,NAM,19.25,score,2020.0
23,Economics,"Central government debt, total",H3_Contact tracing,Namibia,NAM,23.89961863587537,percent of GDP,2014.0
24,Governance,Economic Freedom Score,H3_Contact tracing,Namibia,NAM,6.52,score,2018.0
25,Social issues ,Proportion of women in managerial positions (%),H3_Contact tracing,Namibia,NAM,43.57,percent,2018.0
27,Environment,"Electricity production from renewable sources, excluding hydroelectric",H3_Contact tracing,Namibia,NAM,0.0,kWh,2015.0
28,Social issues ,Net migration,H3_Contact tracing,Namibia,NAM,-24030.0,net total / data are 5 year estimates,2019.0
