rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,H3_Contact tracing,New Zealand,NZL,90.8111,percent of population,2019.0
2,Governance,Corruption Perceptions Index,H3_Contact tracing,New Zealand,NZL,88.0,score,2020.0
3,Health,Prevalence of COVID-19,H3_Contact tracing,New Zealand,NZL,1754.0,"Number (cumulative total by Dec 26,2020)",2020.0
4,Economics,"Foreign direct investment, net",H3_Contact tracing,New Zealand,NZL,3949052500.0,US Dollar,2019.0
5,Demographics,Secure Internet servers ,H3_Contact tracing,New Zealand,NZL,20375.43217408989,per 1 million people,2019.0
6,Health,Mortality due to COVID-19,H3_Contact tracing,New Zealand,NZL,25.0,"Number (cumulative total by Dec 26,2020)",2020.0
7,Social issues ,"Intentional homicides (per 100,000 people)",H3_Contact tracing,New Zealand,NZL,0.74435950948,"proportion, pero 100,000 people",2017.0
8,Health,Prevalence of Respiratory infections and tuberculosis,H3_Contact tracing,New Zealand,NZL,0.172893,percent,2019.0
9,Demographics,Mobile cellular subscriptions,H3_Contact tracing,New Zealand,NZL,134.932,per 100 people,2019.0
10,Economics,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",H3_Contact tracing,New Zealand,NZL,64.6780014,Percentage of females of the total population,2020.0
11,Governance,Government effectiveness estimate,H3_Contact tracing,New Zealand,NZL,1.670904,score,2019.0
12,Environment,Electricity production from nuclear sources ,H3_Contact tracing,New Zealand,NZL,0.0,percent of total,2015.0
13,Governance,Aggregate score for the Civil Liberties category,H3_Contact tracing,New Zealand,NZL,59.0,score,2021.0
14,Health,Summary exposure value tobacco,H3_Contact tracing,New Zealand,NZL,20.91401,Rate (risk-weighted prevalence),2019.0
15,Environment,CO2 emissions (kt),H3_Contact tracing,New Zealand,NZL,34381.79,kt,2016.0
16,Economics,Employment in services (% of total employment) (modeled ILO estimate),H3_Contact tracing,New Zealand,NZL,75.0530014,Percentage of total employment,2020.0
17,Environment,"Energy imports, net ",H3_Contact tracing,New Zealand,NZL,19.47815263060601,percent of energy use,2015.0
18,Social issues ,Life Ladder ,H3_Contact tracing,New Zealand,NZL,7.276599884033203,score,2021.0
19,Demographics,Fixed broadband subscriptions,H3_Contact tracing,New Zealand,NZL,34.7239,per 100 people,2019.0
20,Environment,Electricity production from oil sources,H3_Contact tracing,New Zealand,NZL,0.0022621875353467,percent of total,2015.0
21,Health,"Nurses and midwives (per 1,000 people)",H3_Contact tracing,New Zealand,NZL,12.4482,Ones,2018.0
22,Social issues ,Press freedom score,H3_Contact tracing,New Zealand,NZL,10.69,score,2020.0
23,Economics,"Central government debt, total",H3_Contact tracing,New Zealand,NZL,42.33895919937275,percent of GDP,2016.0
24,Governance,Economic Freedom Score,H3_Contact tracing,New Zealand,NZL,8.53,score,2018.0
26,Demographics,Age dependency ratio (% of working-age population),H3_Contact tracing,New Zealand,NZL,55.18447763869633,proportion,2019.0
27,Environment,"Electricity production from renewable sources, excluding hydroelectric",H3_Contact tracing,New Zealand,NZL,10865000000.0,kWh,2015.0
