rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,H3_Contact tracing,North Korea,PRK,0.0,percent of population,2019.0
2,Demographics,Fixed telephone subscriptions,H3_Contact tracing,North Korea,PRK,1180000.0,number,2019.0
3,Health,Prevalence of Respiratory infections and tuberculosis,H3_Contact tracing,North Korea,PRK,0.440914,percent,2019.0
4,Health,Prevalence of COVID-19,H3_Contact tracing,North Korea,PRK,0.0,"Number (cumulative total by Dec 26,2020)",2020.0
6,Social issues ,Press freedom score,H3_Contact tracing,North Korea,PRK,85.82,score,2020.0
7,Health,Mortality due to COVID-19,H3_Contact tracing,North Korea,PRK,0.0,"Number (cumulative total by Dec 26,2020)",2020.0
8,Health,"Prevalence of overweight (modeled estimate, % of children under 5)",H3_Contact tracing,North Korea,PRK,1.9,percent,2020.0
9,Governance,Rule of law estimate ,H3_Contact tracing,North Korea,PRK,-1.651461,score,2019.0
10,Health,Prevalence of down syndrome,H3_Contact tracing,North Korea,PRK,0.000112,percent,2019.0
11,Environment,Fossil fuel energy consumption,H3_Contact tracing,North Korea,PRK,62.05199,percent of total,2014.0
12,Governance,Regulatory quality estimate,H3_Contact tracing,North Korea,PRK,-2.396794,score,2019.0
13,Health,Prevalence of Diabetes,H3_Contact tracing,North Korea,PRK,0.056189,percent,2019.0
16,Social issues ,Proportion of seats held by women in national parliaments (%),H3_Contact tracing,North Korea,PRK,17.61280932,proportion,2020.0
17,Environment,Combustible renewables and waste,H3_Contact tracing,North Korea,PRK,7.350266,percent of total energy,2014.0
18,Health,Prevalence of total cancers,H3_Contact tracing,North Korea,PRK,0.007039,percent,2019.0
20,Economics,Employment in services (% of total employment) (modeled ILO estimate),H3_Contact tracing,North Korea,PRK,35.6580009,Percentage of total employment,2020.0
22,Environment,Electricity production from coal sources ,H3_Contact tracing,North Korea,PRK,21.28557909296062,percent of total,2015.0
23,Environment,"PM2.5 air pollution, mean annual exposure",H3_Contact tracing,North Korea,PRK,32.00745,micrograms per cubic meter,2017.0
24,Health,Prevalence of anxiety disorders,H3_Contact tracing,North Korea,PRK,0.039631,percent,2019.0
25,Environment,Renewable energy consumption ,H3_Contact tracing,North Korea,PRK,23.1232614917341,percent of total final energy consumption,2015.0
26,Governance,Corruption Perceptions Index,H3_Contact tracing,North Korea,PRK,18.0,score,2020.0
28,Social issues ,Net migration,H3_Contact tracing,North Korea,PRK,-27013.0,net total / data are 5 year estimates,2019.0
29,Environment,"Electricity production from renewable sources, excluding hydroelectric",H3_Contact tracing,North Korea,PRK,0.0,kWh,2015.0
30,Governance,Total freedom in the world score ,H3_Contact tracing,North Korea,PRK,3.0,score,2021.0
31,Demographics,Secure Internet servers ,H3_Contact tracing,North Korea,PRK,0.0393236566989717,per 1 million people,2017.0
32,Governance,Fragile States Index Total ,H3_Contact tracing,North Korea,PRK,90.21129784524969,score,2020.0
33,Health,"Nurses and midwives (per 1,000 people)",H3_Contact tracing,North Korea,PRK,4.4489,Ones,2017.0
34,Health,"Incidence of tuberculosis (per 100,000 people)",H3_Contact tracing,North Korea,PRK,513.0,Cases,2019.0
36,Health,"Prevalence of stunting, height for age (modeled estimate, % of children under 5)",H3_Contact tracing,North Korea,PRK,18.2,percent,2020.0
37,Economics,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",H3_Contact tracing,North Korea,PRK,73.2990036,Percentage of females of the total population,2020.0
40,Health,Prevalence of obesity,H3_Contact tracing,North Korea,PRK,6.8,percent,2016.0
41,Environment,CO2 emissions (kt),H3_Contact tracing,North Korea,PRK,28283.57,kt,2016.0
42,Governance,Aggregate score for the Civil Liberties category,H3_Contact tracing,North Korea,PRK,3.0,score,2021.0
43,Demographics,Age dependency ratio (% of working-age population),H3_Contact tracing,North Korea,PRK,41.34549537992132,proportion,2019.0
45,Environment,"Electricity production from oil, gas and coal sources",H3_Contact tracing,North Korea,PRK,27.20390187085972,percent of total,2015.0
48,Demographics,"Population, total",H3_Contact tracing,North Korea,PRK,25666161.0,total,2019.0
49,Health,"Physicians (per 1,000 people)",H3_Contact tracing,North Korea,PRK,3.6834,Ones,2017.0
50,Demographics,Mobile cellular subscriptions,H3_Contact tracing,North Korea,PRK,14.9824,per 100 people,2019.0
51,Health,Prevalence of Hypertensive heart disease,H3_Contact tracing,North Korea,PRK,0.00256,percent,2019.0
53,Health,Prevalence of chronic kidney disease,H3_Contact tracing,North Korea,PRK,0.105568,percent,2019.0
54,Governance,Voice and accountability estimate,H3_Contact tracing,North Korea,PRK,-2.194688,score,2019.0
55,Governance,Aggregate score for the Political Rights category,H3_Contact tracing,North Korea,PRK,0.0,score,2021.0
56,Environment,Electric power consumption ,H3_Contact tracing,North Korea,PRK,601.6900478542528,kWh per capita,2014.0
57,Health,Prevalence of Depressive disorders,H3_Contact tracing,North Korea,PRK,0.033016,percent,2019.0
58,Health,Summary exposure value tobacco,H3_Contact tracing,North Korea,PRK,29.74691,Rate (risk-weighted prevalence),2019.0
60,Demographics,Urban population (% of total population),H3_Contact tracing,North Korea,PRK,62.134,total,2019.0
61,Environment,Electricity production from nuclear sources ,H3_Contact tracing,North Korea,PRK,0.0,percent of total,2014.0
62,Environment,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value ",H3_Contact tracing,North Korea,PRK,100.0,percent of total,2017.0
63,Environment,Electricity production from oil sources,H3_Contact tracing,North Korea,PRK,5.918322777899104,percent of total,2015.0
65,Health,"Immunization, DPT (% of children ages 12-23 months)",H3_Contact tracing,North Korea,PRK,97.0,percent,2019.0
66,Environment,"Energy imports, net ",H3_Contact tracing,North Korea,PRK,-74.75239399417069,percent of energy use,2014.0
71,Environment,Access to electricity ,H3_Contact tracing,North Korea,PRK,48.4908256530762,percent of population,2018.0
