rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,H3_Contact tracing,Uruguay,URY,76.9496,percent of population,2019.0
2,Governance,Corruption Perceptions Index,H3_Contact tracing,Uruguay,URY,71.0,score,2020.0
3,Health,Prevalence of COVID-19,H3_Contact tracing,Uruguay,URY,11436.0,"Number (cumulative total by Dec 26,2020)",2020.0
5,Demographics,Secure Internet servers ,H3_Contact tracing,Uruguay,URY,1808.920038339168,per 1 million people,2019.0
6,Health,Mortality due to COVID-19,H3_Contact tracing,Uruguay,URY,105.0,"Number (cumulative total by Dec 26,2020)",2020.0
7,Social issues ,"Intentional homicides (per 100,000 people)",H3_Contact tracing,Uruguay,URY,12.060453021,"proportion, pero 100,000 people",2018.0
8,Health,Prevalence of Respiratory infections and tuberculosis,H3_Contact tracing,Uruguay,URY,0.21988,percent,2019.0
9,Demographics,Mobile cellular subscriptions,H3_Contact tracing,Uruguay,URY,138.075,per 100 people,2019.0
10,Economics,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",H3_Contact tracing,Uruguay,URY,55.7249985,Percentage of females of the total population,2020.0
11,Governance,Government effectiveness estimate,H3_Contact tracing,Uruguay,URY,0.6957388,score,2019.0
12,Environment,Electricity production from nuclear sources ,H3_Contact tracing,Uruguay,URY,0.0,percent of total,2014.0
13,Governance,Aggregate score for the Civil Liberties category,H3_Contact tracing,Uruguay,URY,58.0,score,2021.0
14,Health,Summary exposure value tobacco,H3_Contact tracing,Uruguay,URY,27.89703,Rate (risk-weighted prevalence),2019.0
15,Environment,CO2 emissions (kt),H3_Contact tracing,Uruguay,URY,6765.615,kt,2016.0
16,Economics,Employment in services (% of total employment) (modeled ILO estimate),H3_Contact tracing,Uruguay,URY,73.3509979,Percentage of total employment,2020.0
17,Environment,"Energy imports, net ",H3_Contact tracing,Uruguay,URY,44.43350088159097,percent of energy use,2014.0
18,Social issues ,Life Ladder ,H3_Contact tracing,Uruguay,URY,6.431399822235107,score,2021.0
19,Demographics,Fixed broadband subscriptions,H3_Contact tracing,Uruguay,URY,29.2457,per 100 people,2019.0
20,Environment,Electricity production from oil sources,H3_Contact tracing,Uruguay,URY,11.4410480349345,percent of total,2015.0
21,Health,"Nurses and midwives (per 1,000 people)",H3_Contact tracing,Uruguay,URY,1.9412,Ones,2017.0
22,Social issues ,Press freedom score,H3_Contact tracing,Uruguay,URY,15.79,score,2020.0
23,Economics,"Central government debt, total",H3_Contact tracing,Uruguay,URY,50.68495587532548,percent of GDP,2016.0
24,Governance,Economic Freedom Score,H3_Contact tracing,Uruguay,URY,7.25,score,2018.0
25,Social issues ,Proportion of women in managerial positions (%),H3_Contact tracing,Uruguay,URY,35.92,percent,2018.0
26,Demographics,Age dependency ratio (% of working-age population),H3_Contact tracing,Uruguay,URY,54.79711166281508,proportion,2019.0
27,Environment,"Electricity production from renewable sources, excluding hydroelectric",H3_Contact tracing,Uruguay,URY,3902000000.0,kWh,2015.0
28,Social issues ,Net migration,H3_Contact tracing,Uruguay,URY,-15000.0,net total / data are 5 year estimates,2019.0
29,Governance,Political stability and absence of violence/terrorism estimate,H3_Contact tracing,Uruguay,URY,1.045503,score,2019.0
30,Health,"Prevalence of overweight (modeled estimate, % of children under 5)",H3_Contact tracing,Uruguay,URY,10.3,percent,2020.0
31,Health,Prevalence of anxiety disorders,H3_Contact tracing,Uruguay,URY,0.057095,percent,2019.0
32,Environment,"PM2.5 air pollution, mean annual exposure",H3_Contact tracing,Uruguay,URY,9.274883,micrograms per cubic meter,2017.0
33,Health,Prevalence of Diabetes,H3_Contact tracing,Uruguay,URY,0.056324,percent,2019.0
34,Governance,Human Development Index,H3_Contact tracing,Uruguay,URY,0.817,index,2019.0
35,Governance,Fragile States Index Total ,H3_Contact tracing,Uruguay,URY,33.405777354578404,score,2020.0
36,Social issues ,Gini index (World Bank estimate),H3_Contact tracing,Uruguay,URY,39.7,index ,2018.0
37,Environment,Renewable energy consumption ,H3_Contact tracing,Uruguay,URY,58.0220411778528,percent of total final energy consumption,2015.0
38,Environment,Energy use ,H3_Contact tracing,Uruguay,URY,67.34082013375085,"(kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)",2014.0
39,Governance,Control of corruption estimate,H3_Contact tracing,Uruguay,URY,1.246511,score,2019.0
41,Environment,Fossil fuel energy consumption,H3_Contact tracing,Uruguay,URY,46.27031,percent of total,2014.0
42,Health,"Immunization, measles (% of children ages 12-23 months)",H3_Contact tracing,Uruguay,URY,96.0,percent,2019.0
43,Demographics,Rural population (% of total population),H3_Contact tracing,Uruguay,URY,4.573999999999998,proportion,2019.0
44,Economics,Volume of imports,H3_Contact tracing,Uruguay,URY,7.676,percent change,2020.0
45,Environment,CO2 emissions (metric tons per capita),H3_Contact tracing,Uruguay,URY,1.975863,metric tons per capita,2016.0
46,Governance,Voice and accountability estimate,H3_Contact tracing,Uruguay,URY,1.25694,score,2019.0
47,Environment,"Adjusted net savings, including particulate emission damage",H3_Contact tracing,Uruguay,URY,5.16804343567211,percent of GNI,2018.0
48,Health,Prevalence of total cancers,H3_Contact tracing,Uruguay,URY,0.019776,percent,2019.0
49,Health,"Physicians (per 1,000 people)",H3_Contact tracing,Uruguay,URY,5.0794,Ones,2017.0
50,Social issues ,"Literacy rate, adult total (% of people ages 15 and above)",H3_Contact tracing,Uruguay,URY,98.703857421875,proportion,2018.0
51,Environment,Access to electricity ,H3_Contact tracing,Uruguay,URY,100.0,percent of population,2018.0
52,Economics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",H3_Contact tracing,Uruguay,URY,8.77700043,percent of total labor force,2020.0
53,Environment,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value ",H3_Contact tracing,Uruguay,URY,22.3857446597034,percent of total,2017.0
54,Health,Prevalence of obesity,H3_Contact tracing,Uruguay,URY,27.9,percent,2016.0
55,Environment,Combustible renewables and waste,H3_Contact tracing,Uruguay,URY,33.68126,percent of total energy,2014.0
56,Environment,Electricity production from coal sources ,H3_Contact tracing,Uruguay,URY,0.0,percent of total,2015.0
57,Governance,Human Freedom Score ,H3_Contact tracing,Uruguay,URY,7.92,score,2018.0
58,Health,Prevalence of chronic kidney disease,H3_Contact tracing,Uruguay,URY,0.097551,percent,2019.0
59,Governance,Rule of law estimate ,H3_Contact tracing,Uruguay,URY,0.6212631,score,2019.0
60,Governance,Aggregate score for the Political Rights category,H3_Contact tracing,Uruguay,URY,40.0,score,2021.0
61,Governance,Serious assault (rate),H3_Contact tracing,Uruguay,URY,15.22,rate,2018.0
63,Demographics,"Population, total",H3_Contact tracing,Uruguay,URY,3461734.0,total,2019.0
64,Environment,Energy use (kg of oil equivalent per capita),H3_Contact tracing,Uruguay,URY,1386.020137429516,kg of oil equivalent per capita,2014.0
66,Health,Prevalence of Depressive disorders,H3_Contact tracing,Uruguay,URY,0.033434,percent,2019.0
67,Social issues ,Proportion of people living below 50 percent of median income (%),H3_Contact tracing,Uruguay,URY,16.9,proportion,2018.0
68,Governance,Total freedom in the world score ,H3_Contact tracing,Uruguay,URY,98.0,score,2021.0
69,Governance,Personal Freedom Score ,H3_Contact tracing,Uruguay,URY,8.59,score,2018.0
70,Economics,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",H3_Contact tracing,Uruguay,URY,64.1350021,Percentage of total population,2020.0
71,Environment,Electric power consumption ,H3_Contact tracing,Uruguay,URY,3085.194419300595,kWh per capita,2014.0
72,Environment,"Electricity production from oil, gas and coal sources",H3_Contact tracing,Uruguay,URY,11.4410480349345,percent of total,2015.0
