rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,H3_Contact tracing,Zambia,ZMB,14.3,percent of population,2019.0
2,Governance,Corruption Perceptions Index,H3_Contact tracing,Zambia,ZMB,33.0,score,2020.0
3,Health,Prevalence of COVID-19,H3_Contact tracing,Zambia,ZMB,18576.0,"Number (cumulative total by Dec 26,2020)",2020.0
5,Demographics,Secure Internet servers ,H3_Contact tracing,Zambia,ZMB,36.28010254727752,per 1 million people,2019.0
6,Health,Mortality due to COVID-19,H3_Contact tracing,Zambia,ZMB,373.0,"Number (cumulative total by Dec 26,2020)",2020.0
7,Social issues ,"Intentional homicides (per 100,000 people)",H3_Contact tracing,Zambia,ZMB,5.3717496349,"proportion, pero 100,000 people",2015.0
8,Health,Prevalence of Respiratory infections and tuberculosis,H3_Contact tracing,Zambia,ZMB,0.22509,percent,2019.0
9,Demographics,Mobile cellular subscriptions,H3_Contact tracing,Zambia,ZMB,96.4144,per 100 people,2019.0
10,Economics,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",H3_Contact tracing,Zambia,ZMB,70.3860016,Percentage of females of the total population,2020.0
11,Governance,Government effectiveness estimate,H3_Contact tracing,Zambia,ZMB,-0.6752145,score,2019.0
12,Environment,Electricity production from nuclear sources ,H3_Contact tracing,Zambia,ZMB,0.0,percent of total,2014.0
13,Governance,Aggregate score for the Civil Liberties category,H3_Contact tracing,Zambia,ZMB,32.0,score,2021.0
14,Health,Summary exposure value tobacco,H3_Contact tracing,Zambia,ZMB,16.25291,Rate (risk-weighted prevalence),2019.0
15,Environment,CO2 emissions (kt),H3_Contact tracing,Zambia,ZMB,5141.134,kt,2016.0
16,Economics,Employment in services (% of total employment) (modeled ILO estimate),H3_Contact tracing,Zambia,ZMB,40.7179985,Percentage of total employment,2020.0
18,Social issues ,Life Ladder ,H3_Contact tracing,Zambia,ZMB,4.073400020599365,score,2021.0
19,Demographics,Fixed broadband subscriptions,H3_Contact tracing,Zambia,ZMB,0.497681,per 100 people,2019.0
20,Environment,Electricity production from oil sources,H3_Contact tracing,Zambia,ZMB,3.00617605476598,percent of total,2015.0
21,Health,"Nurses and midwives (per 1,000 people)",H3_Contact tracing,Zambia,ZMB,1.3376,Ones,2018.0
22,Social issues ,Press freedom score,H3_Contact tracing,Zambia,ZMB,37.0,score,2020.0
23,Economics,"Central government debt, total",H3_Contact tracing,Zambia,ZMB,49.40732682229893,percent of GDP,2015.0
24,Governance,Economic Freedom Score,H3_Contact tracing,Zambia,ZMB,7.19,score,2018.0
25,Social issues ,Proportion of women in managerial positions (%),H3_Contact tracing,Zambia,ZMB,32.63,percent,2017.0
27,Environment,"Electricity production from renewable sources, excluding hydroelectric",H3_Contact tracing,Zambia,ZMB,0.0,kWh,2015.0
28,Social issues ,Net migration,H3_Contact tracing,Zambia,ZMB,-40000.0,net total / data are 5 year estimates,2019.0
29,Governance,Political stability and absence of violence/terrorism estimate,H3_Contact tracing,Zambia,ZMB,-0.1022162,score,2019.0
30,Health,"Prevalence of overweight (modeled estimate, % of children under 5)",H3_Contact tracing,Zambia,ZMB,5.7,percent,2020.0
31,Health,Prevalence of anxiety disorders,H3_Contact tracing,Zambia,ZMB,0.03598,percent,2019.0
32,Environment,"PM2.5 air pollution, mean annual exposure",H3_Contact tracing,Zambia,ZMB,27.43803,micrograms per cubic meter,2017.0
33,Health,Prevalence of Diabetes,H3_Contact tracing,Zambia,ZMB,0.018549,percent,2019.0
34,Governance,Human Development Index,H3_Contact tracing,Zambia,ZMB,0.584,index,2019.0
35,Governance,Fragile States Index Total ,H3_Contact tracing,Zambia,ZMB,84.47412891194057,score,2020.0
36,Social issues ,Gini index (World Bank estimate),H3_Contact tracing,Zambia,ZMB,57.1,index ,2015.0
37,Environment,Renewable energy consumption ,H3_Contact tracing,Zambia,ZMB,87.9854523585353,percent of total final energy consumption,2015.0
39,Governance,Control of corruption estimate,H3_Contact tracing,Zambia,ZMB,-0.6403451,score,2019.0
42,Health,"Immunization, measles (% of children ages 12-23 months)",H3_Contact tracing,Zambia,ZMB,93.0,percent,2019.0
44,Economics,Volume of imports,H3_Contact tracing,Zambia,ZMB,1.63,percent change,2020.0
45,Environment,CO2 emissions (metric tons per capita),H3_Contact tracing,Zambia,ZMB,0.314183,metric tons per capita,2016.0
46,Governance,Voice and accountability estimate,H3_Contact tracing,Zambia,ZMB,-0.2861988,score,2019.0
47,Environment,"Adjusted net savings, including particulate emission damage",H3_Contact tracing,Zambia,ZMB,20.262592337011,percent of GNI,2018.0
48,Health,Prevalence of total cancers,H3_Contact tracing,Zambia,ZMB,0.002766,percent,2019.0
49,Health,"Physicians (per 1,000 people)",H3_Contact tracing,Zambia,ZMB,1.1867,Ones,2018.0
51,Environment,Access to electricity ,H3_Contact tracing,Zambia,ZMB,39.8126220703125,percent of population,2018.0
52,Economics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",H3_Contact tracing,Zambia,ZMB,11.4119997,percent of total labor force,2020.0
53,Environment,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value ",H3_Contact tracing,Zambia,ZMB,100.0,percent of total,2017.0
54,Health,Prevalence of obesity,H3_Contact tracing,Zambia,ZMB,8.1,percent,2016.0
56,Environment,Electricity production from coal sources ,H3_Contact tracing,Zambia,ZMB,0.0,percent of total,2015.0
57,Governance,Human Freedom Score ,H3_Contact tracing,Zambia,ZMB,6.71,score,2018.0
58,Health,Prevalence of chronic kidney disease,H3_Contact tracing,Zambia,ZMB,0.034932,percent,2019.0
