rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,H5_Investment in vaccines,Aruba,ABW,0.0,percent of population,2021
3,Demographics,Secure Internet servers ,H5_Investment in vaccines,Aruba,ABW,0.0,per 1 million people,2021
4,Health,Prevalence of COVID-19,H5_Investment in vaccines,Aruba,ABW,0.0,"Number (cumulative total by Dec 26,2020)",2021
6,Health,Mortality due to COVID-19,H5_Investment in vaccines,Aruba,ABW,0.0,"Number (cumulative total by Dec 26,2020)",2021
9,Environment,Energy use ,H5_Investment in vaccines,Aruba,ABW,0.0,"(kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)",2021
11,Demographics,Mobile cellular subscriptions,H5_Investment in vaccines,Aruba,ABW,0.0,number,2021
12,Health,"Immunization, measles (% of children ages 12-23 months)",H5_Investment in vaccines,Aruba,ABW,0.0,percent,2021
13,Environment,Electric power consumption ,H5_Investment in vaccines,Aruba,ABW,0.0,kWh per capita,2021
14,Social issues ,Net migration,H5_Investment in vaccines,Aruba,ABW,0.0,net total / data are 5 year estimates,2021
15,Demographics,Fixed broadband subscriptions,H5_Investment in vaccines,Aruba,ABW,0.0,number,2021
17,Economics,"Central government debt, total",H5_Investment in vaccines,Aruba,ABW,0.0,percent of GDP,2021
18,Environment,Electricity production from oil sources,H5_Investment in vaccines,Aruba,ABW,0.0,percent of total,2021
19,Health,"Incidence of tuberculosis (per 100,000 people)",H5_Investment in vaccines,Aruba,ABW,0.0,Cases,2021
20,Environment,Renewable energy consumption ,H5_Investment in vaccines,Aruba,ABW,0.0,percent of total final energy consumption,2021
21,Environment,"Adjusted net savings, including particulate emission damage",H5_Investment in vaccines,Aruba,ABW,0.0,percent of GNI,2021
22,Governance,Government effectiveness estimate,H5_Investment in vaccines,Aruba,ABW,0.0,score,2021
23,Economics,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",H5_Investment in vaccines,Aruba,ABW,0.0,Percentage of females of the total population,2021
24,Economics,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",H5_Investment in vaccines,Aruba,ABW,0.0,Percentage of total population,2021
26,Environment,"PM2.5 air pollution, mean annual exposure",H5_Investment in vaccines,Aruba,ABW,0.0,micrograms per cubic meter,2021
27,Environment,Electricity production from coal sources ,H5_Investment in vaccines,Aruba,ABW,0.0,percent of total,2021
29,Health,"Prevalence of overweight (modeled estimate, % of children under 5)",H5_Investment in vaccines,Aruba,ABW,0.0,percent,2021
30,Environment,Combustible renewables and waste,H5_Investment in vaccines,Aruba,ABW,0.0,percent of total energy,2021
31,Economics,Employment in services (% of total employment) (modeled ILO estimate),H5_Investment in vaccines,Aruba,ABW,0.0,Percentage of total employment,2021
32,Environment,Fossil fuel energy consumption,H5_Investment in vaccines,Aruba,ABW,0.0,percent of total,2021
34,Environment,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value ",H5_Investment in vaccines,Aruba,ABW,0.0,percent of total,2021
36,Environment,Energy use (kg of oil equivalent per capita),H5_Investment in vaccines,Aruba,ABW,0.0,kg of oil equivalent per capita,2021
37,Governance,Rule of law estimate ,H5_Investment in vaccines,Aruba,ABW,0.0,score,2021
38,Social issues ,Proportion of population pushed below the $1.90 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure (%),H5_Investment in vaccines,Aruba,ABW,0.0,proportion,2021
39,Demographics,Urban population (% of total population),H5_Investment in vaccines,Aruba,ABW,0.0,total,2021
40,Health,"Nurses and midwives (per 1,000 people)",H5_Investment in vaccines,Aruba,ABW,0.0,Ones,2021
43,Governance,Voice and accountability estimate,H5_Investment in vaccines,Aruba,ABW,0.0,score,2021
46,Health,"Prevalence of HIV, total (% of population ages 15-49)",H5_Investment in vaccines,Aruba,ABW,0.0,percent,2021
48,Environment,"Electricity production from renewable sources, excluding hydroelectric",H5_Investment in vaccines,Aruba,ABW,0.0,kWh,2021
49,Governance,Political stability and absence of violence/terrorism estimate,H5_Investment in vaccines,Aruba,ABW,0.0,score,2021
50,Social issues ,"Primary completion rate, total (% of relevant age group)",H5_Investment in vaccines,Aruba,ABW,0.0,proportion,2021
51,Social issues ,Gini index (World Bank estimate),H5_Investment in vaccines,Aruba,ABW,0.0,index ,2021
55,Demographics,Age dependency ratio (% of working-age population),H5_Investment in vaccines,Aruba,ABW,0.0,proportion,2021
56,Social issues ,Proportion of population spending more than 10% of household consumption or income on out-of-pocket health care expenditure (%),H5_Investment in vaccines,Aruba,ABW,0.0,proportion,2021
