rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,H6_Facial Coverings,Antigua and Barbuda,ATG,76.0,percent of population,2019.0
2,Health,Prevalence of Respiratory infections and tuberculosis,H6_Facial Coverings,Antigua and Barbuda,ATG,0.246593,percent,2019.0
3,Demographics,Fixed telephone subscriptions,H6_Facial Coverings,Antigua and Barbuda,ATG,24000.0,number,2019.0
5,Health,Prevalence of COVID-19,H6_Facial Coverings,Antigua and Barbuda,ATG,151.0,"Number (cumulative total by Dec 26,2020)",2020.0
6,Health,Prevalence of Depressive disorders,H6_Facial Coverings,Antigua and Barbuda,ATG,0.035734,percent,2019.0
10,Demographics,Mobile cellular subscriptions,H6_Facial Coverings,Antigua and Barbuda,ATG,192.82,per 100 people,2019.0
13,Demographics,Fixed broadband subscriptions,H6_Facial Coverings,Antigua and Barbuda,ATG,9.43139,per 100 people,2019.0
14,Social issues ,Net migration,H6_Facial Coverings,Antigua and Barbuda,ATG,0.0,net total / data are 5 year estimates,2019.0
15,Health,Prevalence of Hypertensive heart disease,H6_Facial Coverings,Antigua and Barbuda,ATG,0.003095,percent,2019.0
16,Health,Mortality due to COVID-19,H6_Facial Coverings,Antigua and Barbuda,ATG,5.0,"Number (cumulative total by Dec 26,2020)",2020.0
17,Health,"Physicians (per 1,000 people)",H6_Facial Coverings,Antigua and Barbuda,ATG,2.956,Ones,2017.0
18,Health,Prevalence of total cancers,H6_Facial Coverings,Antigua and Barbuda,ATG,0.016516,percent,2019.0
20,Governance,Total freedom in the world score ,H6_Facial Coverings,Antigua and Barbuda,ATG,85.0,score,2021.0
23,Health,Prevalence of obesity,H6_Facial Coverings,Antigua and Barbuda,ATG,18.9,percent,2016.0
25,Health,Prevalence of down syndrome,H6_Facial Coverings,Antigua and Barbuda,ATG,0.000274,percent,2019.0
28,Governance,Control of corruption estimate,H6_Facial Coverings,Antigua and Barbuda,ATG,0.2778982,score,2019.0
29,Health,Summary exposure value tobacco,H6_Facial Coverings,Antigua and Barbuda,ATG,12.63738,Rate (risk-weighted prevalence),2019.0
30,Governance,Fragile States Index Total ,H6_Facial Coverings,Antigua and Barbuda,ATG,52.06235185360498,score,2020.0
31,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),H6_Facial Coverings,Antigua and Barbuda,ATG,2.9,percent,2018.0
33,Governance,Serious assault (rate),H6_Facial Coverings,Antigua and Barbuda,ATG,8.31,rate,2018.0
36,Environment,"PM2.5 air pollution, mean annual exposure",H6_Facial Coverings,Antigua and Barbuda,ATG,18.62234,micrograms per cubic meter,2017.0
37,Environment,Renewable energy consumption ,H6_Facial Coverings,Antigua and Barbuda,ATG,0.0,percent of total final energy consumption,2015.0
39,Health,"Incidence of tuberculosis (per 100,000 people)",H6_Facial Coverings,Antigua and Barbuda,ATG,0.0,Cases,2019.0
41,Demographics,Urban population (% of total population),H6_Facial Coverings,Antigua and Barbuda,ATG,24.506,total,2019.0
42,Environment,CO2 emissions (kt),H6_Facial Coverings,Antigua and Barbuda,ATG,557.384,kt,2016.0
