rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,H6_Facial Coverings,Belgium,BEL,90.3705,percent of population,2019.0
2,Health,Prevalence of Respiratory infections and tuberculosis,H6_Facial Coverings,Belgium,BEL,0.120211,percent,2019.0
3,Demographics,Fixed telephone subscriptions,H6_Facial Coverings,Belgium,BEL,3930410.0,number,2019.0
4,Health,Prevalence of COVID-19,H6_Facial Coverings,Belgium,BEL,621039.0,"Number (cumulative total by Dec 26,2020)",2020.0
5,Economics,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",H6_Facial Coverings,Belgium,BEL,48.5340004,Percentage of females of the total population,2020.0
6,Environment,"Energy imports, net ",H6_Facial Coverings,Belgium,BEL,80.09179196696829,percent of energy use,2015.0
7,Governance,Economic Freedom Score,H6_Facial Coverings,Belgium,BEL,7.56,score,2018.0
8,Health,Prevalence of chronic kidney disease,H6_Facial Coverings,Belgium,BEL,0.10999,percent,2019.0
9,Governance,Personal Freedom Score ,H6_Facial Coverings,Belgium,BEL,8.99,score,2018.0
10,Governance,Aggregate score for the Civil Liberties category,H6_Facial Coverings,Belgium,BEL,57.0,score,2021.0
11,Social issues ,Proportion of women in managerial positions (%),H6_Facial Coverings,Belgium,BEL,33.91,percent,2018.0
12,Environment,Combustible renewables and waste,H6_Facial Coverings,Belgium,BEL,3.469049,percent of total energy,2015.0
13,Governance,Aggregate score for the Political Rights category,H6_Facial Coverings,Belgium,BEL,39.0,score,2021.0
14,Demographics,Fixed broadband subscriptions,H6_Facial Coverings,Belgium,BEL,39.7831,per 100 people,2019.0
16,Economics,Volume of imports,H6_Facial Coverings,Belgium,BEL,3.1,percent change,2020.0
18,Environment,"Electricity production from renewable sources, excluding hydroelectric",H6_Facial Coverings,Belgium,BEL,14148000000.0,kWh,2015.0
19,Social issues ,Net migration,H6_Facial Coverings,Belgium,BEL,240000.0,net total / data are 5 year estimates,2019.0
20,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),H6_Facial Coverings,Belgium,BEL,7.8,percent,2018.0
21,Social issues ,"Intentional homicides (per 100,000 people)",H6_Facial Coverings,Belgium,BEL,1.6900542148,"proportion, pero 100,000 people",2017.0
22,Environment,"Adjusted net savings, including particulate emission damage",H6_Facial Coverings,Belgium,BEL,11.0770980315883,percent of GNI,2018.0
23,Environment,Electricity production from oil sources,H6_Facial Coverings,Belgium,BEL,0.3005118766894807,percent of total,2015.0
24,Health,Prevalence of obesity,H6_Facial Coverings,Belgium,BEL,22.1,percent,2016.0
25,Environment,Energy use ,H6_Facial Coverings,Belgium,BEL,94.45142431253024,"(kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)",2015.0
26,Social issues ,Gini index (World Bank estimate),H6_Facial Coverings,Belgium,BEL,27.4,index ,2017.0
27,Environment,"PM2.5 air pollution, mean annual exposure",H6_Facial Coverings,Belgium,BEL,12.88652,micrograms per cubic meter,2017.0
28,Environment,CO2 emissions (kt),H6_Facial Coverings,Belgium,BEL,96889.47,kt,2016.0
29,Governance,Corruption Perceptions Index,H6_Facial Coverings,Belgium,BEL,76.0,score,2020.0
30,Health,Prevalence of Diabetes,H6_Facial Coverings,Belgium,BEL,0.083193,percent,2019.0
31,Environment,Renewable energy consumption ,H6_Facial Coverings,Belgium,BEL,9.20164053078148,percent of total final energy consumption,2015.0
32,Environment,Electric power consumption ,H6_Facial Coverings,Belgium,BEL,7709.123077882466,kWh per capita,2014.0
33,Social issues ,Life Ladder ,H6_Facial Coverings,Belgium,BEL,6.834000110626221,score,2021.0
34,Governance,Fragile States Index Total ,H6_Facial Coverings,Belgium,BEL,27.098144674784415,score,2020.0
35,Environment,"Electricity production from oil, gas and coal sources",H6_Facial Coverings,Belgium,BEL,39.21464312417323,percent of total,2015.0
37,Health,Prevalence of anxiety disorders,H6_Facial Coverings,Belgium,BEL,0.055711,percent,2019.0
38,Governance,Human Freedom Score ,H6_Facial Coverings,Belgium,BEL,8.28,score,2018.0
39,Economics,Employment in services (% of total employment) (modeled ILO estimate),H6_Facial Coverings,Belgium,BEL,78.4169998,Percentage of total employment,2020.0
40,Environment,CO2 emissions (metric tons per capita),H6_Facial Coverings,Belgium,BEL,8.550513,metric tons per capita,2016.0
41,Governance,Control of corruption estimate,H6_Facial Coverings,Belgium,BEL,1.551961,score,2019.0
42,Social issues ,Press freedom score,H6_Facial Coverings,Belgium,BEL,12.57,score,2020.0
43,Health,"Nurses and midwives (per 1,000 people)",H6_Facial Coverings,Belgium,BEL,19.4614,Ones,2018.0
44,Demographics,Mobile cellular subscriptions,H6_Facial Coverings,Belgium,BEL,99.7421,per 100 people,2019.0
45,Health,"Immunization, measles (% of children ages 12-23 months)",H6_Facial Coverings,Belgium,BEL,96.0,percent,2019.0
46,Health,Prevalence of down syndrome,H6_Facial Coverings,Belgium,BEL,0.00053,percent,2019.0
